Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-2, Run: 027, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 135, 0, 28, 18, 9, 28, 0, 0, 163, 0
INVAR-2, Run: 028, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 162, 0, 28, 17, 10, 28, 0, 0, 190, 0
INVAR-2, Run: 029, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 131, 0, 28, 13, 14, 28, 0, 0, 159, 0
INVAR-2, Run: 030, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 66, 0, 28, 14, 13, 28, 0, 0, 94, 0
INVAR-2, Run: 031, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 87, 0, 28, 18, 9, 28, 0, 0, 115, 0
INVAR-2, Run: 032, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 120, 0, 28, 18, 9, 28, 0, 0, 148, 0
INVAR-2, Run: 033, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 70, 0, 28, 20, 7, 28, 0, 0, 98, 0
INVAR-2, Run: 034, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 122, 0, 28, 16, 11, 28, 0, 0, 150, 0
INVAR-2, Run: 035, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 52, 0, 28, 17, 10, 28, 0, 0, 80, 0
INVAR-2, Run: 036, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 95, 0, 28, 17, 10, 28, 0, 0, 123, 0
INVAR-2, Run: 037, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 118, 0, 28, 16, 11, 28, 0, 0, 146, 0
INVAR-2, Run: 038, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 48, 0, 28, 20, 7, 28, 0, 0, 76, 0
INVAR-2, Run: 039, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 137, 0, 28, 16, 11, 28, 0, 0, 165, 0
INVAR-2, Run: 040, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 86, 0, 28, 13, 14, 28, 0, 0, 114, 0
INVAR-2, Run: 041, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 105, 0, 28, 18, 9, 28, 0, 0, 133, 0
INVAR-2, Run: 042, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 89, 0, 28, 20, 7, 28, 0, 0, 117, 0
INVAR-2, Run: 043, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 101, 0, 28, 20, 7, 28, 0, 0, 129, 0
INVAR-2, Run: 044, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 90, 0, 28, 16, 11, 28, 0, 0, 118, 0
INVAR-2, Run: 045, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 129, 0, 28, 15, 12, 28, 0, 0, 157, 0
INVAR-2, Run: 046, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 161, 0, 28, 18, 9, 28, 0, 0, 189, 0
INVAR-2, Run: 047, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 101, 0, 28, 17, 10, 28, 0, 0, 129, 0
INVAR-2, Run: 048, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 96, 0, 28, 19, 8, 28, 0, 0, 124, 0
INVAR-2, Run: 049, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 73, 0, 28, 18, 9, 28, 0, 0, 101, 0
INVAR-2, Run: 050, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 113, 0, 28, 17, 10, 28, 0, 0, 141, 0
INVAR-2, Run: 051, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 36, 0, 28, 18, 9, 28, 0, 0, 64, 0
INVAR-2, Run: 052, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 74, 0, 28, 21, 6, 28, 0, 0, 102, 0
INVAR-2, Run: 053, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 87, 0, 28, 19, 8, 28, 0, 0, 115, 0
INVAR-2, Run: 054, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 91, 0, 28, 20, 7, 28, 0, 0, 119, 0
INVAR-2, Run: 055, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 118, 0, 28, 19, 8, 28, 0, 0, 146, 0
INVAR-2, Run: 056, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 110, 0, 28, 21, 6, 28, 0, 0, 138, 0
INVAR-2, Run: 057, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 144, 0, 28, 15, 12, 28, 0, 0, 172, 0
INVAR-2, Run: 058, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 75, 0, 28, 19, 8, 28, 0, 0, 103, 0
INVAR-2, Run: 059, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 182, 0, 28, 17, 10, 28, 0, 0, 210, 0
INVAR-2, Run: 060, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 72, 0, 28, 14, 13, 28, 0, 0, 100, 0
INVAR-2, Run: 061, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 108, 0, 28, 20, 7, 28, 0, 0, 136, 0
INVAR-2, Run: 062, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 102, 0, 28, 19, 8, 28, 0, 0, 130, 0
INVAR-2, Run: 063, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 60, 0, 28, 20, 7, 28, 0, 0, 88, 0
INVAR-2, Run: 064, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 95, 0, 28, 20, 7, 28, 0, 0, 123, 0
INVAR-2, Run: 065, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 73, 0, 28, 13, 14, 28, 0, 0, 101, 0
INVAR-2, Run: 066, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 141, 0, 28, 14, 13, 28, 0, 0, 169, 0
INVAR-2, Run: 067, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 100, 0, 28, 14, 13, 28, 0, 0, 128, 0
INVAR-2, Run: 068, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 53, 0, 28, 21, 6, 28, 0, 0, 81, 0
INVAR-2, Run: 069, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 86, 0, 28, 17, 10, 28, 0, 0, 114, 0
INVAR-2, Run: 070, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 65, 0, 28, 17, 10, 28, 0, 0, 93, 0
