Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E
6, Run: 070, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 071, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 072, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 073, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 074, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 075, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 562, 0, 106
6, Run: 076, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 077, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 078, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 079, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 080, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 564, 0, 107
6, Run: 081, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 082, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 083, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 084, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 085, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 086, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 087, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 562, 0, 106
6, Run: 088, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 089, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 090, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 091, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 092, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 538, 0, 94
6, Run: 093, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 562, 0, 106
6, Run: 094, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 095, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 096, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 097, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 098, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 099, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
