Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-12, Run: 087, F, 1, 0, 0, 105, 43, 101, 1, 17, 128
INVAR-12, Run: 088, F, 0, 0, 1, 92, 43, 97, 1, 30, 110
INVAR-12, Run: 089, F, 0, 0, 2, 101, 42, 99, 4, 39, 104
INVAR-12, Run: 090, F, 2, 0, 2, 124, 43, 107, 1, 27, 122
INVAR-12, Run: 091, F, 2, 0, 0, 106, 41, 99, 7, 66, 81
INVAR-12, Run: 092, F, 1, 0, 0, 102, 42, 99, 4, 70, 75
INVAR-12, Run: 093, F, 3, 0, 0, 89, 43, 95, 1, 23, 116
INVAR-12, Run: 094, F, 2, 0, 0, 121, 41, 104, 7, 47, 105
INVAR-12, Run: 095, F, 1, 0, 2, 99, 43, 99, 1, 26, 115
INVAR-12, Run: 096, F, 1, 0, 0, 105, 43, 101, 1, 13, 132
INVAR-12, Run: 097, F, 1, 0, 1, 99, 43, 99, 1, 60, 82
INVAR-12, Run: 098, F, 1, 0, 0, 99, 43, 99, 1, 22, 121
INVAR-12, Run: 099, F, 0, 0, 1, 86, 43, 95, 1, 46, 92
INVAR-12, Run: 100, F, 0, 0, 2, 95, 42, 97, 4, 80, 61
INVAR-13, Run: 001, F, 1, 0, 0, 96, 1, 37, 2, 8, 32
INVAR-13, Run: 002, F, 1, 0, 0, 93, 1, 36, 2, 1, 38
INVAR-13, Run: 003, F, 1, 0, 0, 99, 1, 38, 2, 2, 39
INVAR-13, Run: 004, F, 2, 0, 0, 100, 1, 38, 2, 7, 34
INVAR-13, Run: 005, F, 1, 0, 1, 105, 1, 40, 2, 2, 40
INVAR-13, Run: 006, F, 2, 0, 0, 103, 1, 39, 2, 6, 36
INVAR-13, Run: 007, F, 1, 0, 1, 105, 1, 40, 2, 1, 41
INVAR-13, Run: 008, F, 2, 0, 0, 103, 1, 39, 2, 8, 34
INVAR-13, Run: 009, F, 2, 0, 0, 91, 1, 35, 2, 5, 33
INVAR-13, Run: 010, F, 0, 0, 1, 110, 1, 42, 2, 1, 43
INVAR-13, Run: 011, F, 1, 0, 1, 123, 1, 46, 2, 3, 45
INVAR-13, Run: 012, F, 1, 0, 0, 93, 1, 36, 2, 0, 39
INVAR-13, Run: 013, F, 0, 0, 1, 116, 1, 44, 2, 4, 42
INVAR-13, Run: 014, F, 2, 0, 0, 82, 1, 32, 2, 7, 28
INVAR-13, Run: 015, F, 2, 0, 0, 97, 1, 37, 2, 2, 38
INVAR-13, Run: 016, F, 2, 0, 0, 106, 1, 40, 2, 1, 42
INVAR-13, Run: 017, F, 0, 0, 1, 89, 1, 35, 2, 3, 34
INVAR-13, Run: 018, F, 2, 0, 0, 82, 1, 32, 2, 3, 32
INVAR-13, Run: 019, F, 1, 0, 0, 78, 1, 31, 2, 6, 28
INVAR-13, Run: 020, F, 1, 0, 1, 111, 1, 42, 2, 6, 38
INVAR-13, Run: 021, F, 1, 0, 0, 105, 1, 40, 2, 0, 43
INVAR-13, Run: 022, F, 2, 0, 0, 97, 1, 37, 2, 0, 40
INVAR-13, Run: 023, F, 0, 0, 1, 110, 1, 42, 2, 1, 43
INVAR-13, Run: 024, F, 1, 0, 1, 108, 1, 41, 2, 1, 42
INVAR-13, Run: 025, F, 1, 0, 0, 96, 1, 37, 2, 6, 34
INVAR-13, Run: 026, F, 0, 0, 1, 92, 1, 36, 2, 2, 36
INVAR-13, Run: 027, F, 2, 0, 0, 112, 1, 42, 2, 2, 43
INVAR-13, Run: 028, F, 2, 0, 1, 85, 1, 33, 2, 4, 31
INVAR-13, Run: 029, F, 1, 0, 1, 90, 0, 34, 5, 7, 31
INVAR-13, Run: 030, F, 2, 0, 1, 103, 1, 39, 2, 6, 35
INVAR-13, Run: 031, F, 0, 0, 1, 110, 1, 42, 2, 4, 40
INVAR-13, Run: 032, F, 1, 0, 0, 87, 1, 34, 2, 3, 34
INVAR-13, Run: 033, F, 1, 0, 1, 105, 1, 40, 2, 5, 37
INVAR-13, Run: 034, F, 1, 0, 0, 81, 1, 32, 2, 4, 31
INVAR-13, Run: 035, F, 1, 0, 1, 102, 1, 39, 2, 1, 40
INVAR-13, Run: 036, F, 1, 0, 0, 108, 1, 41, 2, 3, 41
INVAR-13, Run: 037, F, 1, 0, 0, 102, 1, 39, 2, 6, 36
INVAR-13, Run: 038, F, 1, 0, 0, 114, 1, 43, 2, 0, 46
INVAR-13, Run: 039, F, 2, 0, 0, 79, 1, 31, 2, 3, 31
INVAR-13, Run: 040, F, 2, 0, 0, 97, 1, 37, 2, 6, 34
INVAR-13, Run: 041, F, 1, 0, 1, 90, 0, 34, 5, 5, 33
INVAR-13, Run: 042, F, 2, 0, 0, 97, 0, 36, 5, 7, 34
INVAR-13, Run: 043, F, 1, 0, 1, 114, 1, 43, 2, 0, 45
INVAR-13, Run: 044, F, 0, 0, 1, 104, 1, 40, 2, 1, 41
INVAR-13, Run: 045, F, 1, 0, 0, 105, 1, 40, 2, 1, 42
