Input Number, Run_Number, Result@ 100, H, X1, M, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 029, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 714, 5465, 100, 64, 35, 91, 200, 300, 805, 5465
INVAR-10, Run: 030, P, 0, 0, 0, 0, 86, 86, 0, 0, 1, 600, 0, 28, 200, 759, 4746, 100, 63, 36, 86, 200, 300, 845, 4746
INVAR-10, Run: 031, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 799, 5217, 100, 64, 35, 90, 200, 300, 889, 5217
INVAR-10, Run: 032, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 696, 5850, 100, 63, 36, 92, 200, 300, 788, 5850
INVAR-10, Run: 033, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 678, 5139, 100, 57, 42, 90, 200, 300, 768, 5139
INVAR-10, Run: 034, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 641, 5252, 100, 71, 28, 89, 200, 300, 730, 5252
INVAR-10, Run: 035, P, 0, 0, 0, 0, 88, 88, 0, 0, 1, 600, 0, 24, 200, 695, 4997, 100, 69, 30, 88, 200, 300, 783, 4997
INVAR-10, Run: 036, P, 0, 0, 0, 0, 87, 87, 0, 0, 1, 600, 0, 26, 200, 889, 6279, 100, 63, 36, 87, 200, 300, 976, 6279
INVAR-10, Run: 037, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 774, 5154, 100, 63, 36, 90, 200, 300, 864, 5154
INVAR-10, Run: 038, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 521, 3582, 100, 52, 47, 90, 200, 300, 611, 3582
INVAR-10, Run: 039, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 771, 6110, 100, 60, 39, 89, 200, 300, 860, 6110
INVAR-10, Run: 040, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 780, 5138, 100, 70, 29, 92, 200, 300, 872, 5138
