Input Number, Run_Number, Result@ 100, V, Y, X, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-19, Run: 039, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 040, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 041, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 042, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 043, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 044, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 045, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 046, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 047, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 048, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 049, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 050, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 051, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 052, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 053, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 054, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 055, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 056, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 057, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 058, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 059, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 060, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 061, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 062, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 063, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 064, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 065, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 066, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 067, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 068, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 069, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 070, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 071, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 072, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 073, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 074, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 075, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 076, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 077, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 078, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 079, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 080, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 081, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 082, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 083, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 084, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 085, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 086, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 087, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 088, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 089, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 090, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 091, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 092, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 093, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 094, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 095, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 096, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 097, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 098, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 099, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 100, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-2, Run: 001, F, 0, 0, 1, 3, 19, 21, 2, 35, 7
INVAR-2, Run: 002, F, 22, 0, 0, 2, 20, 22, 0, 15, 5
INVAR-2, Run: 003, F, 0, 0, 1, 6, 19, 20, 2, 35, 6
INVAR-2, Run: 004, F, 0, 0, 2, 7, 18, 19, 4, 36, 5
INVAR-2, Run: 005, F, 0, 0, 2, 4, 19, 21, 1, 37, 4
INVAR-2, Run: 006, F, 26, 0, 0, 5, 19, 20, 3, 9, 7
INVAR-2, Run: 007, F, 0, 0, 1, 6, 19, 20, 2, 37, 4
INVAR-2, Run: 008, F, 0, 0, 2, 4, 19, 21, 1, 37, 4
INVAR-2, Run: 009, F, 0, 0, 1, 6, 19, 20, 2, 35, 6
INVAR-2, Run: 010, F, 25, 0, 0, 8, 18, 18, 6, 16, 1
INVAR-2, Run: 011, F, 0, 0, 1, 3, 19, 21, 2, 41, 1
INVAR-2, Run: 012, F, 0, 0, 2, 7, 19, 20, 1, 37, 3
INVAR-2, Run: 013, F, 21, 0, 0, 2, 20, 22, 0, 16, 5
INVAR-2, Run: 014, F, 0, 0, 1, 6, 19, 20, 2, 30, 11
INVAR-2, Run: 015, F, 0, 0, 2, 4, 19, 21, 1, 40, 1
