Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 014, F, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 5133, 47, 47, 5133, 100, 60, 39, 53, 123, 200, 5240, 2643
INVAR-10, Run: 015, F, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48, 52, 200, 4431, 37, 37, 4431, 100, 57, 42, 48, 126, 200, 4816, 2434
INVAR-10, Run: 016, F, 0, 1, 0, 0, 0, 0, 556, 0, 0, 1, 0, 55, 45, 200, 4344, 47, 47, 4344, 100, 67, 32, 55, 122, 200, 4994, 2519
INVAR-10, Run: 017, F, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46, 54, 200, 5176, 37, 37, 5176, 100, 66, 33, 46, 127, 200, 5778, 2916
INVAR-10, Run: 018, F, 0, 0, 0, 0, 0, 0, 554, 0, 0, 1, 0, 54, 46, 200, 4667, 52, 52, 4667, 100, 61, 38, 54, 123, 200, 6016, 3031
INVAR-10, Run: 019, F, 0, 0, 0, 0, 0, 0, 554, 0, 0, 1, 0, 54, 46, 200, 4953, 36, 36, 4953, 100, 65, 34, 54, 123, 200, 4694, 2370
INVAR-10, Run: 020, F, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46, 54, 200, 3073, 70, 70, 3073, 100, 60, 39, 46, 127, 200, 5780, 2917
INVAR-10, Run: 021, F, 0, 0, 0, 0, 0, 0, 554, 0, 2, 1, 2, 53, 46, 200, 4054, 50, 48, 4054, 100, 58, 41, 53, 123, 200, 7340, 3693
INVAR-10, Run: 022, F, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 4195, 41, 41, 4195, 100, 69, 30, 53, 123, 200, 4544, 2295
INVAR-10, Run: 023, F, 0, 1, 0, 0, 0, 0, 546, 0, 0, 1, 0, 45, 55, 200, 4279, 35, 35, 4279, 100, 67, 32, 45, 127, 200, 6014, 3034
INVAR-10, Run: 024, F, 0, 1, 0, 0, 0, 0, 558, 0, 0, 1, 0, 57, 43, 200, 4250, 43, 43, 4250, 100, 61, 38, 57, 121, 200, 4218, 2130
INVAR-10, Run: 025, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49, 51, 200, 4361, 39, 39, 4361, 100, 71, 28, 49, 125, 200, 4428, 2239
INVAR-10, Run: 026, F, 0, 0, 0, 0, 0, 0, 554, 0, 0, 1, 0, 54, 46, 200, 5143, 42, 42, 5143, 100, 66, 33, 54, 123, 200, 6134, 3090
INVAR-10, Run: 027, F, 0, 0, 0, 0, 0, 0, 552, 0, 0, 1, 0, 52, 48, 200, 3377, 29, 29, 3377, 100, 59, 40, 52, 124, 200, 6154, 3101
INVAR-10, Run: 028, F, 0, 0, 0, 0, 0, 0, 554, 0, 2, 1, 2, 53, 46, 200, 4447, 51, 49, 4447, 100, 67, 32, 53, 123, 200, 6148, 3097
INVAR-10, Run: 029, F, 0, 0, 0, 0, 0, 0, 550, 0, 0, 1, 0, 50, 50, 200, 4629, 44, 44, 4629, 100, 68, 31, 50, 125, 200, 4682, 2366
INVAR-10, Run: 030, F, 0, 0, 0, 0, 0, 0, 548, 0, 2, 1, 2, 47, 52, 200, 4478, 50, 48, 4478, 100, 61, 38, 47, 126, 200, 4070, 2061
INVAR-10, Run: 031, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 5531, 44, 44, 5531, 100, 66, 33, 51, 124, 200, 5098, 2573
INVAR-10, Run: 032, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 4976, 49, 49, 4976, 100, 71, 28, 51, 124, 200, 3984, 2016
INVAR-10, Run: 033, F, 0, 0, 0, 0, 0, 0, 540, 0, 0, 1, 0, 40, 60, 200, 4860, 45, 45, 4860, 100, 59, 40, 40, 130, 200, 7890, 3975
INVAR-10, Run: 034, F, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48, 52, 200, 3752, 39, 39, 3752, 100, 64, 35, 48, 126, 200, 4818, 2435
INVAR-10, Run: 035, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 4051, 47, 47, 4051, 100, 55, 44, 51, 124, 200, 4260, 2154
INVAR-10, Run: 036, F, 0, 1, 0, 0, 0, 0, 558, 0, 0, 1, 0, 57, 43, 200, 4579, 58, 58, 4579, 100, 64, 35, 57, 121, 200, 4046, 2044
INVAR-10, Run: 037, F, 0, 1, 0, 0, 0, 0, 542, 0, 0, 1, 0, 41, 59, 200, 4115, 62, 62, 4115, 100, 61, 38, 41, 129, 200, 4512, 2285
INVAR-10, Run: 038, F, 0, 0, 0, 0, 0, 0, 552, 0, 0, 1, 0, 52, 48, 200, 6405, 44, 44, 6405, 100, 66, 33, 52, 124, 200, 5120, 2584
INVAR-10, Run: 039, F, 0, 1, 0, 0, 0, 0, 544, 0, 0, 1, 0, 43, 57, 200, 3930, 46, 46, 3930, 100, 57, 42, 43, 128, 200, 3488, 1772
INVAR-10, Run: 040, F, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 4214, 39, 39, 4214, 100, 62, 37, 53, 123, 200, 6000, 3023
INVAR-10, Run: 041, F, 0, 1, 0, 0, 0, 0, 560, 0, 0, 1, 0, 59, 41, 200, 4135, 49, 49, 4135, 100, 68, 31, 59, 120, 200, 4236, 2138
