Input Number, Run_Number, Result@ 100, A1, F1, F1P, F2, F2P, Y
12, Run: 012, F, 168, 0, 5, 5, 0, 0
12, Run: 013, F, 168, 0, 5, 5, 0, 0
12, Run: 014, F, 168, 0, 5, 5, 0, 0
12, Run: 015, F, 168, 0, 5, 5, 0, 0
12, Run: 016, F, 169, 0, 5, 5, 0, 0
12, Run: 017, F, 168, 0, 5, 5, 0, 0
12, Run: 018, F, 168, 0, 5, 5, 0, 0
12, Run: 019, F, 168, 0, 5, 5, 0, 0
12, Run: 020, F, 168, 0, 5, 5, 0, 0
12, Run: 021, F, 168, 0, 5, 5, 0, 0
12, Run: 022, F, 168, 0, 5, 5, 0, 0
12, Run: 023, F, 168, 0, 5, 5, 0, 0
12, Run: 024, F, 168, 0, 5, 5, 0, 0
12, Run: 025, F, 168, 0, 5, 5, 0, 0
12, Run: 026, F, 168, 0, 5, 5, 0, 0
12, Run: 027, F, 168, 0, 5, 5, 0, 0
12, Run: 028, F, 168, 0, 5, 5, 0, 0
12, Run: 029, F, 168, 0, 5, 5, 0, 0
12, Run: 030, F, 168, 0, 5, 5, 0, 0
12, Run: 031, F, 168, 0, 5, 5, 0, 0
12, Run: 032, F, 168, 0, 5, 5, 0, 0
12, Run: 033, F, 168, 0, 5, 5, 0, 0
12, Run: 034, F, 168, 0, 5, 5, 0, 0
12, Run: 035, F, 168, 0, 5, 5, 0, 0
12, Run: 036, F, 168, 0, 5, 5, 0, 0
12, Run: 037, F, 168, 0, 5, 5, 0, 0
12, Run: 038, F, 168, 0, 5, 5, 0, 0
12, Run: 039, F, 168, 0, 5, 5, 0, 0
12, Run: 040, F, 168, 0, 5, 5, 0, 0
12, Run: 041, F, 168, 0, 5, 5, 0, 0
12, Run: 042, F, 168, 0, 5, 5, 0, 0
12, Run: 043, F, 168, 0, 5, 5, 0, 0
12, Run: 044, F, 168, 0, 5, 5, 0, 0
12, Run: 045, F, 168, 0, 5, 5, 0, 0
12, Run: 046, F, 168, 0, 5, 5, 0, 0
12, Run: 047, F, 168, 0, 5, 5, 0, 0
12, Run: 048, F, 168, 0, 5, 5, 0, 0
12, Run: 049, F, 168, 0, 5, 5, 0, 0
12, Run: 050, F, 168, 0, 5, 5, 0, 0
12, Run: 051, F, 168, 0, 5, 5, 0, 0
12, Run: 052, F, 168, 0, 5, 5, 0, 0
12, Run: 053, F, 168, 0, 5, 5, 0, 0
12, Run: 054, F, 168, 0, 5, 5, 0, 0
12, Run: 055, F, 168, 0, 5, 5, 0, 0
12, Run: 056, F, 168, 0, 5, 5, 0, 0
12, Run: 057, F, 168, 0, 5, 5, 0, 0
12, Run: 058, F, 168, 0, 5, 5, 0, 0
12, Run: 059, F, 168, 0, 5, 5, 0, 0
12, Run: 060, F, 168, 0, 5, 5, 0, 0
12, Run: 061, F, 168, 0, 5, 5, 0, 0
12, Run: 062, F, 168, 0, 5, 5, 0, 0
12, Run: 063, F, 168, 0, 5, 5, 0, 0
12, Run: 064, F, 168, 0, 5, 5, 0, 0
12, Run: 065, F, 168, 0, 5, 5, 0, 0
12, Run: 066, F, 168, 0, 5, 5, 0, 0
12, Run: 067, F, 168, 0, 5, 5, 0, 0
12, Run: 068, F, 168, 0, 5, 5, 0, 0
12, Run: 069, F, 168, 0, 5, 5, 0, 0
12, Run: 070, F, 168, 0, 5, 5, 0, 0
12, Run: 071, F, 168, 0, 5, 5, 0, 0
12, Run: 072, F, 168, 0, 5, 5, 0, 0
12, Run: 073, F, 168, 0, 5, 5, 0, 0
12, Run: 074, F, 168, 0, 5, 5, 0, 0
12, Run: 075, F, 168, 0, 5, 5, 0, 0
12, Run: 076, F, 168, 0, 5, 5, 0, 0
12, Run: 077, F, 168, 0, 5, 5, 0, 0
