Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3
2, Run: 027, P, 100, 0, 0, 0, 0, 96, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 0
2, Run: 028, P, 0, 0, 0, 100, 0, 83, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 12, 0, 3
2, Run: 029, P, 0, 0, 0, 100, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
2, Run: 030, P, 0, 100, 0, 0, 6, 60, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 27, 0, 5
2, Run: 031, P, 0, 0, 0, 100, 0, 0, 0, 1, 100, 0, 0, 1, 0, 0, 2, 1, 0, 47, 0
2, Run: 032, P, 0, 0, 0, 100, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 033, P, 100, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 034, P, 0, 0, 0, 100, 6, 60, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 21, 0, 11
2, Run: 035, P, 0, 0, 0, 100, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 036, P, 0, 100, 0, 0, 4, 79, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 5
2, Run: 037, P, 0, 100, 0, 0, 0, 93, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 4, 0, 2
2, Run: 038, P, 0, 100, 0, 0, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
2, Run: 039, P, 100, 0, 0, 0, 1, 93, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 5
2, Run: 040, P, 0, 0, 0, 100, 0, 92, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 1
2, Run: 041, P, 100, 0, 0, 0, 0, 0, 0, 1, 100, 1, 1, 0, 1, 1, 0, 1, 0, 46, 0
2, Run: 042, F, 0, 100, 0, 0, 0, 0, 0, 2, 100, 1, 1, 0, 0, 0, 0, 1, 0, 48, 0
2, Run: 043, P, 100, 0, 0, 0, 0, 96, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 0
2, Run: 044, P, 0, 100, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 045, P, 100, 0, 0, 0, 0, 0, 0, 1, 100, 1, 0, 2, 0, 0, 0, 1, 0, 47, 0
2, Run: 046, P, 0, 0, 0, 100, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 2
2, Run: 047, P, 0, 100, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 048, P, 0, 0, 0, 100, 0, 0, 0, 1, 100, 0, 1, 0, 0, 0, 0, 1, 0, 49, 0
2, Run: 049, P, 0, 0, 0, 100, 1, 90, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 5, 0, 3
2, Run: 050, P, 100, 0, 0, 0, 0, 0, 0, 1, 100, 1, 0, 2, 0, 0, 0, 1, 0, 47, 0
2, Run: 051, P, 0, 0, 0, 100, 4, 74, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 15, 0, 6
2, Run: 052, P, 0, 100, 0, 0, 2, 76, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 17, 0, 5
2, Run: 053, P, 0, 100, 0, 0, 1, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
2, Run: 054, P, 0, 100, 0, 0, 0, 90, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 9, 0, 1
2, Run: 055, P, 0, 100, 0, 0, 2, 84, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 10, 0, 4
2, Run: 056, P, 0, 0, 0, 100, 3, 88, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 4, 0, 3
2, Run: 057, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 0, 0, 1, 0, 1, 0, 1, 0, 48, 0
2, Run: 058, P, 100, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 059, P, 0, 0, 0, 100, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 060, P, 100, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0, 1, 0, 1, 0, 49, 0
2, Run: 061, P, 100, 0, 0, 0, 0, 80, 3, 0, 1, 26, 10, 4, 6, 1, 0, 1, 10, 3, 6
2, Run: 062, P, 100, 0, 0, 0, 1, 91, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 2
2, Run: 063, P, 0, 0, 0, 100, 0, 0, 0, 1, 100, 1, 1, 0, 1, 0, 0, 1, 0, 47, 0
2, Run: 064, P, 0, 0, 0, 100, 0, 84, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 14, 0, 2
2, Run: 065, P, 100, 0, 0, 0, 3, 63, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 23, 0, 9
2, Run: 066, P, 0, 0, 0, 100, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 067, P, 0, 0, 0, 100, 1, 93, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 1
2, Run: 068, P, 0, 0, 0, 100, 0, 0, 0, 1, 100, 0, 0, 0, 0, 1, 0, 1, 0, 49, 0
2, Run: 069, P, 0, 0, 0, 100, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 1
2, Run: 070, P, 100, 0, 0, 0, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
2, Run: 071, P, 0, 0, 0, 100, 1, 85, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 10, 0, 3
2, Run: 072, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 1, 0, 1, 1, 1, 0, 1, 0, 46, 0
2, Run: 073, P, 0, 0, 0, 100, 0, 97, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
2, Run: 074, P, 0, 0, 0, 100, 0, 93, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 1
2, Run: 075, P, 0, 100, 0, 0, 4, 81, 4, 0, 1, 25, 9, 5, 5, 1, 4, 1, 3, 1, 7
2, Run: 076, P, 100, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 077, P, 0, 0, 0, 100, 1, 83, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 13, 0, 3
2, Run: 078, P, 0, 0, 0, 100, 0, 0, 0, 1, 100, 1, 0, 0, 0, 2, 1, 1, 0, 46, 0
2, Run: 079, P, 0, 0, 0, 100, 0, 0, 0, 1, 100, 0, 1, 0, 2, 1, 0, 1, 0, 46, 0
2, Run: 080, P, 0, 0, 0, 100, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 081, P, 100, 0, 0, 0, 2, 78, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 13, 0, 6
2, Run: 082, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0, 1, 0, 1, 0, 49, 0
2, Run: 083, P, 0, 0, 0, 100, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
2, Run: 084, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 0, 1, 0, 1, 0, 0, 1, 0, 48, 0
2, Run: 085, P, 100, 0, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 086, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 0, 1, 1, 0, 0, 0, 1, 0, 48, 0
2, Run: 087, P, 0, 100, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 088, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 2, 0, 0, 2, 1, 0, 1, 0, 45, 0
2, Run: 089, P, 100, 0, 0, 0, 0, 87, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 1
2, Run: 090, P, 0, 100, 0, 0, 0, 96, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
2, Run: 091, P, 0, 100, 0, 0, 0, 94, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 1
2, Run: 092, P, 100, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0, 1, 0, 0, 0, 1, 0, 49, 0
2, Run: 093, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 1, 1, 2, 0, 0, 0, 1, 0, 46, 0
2, Run: 094, P, 0, 0, 0, 100, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 095, P, 100, 0, 0, 0, 2, 70, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 21, 0, 5
2, Run: 096, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 0, 1, 0, 2, 2, 2, 1, 0, 43, 0
2, Run: 097, P, 0, 100, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 098, P, 100, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 099, P, 0, 100, 0, 0, 1, 96, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
2, Run: 100, P, 0, 0, 0, 100, 0, 0, 0, 2, 100, 0, 0, 0, 0, 0, 0, 1, 0, 50, 0
3, Run: 001, P, 0, 1000, 0, 0, 3, 56, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 25, 0, 14
3, Run: 002, P, 0, 1000, 0, 0, 1, 96, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
3, Run: 003, P, 0, 1000, 0, 0, 1, 68, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 20, 0, 8
3, Run: 004, P, 0, 1000, 0, 0, 0, 97, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 1
