Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
3, Run: 014, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 718, 1
3, Run: 015, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 756, 0
3, Run: 016, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 756, 0
3, Run: 017, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 814, 1
3, Run: 018, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 780, 0
3, Run: 019, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 826, 1
3, Run: 020, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 790, 1
3, Run: 021, P, 3, 0, 0, 0, 82, 82, 0, 0, 1, 808, 1
3, Run: 022, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 748, 1
3, Run: 023, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 762, 0
3, Run: 024, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 744, 0
3, Run: 025, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 790, 1
3, Run: 026, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 832, 1
3, Run: 027, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 822, 0
3, Run: 028, P, 3, 0, 0, 0, 82, 82, 0, 0, 1, 810, 0
3, Run: 029, P, 4, 0, 0, 0, 82, 82, 0, 0, 1, 808, 1
3, Run: 030, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 798, 0
3, Run: 031, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 814, 1
3, Run: 032, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 852, 0
3, Run: 033, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 784, 1
3, Run: 034, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 820, 1
3, Run: 035, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 786, 0
3, Run: 036, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 778, 1
3, Run: 037, P, 4, 0, 0, 0, 82, 82, 0, 0, 1, 828, 0
3, Run: 038, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 804, 0
3, Run: 039, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 778, 1
3, Run: 040, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 726, 0
3, Run: 041, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 790, 1
