Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP
INVAR-11, Run: 069, F, 0, 58, 9929, 100, 0
INVAR-11, Run: 070, F, 0, 58, 10043, 100, 0
INVAR-11, Run: 071, F, 0, 58, 10044, 100, 0
INVAR-11, Run: 072, F, 0, 58, 10051, 100, 0
INVAR-11, Run: 073, F, 0, 58, 10128, 100, 0
INVAR-11, Run: 074, F, 0, 58, 10183, 100, 0
INVAR-11, Run: 075, F, 0, 58, 10121, 100, 0
INVAR-11, Run: 076, F, 0, 58, 9902, 100, 0
INVAR-11, Run: 077, F, 0, 58, 10080, 100, 0
INVAR-11, Run: 078, F, 0, 58, 9949, 100, 0
INVAR-11, Run: 079, F, 0, 58, 9862, 100, 0
INVAR-11, Run: 080, F, 0, 58, 10028, 100, 0
INVAR-11, Run: 081, F, 0, 58, 10192, 100, 0
INVAR-11, Run: 082, F, 0, 58, 9934, 100, 0
INVAR-11, Run: 083, F, 0, 58, 9913, 100, 0
INVAR-11, Run: 084, F, 0, 58, 10221, 100, 0
INVAR-11, Run: 085, F, 0, 58, 10114, 100, 0
INVAR-11, Run: 086, F, 0, 58, 10026, 100, 0
INVAR-11, Run: 087, F, 0, 58, 10070, 100, 0
INVAR-11, Run: 088, F, 0, 58, 10019, 100, 0
INVAR-11, Run: 089, F, 0, 58, 10030, 100, 0
INVAR-11, Run: 090, F, 0, 58, 10007, 100, 0
INVAR-11, Run: 091, F, 0, 58, 10169, 100, 0
INVAR-11, Run: 092, F, 0, 58, 10029, 100, 0
INVAR-11, Run: 093, F, 0, 58, 10098, 100, 0
INVAR-11, Run: 094, F, 0, 58, 10099, 100, 0
INVAR-11, Run: 095, F, 0, 58, 10181, 100, 0
INVAR-11, Run: 096, F, 0, 58, 10088, 100, 0
INVAR-11, Run: 097, F, 0, 58, 10150, 100, 0
INVAR-11, Run: 098, F, 0, 58, 9988, 100, 0
INVAR-11, Run: 099, F, 0, 58, 10036, 100, 0
INVAR-11, Run: 100, F, 0, 58, 10089, 100, 0
INVAR-12, Run: 001, F, 0, 130, 20393, 200, 0
INVAR-12, Run: 002, F, 0, 130, 20335, 200, 0
INVAR-12, Run: 003, F, 0, 130, 20188, 200, 0
INVAR-12, Run: 004, F, 0, 130, 20406, 200, 0
INVAR-12, Run: 005, F, 0, 130, 20249, 200, 0
INVAR-12, Run: 006, F, 0, 130, 20113, 200, 0
INVAR-12, Run: 007, F, 0, 130, 20084, 200, 0
INVAR-12, Run: 008, F, 0, 130, 20116, 200, 0
INVAR-12, Run: 009, F, 0, 130, 20152, 200, 0
INVAR-12, Run: 010, F, 0, 130, 20417, 200, 0
INVAR-12, Run: 011, F, 0, 130, 20180, 200, 0
INVAR-12, Run: 012, F, 0, 130, 20055, 200, 0
INVAR-12, Run: 013, F, 0, 130, 20346, 200, 0
INVAR-12, Run: 014, F, 0, 130, 20069, 200, 0
INVAR-12, Run: 015, F, 0, 130, 20201, 200, 0
INVAR-12, Run: 016, F, 0, 130, 20019, 200, 0
INVAR-12, Run: 017, F, 0, 130, 19957, 200, 0
INVAR-12, Run: 018, F, 0, 130, 20062, 200, 0
