Input Number, Run_Number, Result@ 1000, A, B, H, C, T2, R, L4, L1, L5, Y, T1, T3, T4, T5, T6, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 060, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 85, 43, 95, 3860, 2729, 1972, 1439, 1018, 1081, 707, 757, 533, 421, 240, 778, 778, 459, 323, 238, 195, 248, 136
INVAR-1, Run: 061, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 93, 60, 92, 3139, 2061, 1415, 963, 650, 1028, 782, 646, 452, 313, 203, 447, 447, 513, 345, 252, 192, 269, 168
INVAR-1, Run: 062, P, 10, 0, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 6797, 5505, 4536, 3768, 3182, 1242, 100, 969, 768, 586, 482, 2700, 2700, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 063, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 58, 43, 57, 3803, 2671, 1875, 1324, 955, 1082, 470, 796, 551, 369, 274, 681, 681, 353, 258, 200, 157, 117, 95
INVAR-1, Run: 064, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 89, 76, 161, 3464, 2256, 1506, 1022, 705, 1158, 705, 750, 484, 317, 219, 486, 486, 539, 426, 337, 261, 166, 113
INVAR-1, Run: 065, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 41, 30, 52, 5762, 4185, 3064, 2242, 1661, 1527, 368, 1121, 822, 581, 427, 1234, 1234, 287, 223, 182, 152, 81, 64
INVAR-1, Run: 066, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 47, 20, 41, 6574, 4783, 3615, 2712, 1996, 1741, 470, 1168, 903, 716, 523, 1473, 1473, 312, 208, 161, 141, 158, 104
INVAR-1, Run: 067, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 66, 40, 49, 3834, 2760, 2001, 1525, 1115, 1024, 599, 759, 476, 410, 307, 808, 808, 377, 255, 189, 149, 222, 122
INVAR-1, Run: 068, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 10, 1, 2, 10, 50, 85, 68, 82, 3603, 2394, 1643, 1131, 786, 1159, 854, 751, 512, 345, 236, 550, 550, 517, 335, 250, 182, 337, 182
INVAR-1, Run: 069, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 54, 45, 104, 6841, 4745, 3326, 2349, 1680, 2046, 573, 1419, 977, 669, 477, 1203, 1203, 404, 303, 249, 204, 169, 101
