Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
INVAR-2, Run: 047, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 486, 0
INVAR-2, Run: 048, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
INVAR-2, Run: 049, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
INVAR-2, Run: 050, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 406, 1
INVAR-2, Run: 051, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
INVAR-2, Run: 052, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
INVAR-2, Run: 053, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 502, 1
INVAR-2, Run: 054, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 430, 1
INVAR-2, Run: 055, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 448, 1
INVAR-2, Run: 056, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 442, 1
INVAR-2, Run: 057, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 504, 0
INVAR-2, Run: 058, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 498, 0
INVAR-2, Run: 059, P, 3, 0, 0, 0, 28, 28, 0, 0, 1, 442, 1
INVAR-2, Run: 060, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 418, 1
INVAR-2, Run: 061, P, 3, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
INVAR-2, Run: 062, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 472, 1
INVAR-2, Run: 063, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 456, 0
INVAR-2, Run: 064, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 466, 1
INVAR-2, Run: 065, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 528, 0
INVAR-2, Run: 066, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
INVAR-2, Run: 067, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 456, 0
INVAR-2, Run: 068, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 432, 0
INVAR-2, Run: 069, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
INVAR-2, Run: 070, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 456, 0
INVAR-2, Run: 071, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 480, 0
INVAR-2, Run: 072, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 480, 0
INVAR-2, Run: 073, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 496, 1
INVAR-2, Run: 074, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
INVAR-2, Run: 075, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 432, 0
INVAR-2, Run: 076, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 436, 1
INVAR-2, Run: 077, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 438, 0
INVAR-2, Run: 078, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 474, 0
INVAR-2, Run: 079, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 438, 0
INVAR-2, Run: 080, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 430, 1
INVAR-2, Run: 081, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 414, 0
INVAR-2, Run: 082, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
INVAR-2, Run: 083, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 414, 0
INVAR-2, Run: 084, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 522, 0
INVAR-2, Run: 085, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 444, 0
INVAR-2, Run: 086, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 412, 1
