Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, A, PE, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 003, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11169, 5568, 100, 511, 5156, 100, 200, 300, 11269, 5568
INVAR-10, Run: 004, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 12218, 6267, 100, 590, 5776, 100, 200, 300, 12318, 6267
INVAR-10, Run: 005, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 14149, 7017, 100, 640, 6476, 100, 200, 300, 14249, 7017
INVAR-10, Run: 006, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 8701, 4600, 100, 516, 4183, 100, 200, 300, 8801, 4600
INVAR-10, Run: 007, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9176, 4699, 100, 491, 4307, 100, 200, 300, 9276, 4699
INVAR-10, Run: 008, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10769, 5612, 100, 544, 5167, 100, 200, 300, 10869, 5612
INVAR-10, Run: 009, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10789, 5247, 100, 566, 4780, 100, 200, 300, 10889, 5247
INVAR-10, Run: 010, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 8281, 4232, 100, 467, 3864, 100, 200, 300, 8381, 4232
INVAR-10, Run: 011, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9262, 4713, 100, 503, 4309, 100, 200, 300, 9362, 4713
INVAR-10, Run: 012, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10414, 5525, 100, 530, 5094, 100, 200, 300, 10514, 5525
INVAR-10, Run: 013, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 12145, 5694, 100, 498, 5295, 100, 200, 300, 12245, 5694
INVAR-10, Run: 014, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10718, 4934, 100, 432, 4601, 100, 200, 300, 10818, 4934
INVAR-10, Run: 015, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 7000, 3575, 100, 456, 3218, 100, 200, 300, 7100, 3575
INVAR-10, Run: 016, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9858, 5013, 100, 492, 4620, 100, 200, 300, 9958, 5013
INVAR-10, Run: 017, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 14996, 6786, 100, 539, 6346, 100, 200, 300, 15096, 6786
INVAR-10, Run: 018, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10027, 4938, 100, 461, 4576, 100, 200, 300, 10127, 4938
INVAR-10, Run: 019, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10721, 5548, 100, 547, 5100, 100, 200, 300, 10821, 5548
INVAR-10, Run: 020, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11260, 5617, 100, 556, 5160, 100, 200, 300, 11360, 5617
INVAR-10, Run: 021, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10459, 5246, 100, 530, 4815, 100, 200, 300, 10559, 5246
INVAR-10, Run: 022, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11985, 5678, 100, 491, 5286, 100, 200, 300, 12085, 5678
INVAR-10, Run: 023, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 8078, 3931, 100, 433, 3597, 100, 200, 300, 8178, 3931
INVAR-10, Run: 024, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9426, 4949, 100, 521, 4527, 100, 200, 300, 9526, 4949
