Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
4, Run: 008, F, 0, 26, 0, 0, 1, 0, 0, 68, 42, 42, 0, 0
4, Run: 009, F, 0, 30, 0, 0, 1, 0, 0, 34, 72, 72, 0, 0
4, Run: 010, F, 0, 28, 0, 0, 1, 0, 0, 48, 60, 60, 0, 0
4, Run: 011, F, 0, 30, 0, 0, 1, 0, 0, 9, 97, 97, 0, 0
4, Run: 012, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 013, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 014, F, 0, 28, 0, 0, 1, 0, 0, 76, 32, 32, 0, 0
4, Run: 015, F, 0, 28, 0, 0, 1, 0, 0, 12, 96, 96, 0, 0
4, Run: 016, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 017, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 018, F, 0, 30, 0, 0, 1, 0, 0, 24, 82, 82, 0, 0
4, Run: 019, P, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
4, Run: 020, P, 0, 22, 0, 0, 0, 0, 0, 114, 0, 1, 1, 1
4, Run: 021, F, 0, 28, 0, 0, 1, 0, 0, 29, 79, 79, 0, 0
4, Run: 022, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 023, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 024, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 025, F, 0, 28, 0, 0, 1, 0, 0, 41, 67, 67, 0, 0
4, Run: 026, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 027, P, 0, 22, 0, 0, 0, 0, 0, 114, 0, 1, 1, 1
4, Run: 028, F, 0, 26, 0, 0, 1, 0, 0, 10, 100, 100, 0, 0
4, Run: 029, F, 0, 26, 0, 0, 1, 0, 0, 61, 49, 49, 0, 0
4, Run: 030, P, 0, 27, 0, 0, 0, 0, 0, 108, 0, 3, 1, 3
4, Run: 031, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 032, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 033, F, 0, 28, 0, 0, 1, 0, 0, 42, 66, 66, 0, 0
4, Run: 034, F, 0, 32, 0, 0, 1, 0, 0, 3, 101, 101, 0, 0
4, Run: 035, F, 0, 30, 0, 0, 1, 0, 0, 26, 80, 80, 0, 0
4, Run: 036, F, 0, 30, 0, 0, 1, 0, 0, 33, 73, 73, 0, 0
4, Run: 037, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 038, F, 0, 28, 2, 0, 1, 0, 0, 1, 109, 109, 0, 0
4, Run: 039, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 040, F, 0, 28, 2, 0, 1, 0, 0, 0, 110, 110, 0, 0
4, Run: 041, P, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
4, Run: 042, F, 0, 26, 0, 0, 1, 0, 0, 83, 27, 27, 0, 0
4, Run: 043, F, 0, 24, 0, 0, 1, 0, 0, 74, 38, 38, 0, 0
4, Run: 044, F, 0, 28, 0, 0, 1, 0, 0, 59, 49, 49, 0, 0
4, Run: 045, F, 0, 26, 0, 0, 1, 0, 0, 45, 65, 65, 0, 0
4, Run: 046, F, 0, 26, 0, 0, 1, 0, 0, 74, 36, 36, 0, 0
4, Run: 047, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 048, P, 0, 30, 0, 0, 0, 0, 0, 106, 0, 1, 1, 1
4, Run: 049, F, 0, 28, 0, 0, 0, 0, 0, 98, 10, 11, 0, 1
4, Run: 050, F, 0, 28, 0, 0, 1, 0, 0, 19, 89, 89, 0, 0
4, Run: 051, F, 0, 30, 0, 0, 1, 0, 0, 53, 53, 53, 0, 0
4, Run: 052, P, 0, 29, 0, 0, 0, 0, 0, 106, 0, 3, 1, 3
4, Run: 053, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 054, F, 0, 28, 2, 0, 1, 0, 0, 0, 110, 110, 0, 0
4, Run: 055, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 056, F, 0, 26, 0, 0, 1, 0, 0, 58, 52, 52, 0, 0
4, Run: 057, F, 0, 34, 0, 0, 1, 0, 0, 59, 43, 43, 0, 0
4, Run: 058, P, 0, 22, 0, 0, 0, 0, 0, 114, 0, 1, 1, 1
4, Run: 059, F, 0, 32, 0, 0, 1, 0, 0, 16, 88, 88, 0, 0
4, Run: 060, F, 0, 30, 2, 0, 1, 0, 0, 1, 107, 107, 0, 0
4, Run: 061, F, 0, 26, 0, 0, 1, 0, 0, 46, 64, 64, 0, 0
4, Run: 062, F, 0, 30, 0, 0, 1, 0, 0, 55, 51, 51, 0, 0
4, Run: 063, F, 0, 28, 0, 0, 1, 0, 0, 35, 73, 73, 0, 0
4, Run: 064, P, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
4, Run: 065, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 066, F, 0, 26, 0, 0, 1, 0, 0, 64, 46, 46, 0, 0
4, Run: 067, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 068, F, 0, 24, 0, 0, 1, 0, 0, 71, 41, 41, 0, 0
4, Run: 069, P, 0, 21, 0, 0, 0, 0, 0, 114, 0, 3, 1, 3
4, Run: 070, F, 0, 30, 0, 0, 1, 0, 0, 20, 86, 86, 0, 0
4, Run: 071, P, 0, 29, 0, 0, 0, 0, 0, 106, 0, 3, 1, 3
4, Run: 072, F, 0, 28, 0, 0, 1, 0, 0, 24, 84, 84, 0, 0
4, Run: 073, F, 0, 24, 0, 0, 1, 0, 0, 94, 18, 18, 0, 0
4, Run: 074, P, 0, 32, 0, 0, 0, 0, 0, 104, 0, 1, 1, 1
4, Run: 075, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 076, F, 0, 26, 0, 0, 1, 0, 0, 64, 46, 46, 0, 0
4, Run: 077, F, 0, 26, 0, 0, 1, 0, 0, 62, 48, 48, 0, 0
4, Run: 078, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 079, P, 0, 30, 0, 0, 0, 0, 0, 106, 0, 1, 1, 1
4, Run: 080, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 081, P, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
4, Run: 082, F, 0, 26, 0, 0, 1, 0, 0, 20, 90, 90, 0, 0
4, Run: 083, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 084, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 085, F, 0, 26, 0, 0, 1, 0, 0, 16, 94, 94, 0, 0
4, Run: 086, P, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
4, Run: 087, P, 0, 30, 0, 0, 0, 0, 0, 106, 0, 1, 1, 1
4, Run: 088, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 089, P, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
