Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 066, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 110, 9, 7, 1, 9, 18, 27, 24, 110
INVAR-1, Run: 067, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 78, 9, 2, 6, 9, 18, 27, 27, 78
INVAR-1, Run: 068, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 4, 40, 9, 6, 2, 9, 18, 27, 13, 40
INVAR-1, Run: 069, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 26, 136, 9, 5, 3, 9, 18, 27, 35, 136
INVAR-1, Run: 070, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 62, 9, 6, 2, 9, 18, 27, 29, 62
INVAR-1, Run: 071, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 184, 9, 6, 2, 9, 18, 27, 27, 184
INVAR-1, Run: 072, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 7, 80, 9, 6, 2, 9, 18, 27, 16, 80
INVAR-1, Run: 073, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 84, 9, 6, 2, 9, 18, 27, 23, 84
INVAR-1, Run: 074, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 140, 9, 6, 2, 9, 18, 27, 24, 140
INVAR-1, Run: 075, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 94, 9, 6, 2, 9, 18, 27, 31, 94
INVAR-1, Run: 076, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 65, 9, 6, 2, 9, 18, 27, 20, 65
INVAR-1, Run: 077, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 94, 9, 7, 1, 9, 18, 27, 22, 94
INVAR-1, Run: 078, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 115, 9, 5, 3, 9, 18, 27, 27, 115
INVAR-1, Run: 079, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 137, 9, 7, 1, 9, 18, 27, 24, 137
