Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-5, Run: 010, P, 0, 175, 0, 0, 0, 34, 34, 0, 0, 1, 1, 15, 53, 140, 773, 19, 14, 4, 34, 53, 79, 174, 773
INVAR-5, Run: 011, P, 0, 12, 0, 0, 0, 0, 155, 30, 155, 0, 1, 7, 53, 109, 427, 23, 16, 7, 30, 53, 79, 109, 582
INVAR-5, Run: 012, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 47, 450, 23, 16, 6, 30, 53, 79, 77, 450
INVAR-5, Run: 013, P, 0, 171, 0, 0, 0, 32, 32, 0, 0, 1, 1, 11, 53, 99, 459, 21, 14, 6, 32, 53, 79, 131, 459
INVAR-5, Run: 014, P, 0, 8, 0, 0, 0, 0, 167, 34, 167, 0, 1, 15, 53, 63, 431, 19, 18, 1, 34, 53, 79, 63, 598
INVAR-5, Run: 015, P, 0, 12, 0, 0, 0, 0, 163, 34, 163, 0, 1, 15, 53, 99, 544, 19, 10, 9, 34, 53, 79, 99, 707
INVAR-5, Run: 016, P, 0, 173, 0, 0, 0, 33, 33, 0, 0, 1, 1, 13, 53, 161, 834, 20, 12, 7, 33, 53, 79, 194, 834
INVAR-5, Run: 017, P, 0, 171, 0, 0, 0, 32, 32, 0, 0, 1, 1, 11, 53, 132, 432, 21, 10, 10, 32, 53, 79, 164, 432
INVAR-5, Run: 018, P, 0, 11, 0, 0, 0, 0, 158, 31, 158, 0, 1, 9, 53, 86, 336, 22, 12, 10, 31, 53, 79, 86, 494
INVAR-5, Run: 019, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 123, 565, 23, 10, 12, 30, 53, 79, 153, 565
INVAR-5, Run: 020, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 87, 358, 24, 13, 10, 29, 53, 79, 116, 358
INVAR-5, Run: 021, P, 0, 30, 0, 0, 0, 0, 137, 30, 137, 0, 1, 7, 53, 128, 735, 23, 14, 9, 30, 53, 79, 128, 872
INVAR-5, Run: 022, P, 0, 5, 0, 0, 0, 0, 164, 31, 164, 0, 1, 9, 53, 140, 505, 22, 15, 7, 31, 53, 79, 140, 669
INVAR-5, Run: 023, P, 0, 9, 0, 0, 0, 0, 166, 34, 166, 0, 1, 15, 53, 99, 516, 19, 13, 6, 34, 53, 79, 99, 682
INVAR-5, Run: 024, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 98, 596, 23, 14, 8, 30, 53, 79, 128, 596
INVAR-5, Run: 025, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 91, 495, 22, 16, 5, 31, 53, 79, 122, 495
INVAR-5, Run: 026, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 143, 603, 23, 10, 12, 30, 53, 79, 173, 603
INVAR-5, Run: 027, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 138, 573, 22, 10, 11, 31, 53, 79, 169, 573
INVAR-5, Run: 028, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 61, 266, 22, 14, 7, 31, 53, 79, 92, 266
INVAR-5, Run: 029, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 95, 517, 24, 18, 5, 29, 53, 79, 124, 517
INVAR-5, Run: 030, P, 0, 171, 0, 0, 0, 32, 32, 0, 0, 1, 1, 11, 53, 104, 511, 21, 16, 4, 32, 53, 79, 136, 511
INVAR-5, Run: 031, P, 0, 94, 0, 0, 0, 0, 77, 32, 77, 0, 1, 11, 53, 164, 622, 21, 14, 7, 32, 53, 79, 164, 699
INVAR-5, Run: 032, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 63, 380, 24, 17, 6, 29, 53, 79, 92, 380
INVAR-5, Run: 033, P, 0, 163, 0, 0, 0, 28, 28, 0, 0, 1, 1, 3, 53, 99, 429, 25, 14, 10, 28, 53, 79, 127, 429
INVAR-5, Run: 034, P, 0, 167, 0, 0, 0, 2, 8, 31, 6, 0, 1, 13, 53, 187, 524, 20, 12, 8, 33, 53, 79, 189, 530
INVAR-5, Run: 035, P, 0, 28, 0, 0, 0, 0, 143, 32, 143, 0, 1, 11, 53, 79, 640, 21, 15, 6, 32, 53, 79, 79, 783
INVAR-5, Run: 036, P, 0, 171, 0, 0, 0, 32, 32, 0, 0, 1, 1, 11, 53, 108, 393, 21, 14, 6, 32, 53, 79, 140, 393
INVAR-5, Run: 037, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 156, 492, 22, 13, 8, 31, 53, 79, 187, 492
INVAR-5, Run: 038, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 99, 504, 22, 15, 6, 31, 53, 79, 130, 504
INVAR-5, Run: 039, P, 0, 87, 0, 0, 0, 0, 86, 33, 86, 0, 1, 13, 53, 154, 620, 20, 10, 10, 33, 53, 79, 154, 706
INVAR-5, Run: 040, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 79, 340, 24, 15, 8, 29, 53, 79, 108, 340
INVAR-5, Run: 041, P, 0, 38, 0, 0, 0, 0, 127, 29, 127, 0, 1, 5, 53, 114, 450, 24, 20, 4, 29, 53, 79, 114, 577
INVAR-5, Run: 042, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 138, 655, 23, 10, 12, 30, 53, 79, 168, 655
INVAR-5, Run: 043, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 135, 697, 23, 16, 6, 30, 53, 79, 165, 697
INVAR-5, Run: 044, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 92, 509, 23, 15, 7, 30, 53, 79, 122, 509
INVAR-5, Run: 045, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 88, 364, 23, 16, 6, 30, 53, 79, 118, 364
INVAR-5, Run: 046, P, 0, 76, 0, 0, 0, 0, 91, 30, 91, 0, 1, 7, 53, 132, 386, 23, 11, 12, 30, 53, 79, 132, 477
INVAR-5, Run: 047, P, 0, 171, 0, 0, 0, 32, 32, 0, 0, 1, 1, 11, 53, 90, 420, 21, 11, 9, 32, 53, 79, 122, 420
INVAR-5, Run: 048, P, 0, 163, 0, 0, 0, 28, 28, 0, 0, 1, 1, 3, 53, 95, 453, 25, 17, 7, 28, 53, 79, 123, 453
INVAR-5, Run: 049, P, 0, 132, 0, 0, 0, 0, 45, 35, 45, 0, 1, 17, 53, 118, 546, 18, 10, 8, 35, 53, 79, 118, 591
INVAR-5, Run: 050, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 137, 533, 24, 9, 14, 29, 53, 79, 166, 533
INVAR-5, Run: 051, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 96, 373, 24, 13, 10, 29, 53, 79, 125, 373
INVAR-5, Run: 052, P, 0, 16, 0, 0, 0, 0, 161, 35, 161, 0, 1, 17, 53, 64, 399, 18, 12, 6, 35, 53, 79, 64, 560
INVAR-5, Run: 053, P, 0, 95, 0, 0, 0, 0, 78, 33, 78, 0, 1, 13, 53, 92, 506, 20, 14, 6, 33, 53, 79, 92, 584
INVAR-5, Run: 054, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 75, 346, 24, 17, 6, 29, 53, 79, 104, 346
INVAR-5, Run: 055, P, 0, 15, 0, 0, 0, 0, 158, 33, 158, 0, 1, 13, 53, 75, 387, 20, 15, 5, 33, 53, 79, 75, 545
INVAR-5, Run: 056, P, 0, 75, 0, 0, 0, 0, 96, 32, 96, 0, 1, 11, 53, 86, 521, 21, 15, 6, 32, 53, 79, 86, 617
