Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
6, Run: 031, P, 0, 263, 0, 1, 0, 1, 438, 526, 0, 0, 1
6, Run: 032, P, 0, 279, 0, 1, 0, 1, 430, 526, 0, 0, 1
6, Run: 033, P, 0, 289, 0, 1, 0, 1, 425, 526, 0, 0, 1
6, Run: 034, P, 0, 317, 0, 1, 0, 1, 411, 526, 0, 0, 1
6, Run: 035, P, 0, 281, 0, 1, 0, 1, 429, 526, 0, 0, 1
6, Run: 036, P, 0, 249, 0, 1, 0, 1, 445, 526, 0, 0, 1
6, Run: 037, P, 0, 285, 0, 1, 0, 1, 427, 526, 0, 0, 1
6, Run: 038, P, 0, 311, 0, 1, 0, 1, 414, 526, 0, 0, 1
6, Run: 039, P, 0, 263, 0, 1, 0, 1, 438, 526, 0, 0, 1
6, Run: 040, P, 0, 289, 0, 1, 0, 1, 425, 526, 0, 0, 1
6, Run: 041, P, 0, 297, 0, 1, 0, 1, 421, 526, 0, 0, 1
6, Run: 042, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 043, P, 0, 311, 0, 1, 0, 1, 414, 526, 0, 0, 1
6, Run: 044, P, 0, 281, 0, 1, 0, 1, 429, 526, 0, 0, 1
6, Run: 045, P, 0, 295, 0, 1, 0, 1, 422, 526, 0, 0, 1
6, Run: 046, P, 0, 285, 0, 1, 0, 1, 427, 526, 0, 0, 1
6, Run: 047, P, 0, 285, 0, 1, 0, 1, 427, 526, 0, 0, 1
6, Run: 048, P, 0, 307, 0, 1, 0, 1, 416, 526, 0, 0, 1
6, Run: 049, P, 0, 305, 0, 1, 0, 1, 417, 526, 0, 0, 1
6, Run: 050, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 051, P, 0, 277, 0, 1, 0, 1, 431, 526, 0, 0, 1
6, Run: 052, P, 0, 259, 0, 1, 0, 1, 440, 526, 0, 0, 1
6, Run: 053, P, 0, 307, 0, 1, 0, 1, 416, 526, 0, 0, 1
6, Run: 054, P, 0, 263, 0, 1, 0, 1, 438, 526, 0, 0, 1
6, Run: 055, P, 0, 265, 0, 1, 0, 1, 437, 526, 0, 0, 1
6, Run: 056, P, 0, 307, 0, 1, 0, 1, 416, 526, 0, 0, 1
6, Run: 057, P, 0, 291, 0, 1, 0, 1, 424, 526, 0, 0, 1
6, Run: 058, P, 0, 275, 0, 1, 0, 1, 432, 526, 0, 0, 1
6, Run: 059, P, 0, 305, 0, 1, 0, 1, 417, 526, 0, 0, 1
6, Run: 060, P, 0, 307, 0, 1, 0, 1, 416, 526, 0, 0, 1
6, Run: 061, P, 0, 305, 0, 1, 0, 1, 417, 526, 0, 0, 1
6, Run: 062, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 063, P, 0, 307, 0, 1, 0, 1, 416, 526, 0, 0, 1
6, Run: 064, P, 0, 301, 0, 1, 0, 1, 419, 526, 0, 0, 1
6, Run: 065, P, 0, 285, 0, 1, 0, 1, 427, 526, 0, 0, 1
6, Run: 066, P, 0, 297, 0, 1, 0, 1, 421, 526, 0, 0, 1
6, Run: 067, P, 0, 283, 0, 1, 0, 1, 428, 526, 0, 0, 1
6, Run: 068, P, 0, 249, 0, 1, 0, 1, 445, 526, 0, 0, 1
6, Run: 069, P, 0, 321, 0, 1, 0, 1, 409, 526, 0, 0, 1
6, Run: 070, P, 0, 301, 0, 1, 0, 1, 419, 526, 0, 0, 1
6, Run: 071, P, 0, 267, 0, 1, 0, 1, 436, 526, 0, 0, 1
