Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
10, Run: 096, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
10, Run: 097, P, 46, 0, 0, 0, 0, 0, 0, 377, 654, 1, 0
10, Run: 098, P, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0
10, Run: 099, P, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0
10, Run: 100, P, 28, 0, 0, 0, 0, 0, 0, 386, 672, 1, 0
2, Run: 001, P, 36, 0, 0, 0, 0, 0, 0, 94, 160, 1, 0
2, Run: 002, P, 6, 0, 0, 0, 0, 0, 0, 109, 190, 1, 0
2, Run: 003, P, 20, 0, 0, 0, 0, 0, 0, 102, 176, 1, 0
2, Run: 004, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
2, Run: 005, P, 50, 0, 0, 0, 0, 0, 0, 87, 146, 1, 0
2, Run: 006, P, 34, 0, 0, 0, 0, 0, 0, 95, 162, 1, 0
2, Run: 007, P, 50, 0, 0, 0, 0, 0, 0, 87, 146, 1, 0
2, Run: 008, P, 22, 0, 0, 0, 0, 0, 0, 101, 174, 1, 0
2, Run: 009, P, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
2, Run: 010, P, 28, 0, 0, 0, 0, 0, 0, 98, 168, 1, 0
2, Run: 011, P, 12, 0, 0, 0, 0, 0, 0, 106, 184, 1, 0
2, Run: 012, P, 16, 0, 0, 0, 0, 0, 0, 104, 180, 1, 0
2, Run: 013, P, 26, 0, 0, 0, 0, 0, 0, 99, 170, 1, 0
2, Run: 014, P, 34, 0, 0, 0, 0, 0, 0, 95, 162, 1, 0
2, Run: 015, P, 40, 0, 0, 0, 0, 0, 0, 92, 156, 1, 0
2, Run: 016, P, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
2, Run: 017, P, 28, 0, 0, 0, 0, 0, 0, 98, 168, 1, 0
2, Run: 018, P, 32, 0, 0, 0, 0, 0, 0, 96, 164, 1, 0
2, Run: 019, P, 8, 0, 0, 0, 0, 0, 0, 108, 188, 1, 0
2, Run: 020, P, 34, 0, 0, 0, 0, 0, 0, 95, 162, 1, 0
2, Run: 021, P, 12, 0, 0, 0, 0, 0, 0, 106, 184, 1, 0
2, Run: 022, P, 24, 0, 0, 0, 0, 0, 0, 100, 172, 1, 0
2, Run: 023, P, 28, 0, 0, 0, 0, 0, 0, 98, 168, 1, 0
2, Run: 024, P, 2, 0, 0, 0, 0, 0, 0, 111, 194, 1, 0
2, Run: 025, P, 40, 0, 0, 0, 0, 0, 0, 92, 156, 1, 0
2, Run: 026, P, 8, 0, 0, 0, 0, 0, 0, 108, 188, 1, 0
2, Run: 027, P, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
2, Run: 028, P, 20, 0, 0, 0, 0, 0, 0, 102, 176, 1, 0
2, Run: 029, P, 26, 0, 0, 0, 0, 0, 0, 99, 170, 1, 0
2, Run: 030, P, 34, 0, 0, 0, 0, 0, 0, 95, 162, 1, 0
2, Run: 031, P, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
2, Run: 032, P, 32, 0, 0, 0, 0, 0, 0, 96, 164, 1, 0
2, Run: 033, P, 2, 0, 0, 0, 0, 0, 0, 111, 194, 1, 0
2, Run: 034, P, 0, 0, 0, 0, 0, 0, 0, 112, 196, 1, 0
2, Run: 035, P, 2, 0, 0, 0, 0, 0, 0, 111, 194, 1, 0
