Input Number, Run_Number, Result@ 100, CO, D, A, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 033, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 103, 5949, 100, 58, 41, 100, 200, 300, 104, 6048
INVAR-10, Run: 034, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 108, 4115, 100, 61, 38, 100, 200, 300, 109, 4214
INVAR-10, Run: 035, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 106, 5262, 100, 70, 29, 100, 200, 300, 107, 5361
INVAR-10, Run: 036, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 80, 5064, 100, 61, 38, 100, 200, 300, 80, 5164
INVAR-10, Run: 037, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 76, 5312, 100, 62, 37, 100, 200, 300, 77, 5411
INVAR-10, Run: 038, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 75, 5286, 100, 59, 40, 100, 200, 300, 75, 5386
INVAR-10, Run: 039, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 132, 4924, 100, 51, 48, 100, 200, 300, 132, 5024
INVAR-10, Run: 040, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 91, 5194, 100, 78, 21, 100, 200, 300, 91, 5294
INVAR-10, Run: 041, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 141, 6800, 100, 64, 35, 100, 200, 300, 141, 6900
INVAR-10, Run: 042, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 93, 5957, 100, 61, 38, 100, 200, 300, 93, 6057
INVAR-10, Run: 043, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 77, 5164, 100, 68, 31, 100, 200, 300, 78, 5263
INVAR-10, Run: 044, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 70, 5912, 100, 65, 34, 100, 200, 300, 71, 6011
INVAR-10, Run: 045, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 102, 4456, 100, 56, 43, 100, 200, 300, 103, 4555
INVAR-10, Run: 046, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 115, 5076, 100, 62, 37, 100, 200, 300, 115, 5176
INVAR-10, Run: 047, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 150, 4709, 100, 69, 30, 100, 200, 300, 151, 4808
INVAR-10, Run: 048, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 89, 5221, 100, 56, 43, 100, 200, 300, 89, 5321
INVAR-10, Run: 049, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 91, 5327, 100, 66, 33, 100, 200, 300, 92, 5426
INVAR-10, Run: 050, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 99, 5015, 100, 67, 32, 100, 200, 300, 100, 5114
INVAR-10, Run: 051, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 92, 5426, 100, 64, 35, 100, 200, 300, 93, 5525
INVAR-10, Run: 052, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 89, 5594, 100, 67, 32, 100, 200, 300, 89, 5694
