Input Number, Run_Number, Result@ 100, X1, Y, X2
INVAR-13, Run: 075, P, 18, 1766, 0
INVAR-13, Run: 076, P, 18, 1828, 0
INVAR-13, Run: 077, P, 18, 1766, 0
INVAR-13, Run: 078, P, 18, 1680, 0
INVAR-13, Run: 079, P, 18, 1823, 0
INVAR-13, Run: 080, P, 18, 1836, 0
INVAR-13, Run: 081, P, 18, 1812, 0
INVAR-13, Run: 082, P, 18, 1801, 0
INVAR-13, Run: 083, P, 18, 1801, 0
INVAR-13, Run: 084, P, 18, 1822, 0
INVAR-13, Run: 085, P, 18, 1751, 0
INVAR-13, Run: 086, P, 18, 1793, 0
INVAR-13, Run: 087, P, 18, 1857, 0
INVAR-13, Run: 088, P, 18, 1801, 0
INVAR-13, Run: 089, P, 18, 1752, 0
INVAR-13, Run: 090, P, 18, 1750, 0
INVAR-13, Run: 091, P, 18, 1737, 0
INVAR-13, Run: 092, P, 18, 1775, 0
INVAR-13, Run: 093, P, 18, 1846, 0
INVAR-13, Run: 094, P, 18, 1730, 0
INVAR-13, Run: 095, P, 18, 1804, 0
INVAR-13, Run: 096, P, 18, 1782, 0
INVAR-13, Run: 097, P, 18, 1752, 0
INVAR-13, Run: 098, P, 18, 1774, 0
INVAR-13, Run: 099, P, 18, 1799, 0
INVAR-13, Run: 100, P, 18, 1743, 0
INVAR-14, Run: 001, P, 93, 9427, 0
INVAR-14, Run: 002, P, 93, 9131, 0
INVAR-14, Run: 003, P, 93, 9058, 0
INVAR-14, Run: 004, P, 93, 9138, 0
INVAR-14, Run: 005, P, 93, 8988, 0
INVAR-14, Run: 006, P, 93, 9133, 0
INVAR-14, Run: 007, P, 93, 9127, 0
INVAR-14, Run: 008, P, 93, 9212, 0
INVAR-14, Run: 009, P, 93, 9157, 0
INVAR-14, Run: 010, P, 93, 9092, 0
INVAR-14, Run: 011, P, 93, 9296, 0
INVAR-14, Run: 012, P, 93, 9233, 0
INVAR-14, Run: 013, P, 93, 9280, 0
INVAR-14, Run: 014, P, 93, 9185, 0
INVAR-14, Run: 015, P, 93, 9330, 0
INVAR-14, Run: 016, P, 93, 9239, 0
INVAR-14, Run: 017, P, 93, 9266, 0
INVAR-14, Run: 018, P, 93, 9267, 0
INVAR-14, Run: 019, P, 93, 9194, 0
INVAR-14, Run: 020, P, 93, 9304, 0
INVAR-14, Run: 021, P, 93, 9144, 0
INVAR-14, Run: 022, P, 93, 9326, 0
INVAR-14, Run: 023, P, 93, 9277, 0
INVAR-14, Run: 024, P, 93, 9156, 0
INVAR-14, Run: 025, P, 93, 9309, 0
INVAR-14, Run: 026, P, 93, 9434, 0
INVAR-14, Run: 027, P, 93, 9241, 0
INVAR-14, Run: 028, P, 93, 9220, 0
INVAR-14, Run: 029, P, 93, 8925, 0
INVAR-14, Run: 030, P, 93, 9383, 0
INVAR-14, Run: 031, P, 93, 9481, 0
INVAR-14, Run: 032, P, 93, 9140, 0
INVAR-14, Run: 033, P, 93, 9207, 0
INVAR-14, Run: 034, P, 93, 9228, 0
INVAR-14, Run: 035, P, 93, 9237, 0
INVAR-14, Run: 036, P, 93, 9303, 0
INVAR-14, Run: 037, P, 93, 9130, 0
INVAR-14, Run: 038, P, 93, 9150, 0
INVAR-14, Run: 039, P, 93, 9207, 0
INVAR-14, Run: 040, P, 93, 9210, 0
INVAR-14, Run: 041, P, 93, 9156, 0
INVAR-14, Run: 042, P, 93, 9403, 0
INVAR-14, Run: 043, P, 93, 9171, 0
INVAR-14, Run: 044, P, 93, 9227, 0
INVAR-14, Run: 045, P, 93, 9284, 0
INVAR-14, Run: 046, P, 93, 9268, 0
INVAR-14, Run: 047, P, 93, 9302, 0
INVAR-14, Run: 048, P, 93, 9124, 0
INVAR-14, Run: 049, P, 93, 9297, 0
INVAR-14, Run: 050, P, 93, 9327, 0
INVAR-14, Run: 051, P, 93, 9424, 0
INVAR-14, Run: 052, P, 93, 9294, 0
INVAR-14, Run: 053, P, 93, 9198, 0
INVAR-14, Run: 054, P, 93, 9226, 0
