Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-46, Run: 068, E, 0, 94, 200, 0, 200, 106, 106
INVAR-46, Run: 069, E, 0, 102, 200, 0, 200, 98, 98
INVAR-46, Run: 070, E, 0, 115, 200, 0, 200, 85, 85
INVAR-46, Run: 071, E, 0, 111, 200, 0, 200, 89, 89
INVAR-46, Run: 072, E, 0, 80, 200, 0, 200, 120, 120
INVAR-46, Run: 073, E, 0, 101, 200, 0, 200, 99, 99
INVAR-46, Run: 074, E, 0, 84, 200, 0, 200, 116, 116
INVAR-46, Run: 075, E, 0, 90, 200, 0, 200, 110, 110
INVAR-46, Run: 076, E, 0, 94, 200, 0, 200, 106, 106
INVAR-46, Run: 077, E, 0, 98, 200, 0, 200, 102, 102
INVAR-46, Run: 078, E, 0, 105, 200, 0, 200, 95, 95
INVAR-46, Run: 079, E, 0, 100, 200, 0, 200, 100, 100
INVAR-46, Run: 080, E, 0, 91, 200, 0, 200, 109, 109
INVAR-46, Run: 081, E, 0, 118, 200, 0, 200, 82, 82
INVAR-46, Run: 082, E, 0, 98, 200, 0, 200, 102, 102
INVAR-46, Run: 083, E, 0, 109, 200, 0, 200, 91, 91
INVAR-46, Run: 084, E, 0, 104, 200, 0, 200, 96, 96
INVAR-46, Run: 085, E, 0, 106, 200, 0, 200, 94, 94
INVAR-46, Run: 086, E, 0, 97, 200, 0, 200, 103, 103
INVAR-46, Run: 087, E, 0, 95, 200, 0, 200, 105, 105
INVAR-46, Run: 088, E, 0, 116, 200, 0, 200, 84, 84
INVAR-46, Run: 089, E, 0, 107, 200, 0, 200, 93, 93
INVAR-46, Run: 090, E, 0, 92, 200, 0, 200, 108, 108
INVAR-46, Run: 091, E, 0, 103, 200, 0, 200, 97, 97
INVAR-46, Run: 092, E, 0, 99, 200, 0, 200, 101, 101
INVAR-46, Run: 093, E, 0, 76, 200, 0, 200, 124, 124
INVAR-46, Run: 094, E, 0, 97, 200, 0, 200, 103, 103
INVAR-46, Run: 095, E, 0, 97, 200, 0, 200, 103, 103
INVAR-46, Run: 096, E, 0, 100, 200, 0, 200, 100, 100
INVAR-46, Run: 097, E, 0, 103, 200, 0, 200, 97, 97
INVAR-46, Run: 098, E, 0, 112, 200, 0, 200, 88, 88
INVAR-46, Run: 099, E, 0, 92, 200, 0, 200, 108, 108
INVAR-46, Run: 100, E, 0, 104, 200, 0, 200, 96, 96
INVAR-5, Run: 001, E, 0, 0, 104, 34, 70, 104, 70
INVAR-5, Run: 002, E, 0, 0, 107, 37, 70, 107, 70
INVAR-5, Run: 003, E, 0, 0, 92, 22, 70, 92, 70
INVAR-5, Run: 004, E, 0, 0, 94, 24, 70, 94, 70
INVAR-5, Run: 005, E, 0, 0, 101, 31, 70, 101, 70
INVAR-5, Run: 006, E, 0, 0, 88, 18, 70, 88, 70
INVAR-5, Run: 007, E, 0, 0, 106, 36, 70, 106, 70
INVAR-5, Run: 008, E, 0, 0, 85, 15, 70, 85, 70
INVAR-5, Run: 009, E, 0, 0, 95, 25, 70, 95, 70
INVAR-5, Run: 010, E, 0, 0, 85, 15, 70, 85, 70
INVAR-5, Run: 011, E, 0, 0, 124, 54, 70, 124, 70
INVAR-5, Run: 012, E, 0, 0, 111, 41, 70, 111, 70
INVAR-5, Run: 013, E, 0, 0, 96, 26, 70, 96, 70
INVAR-5, Run: 014, E, 0, 0, 97, 27, 70, 97, 70
INVAR-5, Run: 015, E, 0, 0, 85, 15, 70, 85, 70
INVAR-5, Run: 016, E, 0, 0, 88, 18, 70, 88, 70
INVAR-5, Run: 017, E, 0, 0, 92, 22, 70, 92, 70
INVAR-5, Run: 018, E, 0, 0, 88, 18, 70, 88, 70
INVAR-5, Run: 019, E, 0, 0, 86, 16, 70, 86, 70
INVAR-5, Run: 020, E, 0, 0, 94, 24, 70, 94, 70
INVAR-5, Run: 021, E, 0, 0, 102, 32, 70, 102, 70
INVAR-5, Run: 022, E, 0, 0, 96, 26, 70, 96, 70
INVAR-5, Run: 023, E, 0, 0, 118, 48, 70, 118, 70
INVAR-5, Run: 024, E, 0, 0, 105, 35, 70, 105, 70
INVAR-5, Run: 025, E, 0, 0, 116, 46, 70, 116, 70
INVAR-5, Run: 026, E, 0, 0, 92, 22, 70, 92, 70
INVAR-5, Run: 027, E, 0, 0, 100, 30, 70, 100, 70
INVAR-5, Run: 028, E, 0, 0, 97, 27, 70, 97, 70
INVAR-5, Run: 029, E, 0, 0, 102, 32, 70, 102, 70
INVAR-5, Run: 030, E, 0, 0, 90, 20, 70, 90, 70
INVAR-5, Run: 031, E, 0, 0, 99, 29, 70, 99, 70
