Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-5, Run: 058, F, 98, 0, 63
INVAR-5, Run: 059, F, 109, 0, 63
INVAR-5, Run: 060, F, 94, 0, 63
INVAR-5, Run: 061, F, 100, 0, 63
INVAR-5, Run: 062, F, 111, 0, 63
INVAR-5, Run: 063, F, 116, 0, 63
INVAR-5, Run: 064, F, 91, 0, 63
INVAR-5, Run: 065, F, 118, 0, 63
INVAR-5, Run: 066, F, 119, 0, 63
INVAR-5, Run: 067, F, 99, 0, 63
INVAR-5, Run: 068, F, 102, 0, 63
INVAR-5, Run: 069, F, 101, 0, 63
INVAR-5, Run: 070, F, 122, 0, 63
INVAR-5, Run: 071, F, 114, 0, 63
INVAR-5, Run: 072, F, 122, 0, 63
INVAR-5, Run: 073, F, 120, 0, 63
INVAR-5, Run: 074, F, 104, 0, 63
INVAR-5, Run: 075, F, 96, 0, 63
INVAR-5, Run: 076, F, 110, 0, 63
INVAR-5, Run: 077, F, 107, 0, 63
INVAR-5, Run: 078, F, 99, 0, 63
INVAR-5, Run: 079, F, 119, 0, 63
INVAR-5, Run: 080, F, 109, 0, 63
INVAR-5, Run: 081, F, 106, 0, 63
INVAR-5, Run: 082, F, 107, 0, 63
INVAR-5, Run: 083, F, 110, 0, 63
INVAR-5, Run: 084, F, 93, 0, 63
INVAR-5, Run: 085, F, 122, 0, 63
INVAR-5, Run: 086, F, 107, 0, 63
INVAR-5, Run: 087, F, 114, 0, 63
INVAR-5, Run: 088, F, 101, 0, 63
INVAR-5, Run: 089, F, 106, 0, 63
INVAR-5, Run: 090, F, 108, 0, 63
INVAR-5, Run: 091, F, 104, 0, 63
INVAR-5, Run: 092, F, 133, 0, 63
INVAR-5, Run: 093, F, 102, 0, 63
INVAR-5, Run: 094, F, 127, 0, 63
INVAR-5, Run: 095, F, 105, 0, 63
INVAR-5, Run: 096, F, 115, 0, 63
INVAR-5, Run: 097, F, 117, 0, 63
INVAR-5, Run: 098, F, 121, 0, 63
INVAR-5, Run: 099, F, 118, 0, 63
INVAR-5, Run: 100, F, 105, 0, 63
INVAR-6, Run: 001, F, 123, 0, 169
INVAR-6, Run: 002, F, 116, 0, 169
INVAR-6, Run: 003, F, 126, 0, 169
INVAR-6, Run: 004, F, 123, 0, 169
INVAR-6, Run: 005, F, 117, 0, 169
INVAR-6, Run: 006, F, 107, 0, 169
INVAR-6, Run: 007, F, 131, 0, 169
INVAR-6, Run: 008, F, 127, 0, 169
INVAR-6, Run: 009, F, 116, 0, 169
INVAR-6, Run: 010, F, 126, 0, 169
INVAR-6, Run: 011, F, 115, 0, 169
INVAR-6, Run: 012, F, 136, 0, 169
INVAR-6, Run: 013, F, 122, 0, 169
INVAR-6, Run: 014, F, 115, 0, 169
INVAR-6, Run: 015, F, 109, 0, 169
INVAR-6, Run: 016, F, 119, 0, 169
INVAR-6, Run: 017, F, 145, 0, 169
INVAR-6, Run: 018, F, 121, 0, 169
INVAR-6, Run: 019, F, 109, 0, 169
INVAR-6, Run: 020, F, 132, 0, 169
INVAR-6, Run: 021, F, 121, 0, 169
INVAR-6, Run: 022, F, 115, 0, 169
INVAR-6, Run: 023, F, 119, 0, 169
INVAR-6, Run: 024, F, 102, 0, 169
INVAR-6, Run: 025, F, 129, 0, 169
INVAR-6, Run: 026, F, 105, 0, 169
INVAR-6, Run: 027, F, 117, 0, 169
INVAR-6, Run: 028, F, 119, 0, 169
INVAR-6, Run: 029, F, 128, 0, 169
INVAR-6, Run: 030, F, 124, 0, 169
INVAR-6, Run: 031, F, 97, 0, 169
INVAR-6, Run: 032, F, 126, 0, 169
INVAR-6, Run: 033, F, 111, 0, 169
INVAR-6, Run: 034, F, 128, 0, 169
INVAR-6, Run: 035, F, 122, 0, 169
INVAR-6, Run: 036, F, 116, 0, 169
INVAR-6, Run: 037, F, 114, 0, 169
INVAR-6, Run: 038, F, 121, 0, 169
INVAR-6, Run: 039, F, 119, 0, 169
INVAR-6, Run: 040, F, 132, 0, 169
INVAR-6, Run: 041, F, 108, 0, 169
INVAR-6, Run: 042, F, 132, 0, 169
INVAR-6, Run: 043, F, 110, 0, 169
INVAR-6, Run: 044, F, 120, 0, 169
INVAR-6, Run: 045, F, 126, 0, 169
INVAR-6, Run: 046, F, 121, 0, 169
INVAR-6, Run: 047, F, 121, 0, 169
INVAR-6, Run: 048, F, 124, 0, 169
INVAR-6, Run: 049, F, 124, 0, 169
INVAR-6, Run: 050, F, 122, 0, 169
INVAR-6, Run: 051, F, 130, 0, 169
INVAR-6, Run: 052, F, 125, 0, 169
INVAR-6, Run: 053, F, 113, 0, 169
INVAR-6, Run: 054, F, 127, 0, 169
INVAR-6, Run: 055, F, 137, 0, 169
INVAR-6, Run: 056, F, 97, 0, 169
INVAR-6, Run: 057, F, 136, 0, 169
INVAR-6, Run: 058, F, 123, 0, 169
INVAR-6, Run: 059, F, 124, 0, 169
INVAR-6, Run: 060, F, 114, 0, 169
INVAR-6, Run: 061, F, 122, 0, 169
INVAR-6, Run: 062, F, 123, 0, 169
INVAR-6, Run: 063, F, 126, 0, 169
INVAR-6, Run: 064, F, 120, 0, 169
INVAR-6, Run: 065, F, 136, 0, 169
INVAR-6, Run: 066, F, 133, 0, 169
INVAR-6, Run: 067, F, 122, 0, 169
INVAR-6, Run: 068, F, 122, 0, 169
INVAR-6, Run: 069, F, 118, 0, 169
INVAR-6, Run: 070, F, 134, 0, 169
INVAR-6, Run: 071, F, 114, 0, 169
INVAR-6, Run: 072, F, 123, 0, 169
INVAR-6, Run: 073, F, 146, 0, 169
INVAR-6, Run: 074, F, 120, 0, 169
INVAR-6, Run: 075, F, 115, 0, 169
INVAR-6, Run: 076, F, 121, 0, 169
INVAR-6, Run: 077, F, 122, 0, 169
INVAR-6, Run: 078, F, 124, 0, 169
INVAR-6, Run: 079, F, 105, 0, 169
INVAR-6, Run: 080, F, 140, 0, 169
INVAR-6, Run: 081, F, 140, 0, 169
INVAR-6, Run: 082, F, 136, 0, 169
INVAR-6, Run: 083, F, 117, 0, 169
INVAR-6, Run: 084, F, 107, 0, 169
INVAR-6, Run: 085, F, 126, 0, 169
INVAR-6, Run: 086, F, 122, 0, 169
INVAR-6, Run: 087, F, 119, 0, 169
INVAR-6, Run: 088, F, 107, 0, 169
INVAR-6, Run: 089, F, 128, 0, 169
INVAR-6, Run: 090, F, 135, 0, 169
INVAR-6, Run: 091, F, 114, 0, 169
INVAR-6, Run: 092, F, 124, 0, 169
INVAR-6, Run: 093, F, 134, 0, 169
INVAR-6, Run: 094, F, 113, 0, 169
INVAR-6, Run: 095, F, 104, 0, 169
INVAR-6, Run: 096, F, 140, 0, 169
