Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP
INVAR-11, Run: 026, P, 0, 58, 9970, 100, 0
INVAR-11, Run: 027, P, 0, 58, 10059, 100, 0
INVAR-11, Run: 028, P, 0, 58, 10194, 100, 0
INVAR-11, Run: 029, P, 0, 58, 10090, 100, 0
INVAR-11, Run: 030, P, 0, 58, 10098, 100, 0
INVAR-11, Run: 031, P, 0, 58, 10063, 100, 0
INVAR-11, Run: 032, P, 0, 58, 9989, 100, 0
INVAR-11, Run: 033, P, 0, 58, 10042, 100, 0
INVAR-11, Run: 034, P, 0, 58, 9965, 100, 0
INVAR-11, Run: 035, P, 0, 58, 10202, 100, 0
INVAR-11, Run: 036, P, 0, 58, 10107, 100, 0
INVAR-11, Run: 037, P, 0, 58, 9894, 100, 0
INVAR-11, Run: 038, P, 0, 58, 9911, 100, 0
INVAR-11, Run: 039, P, 0, 58, 10104, 100, 0
INVAR-11, Run: 040, P, 0, 58, 10119, 100, 0
INVAR-11, Run: 041, P, 0, 58, 10245, 100, 0
INVAR-11, Run: 042, P, 0, 58, 10097, 100, 0
INVAR-11, Run: 043, P, 0, 58, 9952, 100, 0
INVAR-11, Run: 044, P, 0, 58, 9858, 100, 0
INVAR-11, Run: 045, P, 0, 58, 10085, 100, 0
INVAR-11, Run: 046, P, 0, 58, 10038, 100, 0
INVAR-11, Run: 047, P, 0, 58, 9950, 100, 0
INVAR-11, Run: 048, P, 0, 58, 10183, 100, 0
INVAR-11, Run: 049, P, 0, 58, 10063, 100, 0
INVAR-11, Run: 050, P, 0, 58, 9960, 100, 0
INVAR-11, Run: 051, P, 0, 58, 9953, 100, 0
INVAR-11, Run: 052, P, 0, 58, 10052, 100, 0
INVAR-11, Run: 053, P, 0, 58, 10006, 100, 0
INVAR-11, Run: 054, P, 0, 58, 10211, 100, 0
INVAR-11, Run: 055, P, 0, 58, 10248, 100, 0
INVAR-11, Run: 056, P, 0, 58, 10156, 100, 0
INVAR-11, Run: 057, P, 0, 58, 10095, 100, 0
INVAR-11, Run: 058, P, 0, 58, 10112, 100, 0
INVAR-11, Run: 059, P, 0, 58, 10047, 100, 0
INVAR-11, Run: 060, P, 0, 58, 10196, 100, 0
INVAR-11, Run: 061, P, 0, 58, 10106, 100, 0
INVAR-11, Run: 062, P, 0, 58, 10088, 100, 0
INVAR-11, Run: 063, P, 0, 58, 9955, 100, 0
INVAR-11, Run: 064, P, 0, 58, 10172, 100, 0
INVAR-11, Run: 065, P, 0, 58, 9857, 100, 0
INVAR-11, Run: 066, P, 0, 58, 10097, 100, 0
INVAR-11, Run: 067, P, 0, 58, 9874, 100, 0
INVAR-11, Run: 068, P, 0, 58, 10233, 100, 0
INVAR-11, Run: 069, P, 0, 58, 9913, 100, 0
INVAR-11, Run: 070, P, 0, 58, 10053, 100, 0
INVAR-11, Run: 071, P, 0, 58, 10018, 100, 0
INVAR-11, Run: 072, P, 0, 58, 10034, 100, 0
INVAR-11, Run: 073, P, 0, 58, 10036, 100, 0
INVAR-11, Run: 074, P, 0, 58, 10138, 100, 0
INVAR-11, Run: 075, P, 0, 58, 10094, 100, 0
INVAR-11, Run: 076, P, 0, 58, 10176, 100, 0
INVAR-11, Run: 077, P, 0, 58, 10007, 100, 0
INVAR-11, Run: 078, P, 0, 58, 10018, 100, 0
INVAR-11, Run: 079, P, 0, 58, 9845, 100, 0
INVAR-11, Run: 080, P, 0, 58, 10110, 100, 0
INVAR-11, Run: 081, P, 0, 58, 10073, 100, 0
INVAR-11, Run: 082, P, 0, 58, 10161, 100, 0
INVAR-11, Run: 083, P, 0, 58, 9714, 100, 0
INVAR-11, Run: 084, P, 0, 58, 10148, 100, 0
INVAR-11, Run: 085, P, 0, 58, 10046, 100, 0
INVAR-11, Run: 086, P, 0, 58, 10133, 100, 0
INVAR-11, Run: 087, P, 0, 58, 9959, 100, 0
INVAR-11, Run: 088, P, 0, 58, 10072, 100, 0
INVAR-11, Run: 089, P, 0, 58, 10059, 100, 0
INVAR-11, Run: 090, P, 0, 58, 9952, 100, 0
INVAR-11, Run: 091, P, 0, 58, 10024, 100, 0
