Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F
INVAR-2, Run: 044, F, 154, 14819, 0, 0, 0, 0, 0, 14, 0, 1, 105, 0
INVAR-2, Run: 045, F, 96, 9192, 0, 0, 0, 0, 0, 72, 0, 1, 76, 0
INVAR-2, Run: 046, F, 120, 11473, 0, 0, 0, 0, 0, 48, 0, 1, 88, 0
INVAR-2, Run: 047, F, 88, 8377, 0, 0, 0, 0, 0, 80, 0, 1, 72, 0
INVAR-2, Run: 048, F, 110, 10558, 0, 0, 0, 0, 0, 58, 0, 1, 83, 0
INVAR-2, Run: 049, F, 130, 12487, 0, 0, 0, 0, 0, 38, 0, 1, 93, 0
INVAR-2, Run: 050, F, 144, 14218, 0, 0, 0, 0, 0, 24, 0, 1, 100, 0
INVAR-2, Run: 051, F, 54, 5218, 0, 0, 0, 0, 0, 114, 0, 1, 55, 0
INVAR-2, Run: 052, F, 56, 5365, 0, 0, 0, 0, 0, 112, 0, 1, 56, 0
INVAR-2, Run: 053, F, 100, 9700, 0, 0, 0, 0, 0, 68, 0, 1, 78, 0
INVAR-2, Run: 054, F, 162, 15680, 0, 0, 0, 0, 0, 6, 0, 1, 109, 0
INVAR-2, Run: 055, F, 158, 14896, 0, 0, 0, 0, 0, 10, 0, 1, 107, 0
INVAR-2, Run: 056, F, 150, 14519, 0, 0, 0, 0, 0, 18, 0, 1, 103, 0
INVAR-2, Run: 057, F, 118, 11434, 0, 0, 0, 0, 0, 50, 0, 1, 87, 0
INVAR-2, Run: 058, F, 126, 12245, 0, 0, 0, 0, 0, 42, 0, 1, 91, 0
INVAR-2, Run: 059, F, 94, 8912, 0, 0, 0, 0, 0, 74, 0, 1, 75, 0
INVAR-2, Run: 060, F, 94, 9030, 0, 0, 0, 0, 0, 74, 0, 1, 75, 0
INVAR-2, Run: 061, F, 112, 10590, 0, 0, 0, 0, 0, 56, 0, 1, 84, 0
