Input Number, Run_Number, Result@ 100, C, F, D, X1, A, B, PO, CO, Y, PE, CE, E
6, Run: 045, F, 0, 0, 0, 0, 1, 0, 1, 639, 639, 0, 0, 87
6, Run: 046, F, 0, 0, 0, 0, 1, 0, 1, 687, 687, 0, 0, 87
6, Run: 047, F, 0, 0, 0, 0, 1, 0, 1, 671, 671, 0, 0, 87
6, Run: 048, F, 0, 1, 0, 0, 1, 0, 1, 658, 658, 0, 0, 87
6, Run: 049, F, 0, 1, 0, 0, 1, 0, 1, 682, 682, 0, 0, 87
6, Run: 050, F, 0, 0, 0, 0, 1, 0, 1, 699, 699, 0, 0, 87
6, Run: 051, F, 0, 0, 0, 0, 1, 0, 1, 667, 667, 0, 0, 87
6, Run: 052, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 053, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 054, F, 0, 0, 0, 0, 1, 0, 1, 671, 671, 0, 0, 87
6, Run: 055, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 056, F, 0, 1, 0, 0, 1, 0, 1, 678, 678, 0, 0, 87
6, Run: 057, F, 0, 0, 0, 0, 1, 0, 1, 671, 671, 0, 0, 87
6, Run: 058, F, 0, 0, 0, 0, 1, 0, 1, 671, 671, 0, 0, 87
6, Run: 059, F, 0, 0, 0, 0, 1, 0, 1, 663, 663, 0, 0, 87
