Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
INVAR-2, Run: 013, P, 0, 34, 0, 0, 0, 0, 0, 162, 0, 0, 1, 0
INVAR-2, Run: 014, P, 0, 34, 0, 0, 0, 0, 0, 162, 0, 0, 1, 0
INVAR-2, Run: 015, P, 0, 38, 0, 0, 0, 0, 0, 100, 58, 58, 0, 0
INVAR-2, Run: 016, P, 0, 38, 0, 0, 0, 0, 0, 81, 77, 77, 0, 0
INVAR-2, Run: 017, P, 0, 40, 0, 0, 0, 0, 0, 82, 74, 74, 0, 0
INVAR-2, Run: 018, P, 0, 37, 0, 0, 0, 0, 0, 158, 0, 2, 1, 2
INVAR-2, Run: 019, P, 0, 40, 0, 0, 0, 0, 0, 7, 149, 149, 0, 0
INVAR-2, Run: 020, P, 0, 38, 0, 0, 0, 0, 0, 158, 0, 0, 1, 0
INVAR-2, Run: 021, P, 0, 36, 0, 0, 0, 0, 0, 37, 123, 123, 0, 0
INVAR-2, Run: 022, P, 0, 40, 0, 0, 0, 0, 0, 37, 119, 119, 0, 0
INVAR-2, Run: 023, P, 0, 36, 0, 0, 0, 0, 0, 160, 0, 0, 1, 0
INVAR-2, Run: 024, P, 0, 41, 0, 0, 0, 0, 0, 154, 0, 2, 1, 2
INVAR-2, Run: 025, P, 0, 40, 0, 0, 0, 0, 0, 22, 134, 134, 0, 0
INVAR-2, Run: 026, P, 0, 35, 0, 0, 0, 0, 0, 160, 0, 2, 1, 2
INVAR-2, Run: 027, P, 0, 40, 0, 0, 0, 0, 0, 22, 134, 134, 0, 0
INVAR-2, Run: 028, P, 0, 38, 0, 0, 0, 0, 0, 4, 154, 154, 0, 0
INVAR-2, Run: 029, P, 0, 38, 0, 0, 0, 0, 0, 52, 106, 106, 0, 0
INVAR-2, Run: 030, P, 0, 38, 0, 0, 0, 0, 0, 20, 138, 138, 0, 0
INVAR-2, Run: 031, P, 0, 42, 0, 0, 0, 0, 0, 9, 145, 145, 0, 0
INVAR-2, Run: 032, P, 0, 42, 0, 0, 0, 0, 0, 26, 128, 128, 0, 0
INVAR-2, Run: 033, P, 0, 42, 0, 0, 0, 0, 0, 11, 143, 143, 0, 0
INVAR-2, Run: 034, P, 0, 36, 0, 0, 0, 0, 0, 46, 114, 114, 0, 0
INVAR-2, Run: 035, P, 0, 36, 0, 0, 0, 0, 0, 58, 102, 102, 0, 0
INVAR-2, Run: 036, P, 0, 40, 0, 0, 0, 0, 0, 42, 114, 114, 0, 0
INVAR-2, Run: 037, P, 0, 38, 0, 0, 0, 0, 0, 5, 153, 153, 0, 0
INVAR-2, Run: 038, P, 0, 40, 0, 0, 0, 0, 0, 136, 20, 20, 0, 0
INVAR-2, Run: 039, P, 0, 36, 0, 0, 0, 0, 0, 160, 0, 0, 1, 0
INVAR-2, Run: 040, P, 0, 39, 0, 0, 0, 0, 0, 156, 0, 2, 1, 2
INVAR-2, Run: 041, P, 0, 37, 0, 0, 0, 0, 0, 158, 0, 2, 1, 2
INVAR-2, Run: 042, P, 0, 38, 0, 0, 0, 0, 0, 20, 138, 138, 0, 0
INVAR-2, Run: 043, P, 0, 40, 0, 0, 0, 0, 0, 141, 15, 15, 0, 0
INVAR-2, Run: 044, P, 0, 42, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0
INVAR-2, Run: 045, P, 0, 38, 0, 0, 0, 0, 0, 43, 115, 115, 0, 0
INVAR-2, Run: 046, P, 0, 42, 0, 0, 0, 0, 0, 55, 99, 99, 0, 0
INVAR-2, Run: 047, P, 0, 38, 0, 0, 0, 0, 0, 60, 98, 98, 0, 0
INVAR-2, Run: 048, P, 0, 36, 0, 0, 0, 0, 0, 125, 35, 35, 0, 0
INVAR-2, Run: 049, P, 0, 38, 0, 0, 0, 0, 0, 10, 148, 148, 0, 0
INVAR-2, Run: 050, P, 0, 36, 0, 0, 0, 0, 0, 17, 143, 143, 0, 0
INVAR-2, Run: 051, P, 0, 40, 0, 0, 0, 0, 0, 45, 111, 111, 0, 0
INVAR-2, Run: 052, P, 0, 42, 0, 0, 0, 0, 0, 97, 57, 57, 0, 0
INVAR-2, Run: 053, P, 0, 36, 0, 0, 0, 0, 0, 160, 0, 0, 1, 0
INVAR-2, Run: 054, P, 0, 40, 0, 0, 0, 0, 0, 46, 110, 110, 0, 0
INVAR-2, Run: 055, P, 0, 36, 0, 0, 0, 0, 0, 15, 145, 145, 0, 0
INVAR-2, Run: 056, P, 0, 40, 0, 0, 0, 0, 0, 74, 82, 82, 0, 0
INVAR-2, Run: 057, P, 0, 35, 0, 0, 0, 0, 0, 160, 0, 2, 1, 2
INVAR-2, Run: 058, P, 0, 42, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0
INVAR-2, Run: 059, P, 0, 42, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0
INVAR-2, Run: 060, P, 0, 38, 0, 0, 0, 0, 0, 63, 95, 95, 0, 0
INVAR-2, Run: 061, P, 0, 36, 0, 0, 0, 0, 0, 160, 0, 0, 1, 0
INVAR-2, Run: 062, P, 0, 38, 0, 0, 0, 0, 0, 52, 106, 106, 0, 0
INVAR-2, Run: 063, P, 0, 33, 0, 0, 0, 0, 0, 162, 0, 2, 1, 2
INVAR-2, Run: 064, P, 0, 38, 0, 0, 0, 0, 0, 158, 0, 0, 1, 0
INVAR-2, Run: 065, P, 0, 40, 0, 0, 0, 0, 0, 6, 150, 150, 0, 0
INVAR-2, Run: 066, P, 0, 42, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0
INVAR-2, Run: 067, P, 0, 36, 0, 0, 0, 0, 0, 160, 0, 0, 1, 0
INVAR-2, Run: 068, P, 0, 34, 0, 0, 0, 0, 0, 162, 0, 0, 1, 0
INVAR-2, Run: 069, P, 0, 40, 0, 0, 0, 0, 0, 7, 149, 149, 0, 0
