Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 030, P, 288, 0, 0, 0, 0, 0, 194, 0, 1, 600, 0, 94, 200, 835, 4541, 100, 67, 32, 100, 200, 300, 1029, 4541
INVAR-10, Run: 031, P, 317, 1, 0, 0, 0, 0, 208, 0, 1, 600, 0, 109, 200, 920, 4437, 100, 61, 38, 100, 200, 300, 1128, 4437
INVAR-10, Run: 032, P, 307, 3, 0, 0, 0, 0, 202, 0, 1, 600, 0, 105, 200, 711, 4169, 100, 65, 34, 100, 200, 300, 913, 4169
INVAR-10, Run: 033, P, 312, 2, 0, 0, 0, 0, 205, 0, 1, 600, 0, 107, 200, 761, 5045, 100, 66, 33, 100, 200, 300, 966, 5045
INVAR-10, Run: 034, P, 289, 1, 0, 0, 0, 0, 194, 0, 1, 600, 0, 95, 200, 907, 5373, 100, 59, 40, 100, 200, 300, 1101, 5373
INVAR-10, Run: 035, P, 320, 0, 0, 0, 0, 0, 210, 0, 1, 600, 0, 110, 200, 858, 4692, 100, 68, 31, 100, 200, 300, 1068, 4692
INVAR-10, Run: 036, P, 342, 0, 0, 0, 0, 0, 221, 0, 1, 600, 0, 121, 200, 646, 4041, 100, 72, 27, 100, 200, 300, 867, 4041
INVAR-10, Run: 037, P, 320, 0, 0, 0, 0, 0, 210, 0, 1, 600, 0, 110, 200, 929, 3696, 100, 57, 42, 100, 200, 300, 1139, 3696
INVAR-10, Run: 038, P, 297, 1, 0, 0, 0, 0, 198, 0, 1, 600, 0, 99, 200, 843, 5591, 100, 74, 25, 100, 200, 300, 1041, 5591
INVAR-10, Run: 039, P, 275, 3, 0, 0, 0, 0, 186, 0, 1, 600, 0, 89, 200, 805, 5068, 100, 71, 28, 100, 200, 300, 991, 5068
INVAR-10, Run: 040, P, 291, 1, 0, 0, 0, 0, 195, 0, 1, 600, 0, 96, 200, 1026, 4506, 100, 53, 46, 100, 200, 300, 1221, 4506
INVAR-10, Run: 041, P, 331, 1, 0, 0, 0, 0, 215, 0, 1, 600, 0, 116, 200, 958, 5460, 100, 60, 39, 100, 200, 300, 1173, 5460
INVAR-10, Run: 042, P, 287, 1, 0, 0, 0, 0, 193, 0, 1, 600, 0, 94, 200, 1185, 7002, 100, 64, 35, 100, 200, 300, 1378, 7002
INVAR-10, Run: 043, P, 322, 0, 0, 0, 0, 0, 211, 0, 1, 600, 0, 111, 200, 1115, 5985, 100, 50, 49, 100, 200, 300, 1326, 5985
INVAR-10, Run: 044, P, 343, 1, 0, 0, 0, 0, 221, 0, 1, 600, 0, 122, 200, 994, 5385, 100, 64, 35, 100, 200, 300, 1215, 5385
INVAR-10, Run: 045, P, 316, 2, 0, 0, 0, 0, 207, 0, 1, 600, 0, 109, 200, 988, 5034, 100, 60, 39, 100, 200, 300, 1195, 5034
INVAR-10, Run: 046, P, 312, 0, 0, 0, 0, 0, 206, 0, 1, 600, 0, 106, 200, 730, 5002, 100, 60, 39, 100, 200, 300, 936, 5002
INVAR-10, Run: 047, P, 324, 2, 0, 0, 0, 0, 211, 0, 1, 600, 0, 113, 200, 809, 4743, 100, 62, 37, 100, 200, 300, 1020, 4743
INVAR-10, Run: 048, P, 284, 2, 0, 0, 0, 0, 191, 0, 1, 600, 0, 93, 200, 996, 4734, 100, 68, 31, 100, 200, 300, 1187, 4734
INVAR-10, Run: 049, P, 298, 2, 0, 0, 0, 0, 198, 0, 1, 600, 0, 100, 200, 986, 5920, 100, 51, 48, 100, 200, 300, 1184, 5920
INVAR-10, Run: 050, P, 330, 2, 0, 0, 0, 0, 214, 0, 1, 600, 0, 116, 200, 1029, 4872, 100, 65, 34, 100, 200, 300, 1243, 4872
INVAR-10, Run: 051, P, 321, 1, 0, 0, 0, 0, 210, 0, 1, 600, 0, 111, 200, 832, 4759, 100, 62, 37, 100, 200, 300, 1042, 4759
INVAR-10, Run: 052, P, 293, 1, 0, 0, 0, 0, 196, 0, 1, 600, 0, 97, 200, 911, 6523, 100, 62, 37, 100, 200, 300, 1107, 6523
INVAR-10, Run: 053, P, 368, 2, 0, 0, 0, 0, 233, 0, 1, 600, 0, 135, 200, 739, 4470, 100, 72, 27, 100, 200, 300, 972, 4470
INVAR-10, Run: 054, P, 313, 1, 0, 0, 0, 0, 206, 0, 1, 600, 0, 107, 200, 1145, 5748, 100, 63, 36, 100, 200, 300, 1351, 5748
INVAR-10, Run: 055, P, 274, 2, 0, 0, 0, 0, 186, 0, 1, 600, 0, 88, 200, 1038, 6262, 100, 71, 28, 100, 200, 300, 1224, 6262
INVAR-10, Run: 056, P, 266, 2, 0, 0, 0, 0, 182, 0, 1, 600, 0, 84, 200, 725, 4701, 100, 56, 43, 100, 200, 300, 907, 4701
INVAR-10, Run: 057, P, 278, 0, 0, 0, 0, 0, 189, 0, 1, 600, 0, 89, 200, 1042, 5000, 100, 69, 30, 100, 200, 300, 1231, 5000
