Input Number, Run_Number, Result@ 100, X1, X2, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-11, Run: 073, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 074, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 075, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 076, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 077, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 078, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 079, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 080, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 081, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 082, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 083, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 084, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 085, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 086, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 087, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 088, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 089, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 090, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 091, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 092, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 093, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 094, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 095, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 096, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 097, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 098, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 099, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 100, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-12, Run: 001, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 002, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 003, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 004, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 005, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 006, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 007, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 008, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 009, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 010, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 011, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 012, P, 0, 0, 0, 7, 0, 0, 0, 0
