Input Number, Run_Number, Result@ 100, X, XP, Z, YP
INVAR-10, Run: 074, E, 0, 0, 104, 62
INVAR-10, Run: 075, E, 0, 0, 108, 66
INVAR-10, Run: 076, E, 0, 0, 95, 53
INVAR-10, Run: 077, E, 0, 0, 95, 53
INVAR-10, Run: 078, E, 0, 0, 91, 49
INVAR-10, Run: 079, E, 0, 0, 82, 40
INVAR-10, Run: 080, E, 0, 0, 86, 44
INVAR-10, Run: 081, E, 0, 0, 102, 60
INVAR-10, Run: 082, E, 0, 0, 96, 54
INVAR-10, Run: 083, E, 0, 0, 87, 45
INVAR-10, Run: 084, E, 0, 0, 105, 63
INVAR-10, Run: 085, E, 0, 0, 86, 44
INVAR-10, Run: 086, E, 0, 0, 102, 60
INVAR-10, Run: 087, E, 0, 0, 99, 57
INVAR-10, Run: 088, E, 0, 0, 87, 45
INVAR-10, Run: 089, E, 0, 0, 91, 49
INVAR-10, Run: 090, E, 0, 0, 111, 69
INVAR-10, Run: 091, E, 0, 0, 87, 45
INVAR-10, Run: 092, E, 0, 0, 106, 64
INVAR-10, Run: 093, E, 0, 0, 91, 49
INVAR-10, Run: 094, E, 0, 0, 98, 56
INVAR-10, Run: 095, E, 0, 0, 100, 58
INVAR-10, Run: 096, E, 0, 0, 82, 40
INVAR-10, Run: 097, E, 0, 0, 93, 51
INVAR-10, Run: 098, E, 0, 0, 89, 47
INVAR-10, Run: 099, E, 0, 0, 102, 60
INVAR-10, Run: 100, E, 0, 0, 102, 60
INVAR-11, Run: 001, E, 0, 0, 108, 50
INVAR-11, Run: 002, E, 0, 0, 103, 45
INVAR-11, Run: 003, E, 0, 0, 114, 56
INVAR-11, Run: 004, E, 0, 0, 93, 35
INVAR-11, Run: 005, E, 0, 0, 81, 23
INVAR-11, Run: 006, E, 0, 0, 97, 39
INVAR-11, Run: 007, E, 0, 0, 97, 39
INVAR-11, Run: 008, E, 0, 0, 97, 39
INVAR-11, Run: 009, E, 0, 0, 101, 43
INVAR-11, Run: 010, E, 0, 0, 102, 44
INVAR-11, Run: 011, E, 0, 0, 110, 52
INVAR-11, Run: 012, E, 0, 0, 96, 38
INVAR-11, Run: 013, E, 0, 0, 96, 38
INVAR-11, Run: 014, E, 0, 0, 114, 56
INVAR-11, Run: 015, E, 0, 0, 94, 36
INVAR-11, Run: 016, E, 0, 0, 87, 29
INVAR-11, Run: 017, E, 0, 0, 110, 52
INVAR-11, Run: 018, E, 0, 0, 99, 41
INVAR-11, Run: 019, E, 0, 0, 105, 47
INVAR-11, Run: 020, E, 0, 0, 100, 42
INVAR-11, Run: 021, E, 0, 0, 97, 39
INVAR-11, Run: 022, E, 0, 0, 102, 44
INVAR-11, Run: 023, E, 0, 0, 116, 58
INVAR-11, Run: 024, E, 0, 0, 120, 62
INVAR-11, Run: 025, E, 0, 0, 108, 50
INVAR-11, Run: 026, E, 0, 0, 105, 47
INVAR-11, Run: 027, E, 0, 0, 94, 36
INVAR-11, Run: 028, E, 0, 0, 100, 42
INVAR-11, Run: 029, E, 0, 0, 114, 56
INVAR-11, Run: 030, E, 0, 0, 85, 27
INVAR-11, Run: 031, E, 0, 0, 97, 39
