Input Number, Run_Number, Result@ 100, U, X1, X2, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-11, Run: 008, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 009, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 010, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 011, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 012, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 013, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 014, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 015, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 016, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 017, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 018, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 019, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 020, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 021, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 022, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 023, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 024, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 025, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 026, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 027, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 028, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 029, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 030, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 031, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 032, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 033, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 034, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 035, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 036, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 037, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 038, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 039, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 040, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 041, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 042, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 043, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 044, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 045, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 046, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 047, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 048, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 049, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 050, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 051, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 052, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 053, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 054, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 055, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 056, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 057, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 058, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 059, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 060, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 061, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 062, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 063, P, 0, 13, 0, 0, 0, 0, 0, 0
