Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 085, F, 0, 0, 0, 0, 0, 6, 49, 49, 0, 0, 9, 1, 18, 49, 0, 0, 0, 9, 0, 0, 9, 13, 18, 39, 19
INVAR-1, Run: 086, F, 0, 0, 0, 0, 0, 28, 27, 27, 0, 0, 9, 1, 18, 27, 0, 0, 0, 9, 0, 0, 9, 13, 18, 39, 19
INVAR-1, Run: 087, F, 0, 0, 0, 0, 0, 33, 22, 22, 0, 0, 9, 1, 18, 22, 0, 0, 0, 9, 0, 0, 9, 13, 18, 39, 19
INVAR-1, Run: 088, F, 0, 0, 0, 0, 0, 9, 46, 46, 0, 0, 9, 1, 18, 46, 0, 0, 0, 9, 0, 0, 9, 13, 18, 43, 21
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 4, 51, 51, 0, 0, 9, 1, 18, 51, 0, 0, 0, 9, 0, 0, 9, 13, 18, 51, 25
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 19, 36, 36, 0, 0, 9, 1, 18, 36, 0, 0, 0, 9, 0, 0, 9, 13, 18, 31, 15
INVAR-1, Run: 091, F, 0, 0, 0, 0, 0, 13, 42, 42, 0, 0, 9, 1, 18, 42, 0, 0, 0, 9, 0, 0, 9, 13, 18, 35, 17
INVAR-1, Run: 092, F, 0, 0, 0, 0, 0, 15, 40, 40, 0, 0, 9, 1, 18, 40, 0, 0, 0, 9, 0, 0, 9, 13, 18, 35, 17
INVAR-1, Run: 093, F, 0, 0, 0, 0, 0, 8, 47, 47, 0, 0, 9, 1, 18, 47, 0, 0, 0, 9, 0, 0, 9, 13, 18, 45, 22
INVAR-1, Run: 094, F, 0, 0, 0, 0, 0, 9, 46, 46, 0, 0, 9, 1, 18, 46, 0, 0, 0, 9, 0, 0, 9, 13, 18, 21, 10
INVAR-1, Run: 095, F, 0, 0, 0, 0, 0, 7, 48, 48, 0, 0, 9, 1, 18, 48, 0, 0, 0, 9, 0, 0, 9, 13, 18, 27, 13
INVAR-1, Run: 096, F, 0, 0, 0, 0, 0, 15, 40, 40, 0, 0, 9, 1, 18, 40, 0, 0, 0, 9, 0, 0, 9, 13, 18, 57, 28
INVAR-1, Run: 097, F, 0, 0, 0, 0, 0, 30, 25, 25, 0, 0, 9, 1, 18, 25, 0, 0, 0, 9, 0, 0, 9, 13, 18, 29, 14
INVAR-1, Run: 098, F, 0, 0, 0, 0, 0, 9, 46, 46, 0, 0, 9, 1, 18, 46, 0, 0, 0, 9, 0, 0, 9, 13, 18, 41, 20
INVAR-1, Run: 099, F, 0, 0, 0, 0, 0, 6, 49, 49, 0, 0, 9, 1, 18, 49, 0, 0, 0, 9, 0, 0, 9, 13, 18, 51, 25
INVAR-1, Run: 100, F, 0, 0, 0, 0, 0, 12, 43, 43, 0, 0, 9, 1, 18, 43, 0, 0, 0, 9, 0, 0, 9, 13, 18, 33, 16
INVAR-10, Run: 001, F, 0, 0, 0, 0, 0, 7, 593, 593, 0, 0, 100, 0, 200, 593, 0, 0, 0, 100, 0, 0, 100, 150, 200, 746, 373
INVAR-10, Run: 002, F, 0, 0, 0, 0, 0, 7, 593, 593, 0, 0, 100, 0, 200, 593, 0, 0, 0, 100, 0, 0, 100, 150, 200, 690, 345
INVAR-10, Run: 003, F, 0, 0, 0, 0, 0, 6, 594, 594, 0, 0, 100, 0, 200, 594, 0, 0, 0, 100, 0, 0, 100, 150, 200, 676, 338
INVAR-10, Run: 004, F, 0, 0, 0, 0, 0, 33, 567, 567, 0, 0, 100, 0, 200, 567, 0, 0, 0, 100, 0, 0, 100, 150, 200, 934, 467
INVAR-10, Run: 005, F, 0, 0, 0, 0, 0, 9, 591, 591, 0, 0, 100, 0, 200, 591, 0, 0, 0, 100, 0, 0, 100, 150, 200, 884, 442
INVAR-10, Run: 006, F, 0, 0, 0, 0, 0, 9, 591, 591, 0, 0, 100, 0, 200, 591, 0, 0, 0, 100, 0, 0, 100, 150, 200, 724, 362
INVAR-10, Run: 007, F, 0, 0, 0, 0, 0, 14, 586, 586, 0, 0, 100, 0, 200, 586, 0, 0, 0, 100, 0, 0, 100, 150, 200, 634, 317
INVAR-10, Run: 008, F, 0, 0, 0, 0, 0, 32, 568, 568, 0, 0, 100, 0, 200, 568, 0, 0, 0, 100, 0, 0, 100, 150, 200, 716, 358
INVAR-10, Run: 009, F, 0, 0, 0, 0, 0, 40, 560, 560, 0, 0, 100, 0, 200, 560, 0, 0, 0, 100, 0, 0, 100, 150, 200, 682, 341
INVAR-10, Run: 010, F, 0, 0, 0, 0, 0, 18, 582, 582, 0, 0, 100, 0, 200, 582, 0, 0, 0, 100, 0, 0, 100, 150, 200, 898, 449
INVAR-10, Run: 011, F, 0, 0, 0, 0, 0, 0, 600, 600, 0, 0, 100, 0, 200, 600, 0, 0, 0, 100, 0, 0, 100, 150, 200, 724, 362
INVAR-10, Run: 012, F, 0, 0, 0, 0, 0, 33, 567, 567, 0, 0, 100, 0, 200, 567, 0, 0, 0, 100, 0, 0, 100, 150, 200, 762, 381
INVAR-10, Run: 013, F, 0, 0, 0, 0, 0, 14, 586, 586, 0, 0, 100, 0, 200, 586, 0, 0, 0, 100, 0, 0, 100, 150, 200, 614, 307
INVAR-10, Run: 014, F, 0, 0, 0, 0, 0, 1, 599, 599, 0, 0, 100, 0, 200, 599, 0, 0, 0, 100, 0, 0, 100, 150, 200, 764, 382
INVAR-10, Run: 015, F, 0, 0, 0, 0, 0, 1, 599, 599, 0, 0, 100, 0, 200, 599, 0, 0, 0, 100, 0, 0, 100, 150, 200, 612, 306
INVAR-10, Run: 016, F, 0, 0, 0, 0, 0, 12, 588, 588, 0, 0, 100, 0, 200, 588, 0, 0, 0, 100, 0, 0, 100, 150, 200, 744, 372
INVAR-10, Run: 017, F, 0, 0, 0, 0, 0, 24, 576, 576, 0, 0, 100, 0, 200, 576, 0, 0, 0, 100, 0, 0, 100, 150, 200, 810, 405
INVAR-10, Run: 018, F, 0, 0, 0, 0, 0, 24, 576, 576, 0, 0, 100, 0, 200, 576, 0, 0, 0, 100, 0, 0, 100, 150, 200, 562, 281
INVAR-10, Run: 019, F, 0, 0, 0, 0, 0, 49, 551, 551, 0, 0, 100, 0, 200, 551, 0, 0, 0, 100, 0, 0, 100, 150, 200, 740, 370
INVAR-10, Run: 020, F, 0, 0, 0, 0, 0, 41, 559, 559, 0, 0, 100, 0, 200, 559, 0, 0, 0, 100, 0, 0, 100, 150, 200, 828, 414
INVAR-10, Run: 021, F, 0, 0, 0, 0, 0, 37, 563, 563, 0, 0, 100, 0, 200, 563, 0, 0, 0, 100, 0, 0, 100, 150, 200, 776, 388
INVAR-10, Run: 022, F, 0, 0, 0, 0, 0, 3, 597, 597, 0, 0, 100, 0, 200, 597, 0, 0, 0, 100, 0, 0, 100, 150, 200, 758, 379
INVAR-10, Run: 023, F, 0, 0, 0, 0, 0, 9, 591, 591, 0, 0, 100, 0, 200, 591, 0, 0, 0, 100, 0, 0, 100, 150, 200, 586, 293
INVAR-10, Run: 024, F, 0, 0, 0, 0, 0, 19, 581, 581, 0, 0, 100, 0, 200, 581, 0, 0, 0, 100, 0, 0, 100, 150, 200, 638, 319
INVAR-10, Run: 025, F, 0, 0, 0, 0, 0, 19, 581, 581, 0, 0, 100, 0, 200, 581, 0, 0, 0, 100, 0, 0, 100, 150, 200, 654, 327
INVAR-10, Run: 026, F, 0, 0, 0, 0, 0, 27, 573, 573, 0, 0, 100, 0, 200, 573, 0, 0, 0, 100, 0, 0, 100, 150, 200, 672, 336
INVAR-10, Run: 027, F, 0, 0, 0, 0, 0, 7, 593, 593, 0, 0, 100, 0, 200, 593, 0, 0, 0, 100, 0, 0, 100, 150, 200, 772, 386
INVAR-10, Run: 028, F, 0, 0, 0, 0, 0, 22, 578, 578, 0, 0, 100, 0, 200, 578, 0, 0, 0, 100, 0, 0, 100, 150, 200, 768, 384
INVAR-10, Run: 029, F, 0, 0, 0, 0, 0, 12, 588, 588, 0, 0, 100, 0, 200, 588, 0, 0, 0, 100, 0, 0, 100, 150, 200, 740, 370
INVAR-10, Run: 030, F, 0, 0, 0, 0, 0, 26, 574, 574, 0, 0, 100, 0, 200, 574, 0, 0, 0, 100, 0, 0, 100, 150, 200, 698, 349
INVAR-10, Run: 031, F, 0, 0, 0, 0, 0, 32, 568, 568, 0, 0, 100, 0, 200, 568, 0, 0, 0, 100, 0, 0, 100, 150, 200, 938, 469
INVAR-10, Run: 032, F, 0, 0, 0, 0, 0, 4, 596, 596, 0, 0, 100, 0, 200, 596, 0, 0, 0, 100, 0, 0, 100, 150, 200, 582, 291
INVAR-10, Run: 033, F, 0, 0, 0, 0, 0, 19, 581, 581, 0, 0, 100, 0, 200, 581, 0, 0, 0, 100, 0, 0, 100, 150, 200, 706, 353
INVAR-10, Run: 034, F, 0, 0, 0, 0, 0, 35, 565, 565, 0, 0, 100, 0, 200, 565, 0, 0, 0, 100, 0, 0, 100, 150, 200, 864, 432
INVAR-10, Run: 035, F, 0, 0, 0, 0, 0, 10, 590, 590, 0, 0, 100, 0, 200, 590, 0, 0, 0, 100, 0, 0, 100, 150, 200, 806, 403
INVAR-10, Run: 036, F, 0, 0, 0, 0, 0, 2, 598, 598, 0, 0, 100, 0, 200, 598, 0, 0, 0, 100, 0, 0, 100, 150, 200, 766, 383
INVAR-10, Run: 037, F, 0, 0, 0, 0, 0, 5, 595, 595, 0, 0, 100, 0, 200, 595, 0, 0, 0, 100, 0, 0, 100, 150, 200, 856, 428
INVAR-10, Run: 038, F, 0, 0, 0, 0, 0, 22, 578, 578, 0, 0, 100, 0, 200, 578, 0, 0, 0, 100, 0, 0, 100, 150, 200, 700, 350
INVAR-10, Run: 039, F, 0, 0, 0, 0, 0, 39, 561, 561, 0, 0, 100, 0, 200, 561, 0, 0, 0, 100, 0, 0, 100, 150, 200, 882, 441
INVAR-10, Run: 040, F, 0, 0, 0, 0, 0, 5, 595, 595, 0, 0, 100, 0, 200, 595, 0, 0, 0, 100, 0, 0, 100, 150, 200, 644, 322
INVAR-10, Run: 041, F, 0, 0, 0, 0, 0, 6, 594, 594, 0, 0, 100, 0, 200, 594, 0, 0, 0, 100, 0, 0, 100, 150, 200, 614, 307
INVAR-10, Run: 042, F, 0, 0, 0, 0, 0, 3, 597, 597, 0, 0, 100, 0, 200, 597, 0, 0, 0, 100, 0, 0, 100, 150, 200, 682, 341
INVAR-10, Run: 043, F, 0, 0, 0, 0, 0, 11, 589, 589, 0, 0, 100, 0, 200, 589, 0, 0, 0, 100, 0, 0, 100, 150, 200, 700, 350
INVAR-10, Run: 044, F, 0, 0, 0, 0, 0, 29, 571, 571, 0, 0, 100, 0, 200, 571, 0, 0, 0, 100, 0, 0, 100, 150, 200, 580, 290
INVAR-10, Run: 045, F, 0, 0, 0, 0, 0, 9, 591, 591, 0, 0, 100, 0, 200, 591, 0, 0, 0, 100, 0, 0, 100, 150, 200, 500, 250
INVAR-10, Run: 046, F, 0, 0, 0, 0, 0, 10, 590, 590, 0, 0, 100, 0, 200, 590, 0, 0, 0, 100, 0, 0, 100, 150, 200, 714, 357
INVAR-10, Run: 047, F, 0, 0, 0, 0, 0, 64, 536, 536, 0, 0, 100, 0, 200, 536, 0, 0, 0, 100, 0, 0, 100, 150, 200, 876, 438
INVAR-10, Run: 048, F, 0, 0, 0, 0, 0, 16, 584, 584, 0, 0, 100, 0, 200, 584, 0, 0, 0, 100, 0, 0, 100, 150, 200, 772, 386
