Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE
5, Run: 038, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 039, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 040, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 041, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 042, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 043, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 044, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 045, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 046, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 047, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 048, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 049, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 050, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 051, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 052, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 053, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 054, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 055, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 056, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 057, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 058, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 059, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 060, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 061, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 062, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 063, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
