Input Number, Run_Number, Result@ 100, cpd00079_c0_, cpd00089_c0_, cpd00008_c0_, cpd00061_c0_, cpd00067_c0_, cpd00002_c0_, cpd00020_c0_, cpd00009_c0_, cpd00022_c0_, cpd00010_c0_, cpd00029_c0_, cpd00169_c0_, cpd11620_c0_, cpd00001_c0_, cpd00102_c0_, cpd11621_c0_, cpd00072_c0_, cpd00290_c0_, cpd00095_c0_, cpd00003_c0_, cpd00004_c0_, cpd00203_c0_, cpd00482_c0_, Reaction1, Reaction10, Reaction11, Reaction12, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 060, P, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 061, P, 0, 31, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 19, 0, 0, 50, 0, 0, 0, 31, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 062, P, 0, 29, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 21, 0, 0, 50, 0, 0, 0, 29, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 063, P, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 064, P, 0, 22, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 0, 50, 0, 0, 0, 22, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 065, P, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 066, P, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 067, P, 0, 18, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 32, 0, 0, 50, 0, 0, 0, 18, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 068, P, 0, 21, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 29, 0, 0, 50, 0, 0, 0, 21, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 069, P, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 070, P, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 071, P, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 072, P, 0, 22, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 0, 50, 0, 0, 0, 22, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 073, P, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 074, P, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 075, P, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 076, P, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 077, P, 0, 29, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 21, 0, 0, 50, 0, 0, 0, 29, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0
