Input Number, Run_Number, Result@ 100, A2, F2P, F2, A1, F1, F1P, Y
12, Run: 033, P, 0, 0, 1, 168, 0, 1, 4
12, Run: 034, P, 23, 0, 0, 168, 0, 0, 5
12, Run: 035, P, 4, 0, 0, 168, 0, 0, 5
12, Run: 036, P, 7, 0, 0, 168, 0, 0, 5
12, Run: 037, P, 65, 0, 0, 168, 0, 0, 5
12, Run: 038, P, 19, 0, 0, 168, 0, 0, 5
12, Run: 039, P, 10, 0, 0, 168, 0, 0, 5
12, Run: 040, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 041, P, 26, 0, 0, 169, 0, 0, 5
12, Run: 042, P, 4, 0, 0, 168, 0, 0, 5
12, Run: 043, P, 18, 0, 0, 168, 0, 0, 5
12, Run: 044, P, 6, 0, 0, 168, 0, 0, 5
12, Run: 045, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 046, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 047, P, 6, 0, 0, 168, 0, 0, 5
12, Run: 048, P, 6, 0, 0, 168, 0, 0, 5
12, Run: 049, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 050, P, 1, 0, 0, 168, 0, 0, 5
12, Run: 051, P, 6, 0, 0, 168, 0, 0, 5
12, Run: 052, P, 1, 0, 0, 168, 0, 0, 5
12, Run: 053, P, 3, 0, 0, 169, 0, 0, 5
12, Run: 054, P, 19, 0, 0, 168, 0, 0, 5
12, Run: 055, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 056, P, 0, 0, 1, 169, 0, 1, 4
12, Run: 057, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 058, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 059, P, 29, 0, 0, 168, 0, 0, 5
12, Run: 060, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 061, P, 50, 0, 0, 168, 0, 0, 5
12, Run: 062, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 063, P, 13, 0, 0, 168, 0, 0, 5
12, Run: 064, P, 37, 0, 0, 168, 0, 0, 5
12, Run: 065, P, 0, 0, 1, 168, 0, 1, 4
12, Run: 066, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 067, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 068, P, 39, 0, 0, 168, 0, 0, 5
12, Run: 069, P, 31, 0, 0, 168, 0, 0, 5
12, Run: 070, P, 5, 0, 0, 168, 0, 0, 5
12, Run: 071, P, 0, 0, 1, 168, 0, 1, 4
12, Run: 072, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 073, P, 66, 0, 0, 169, 0, 0, 5
12, Run: 074, P, 32, 0, 0, 168, 0, 0, 5
12, Run: 075, P, 3, 0, 0, 169, 0, 0, 5
12, Run: 076, P, 0, 0, 1, 168, 0, 1, 4
12, Run: 077, P, 9, 0, 0, 168, 0, 0, 5
12, Run: 078, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 079, P, 5, 0, 0, 168, 0, 0, 5
12, Run: 080, P, 23, 0, 0, 168, 0, 0, 5
12, Run: 081, P, 1, 0, 0, 168, 0, 0, 5
12, Run: 082, P, 8, 0, 0, 168, 0, 0, 5
12, Run: 083, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 084, P, 2, 0, 0, 168, 0, 0, 5
12, Run: 085, P, 0, 0, 3, 168, 0, 3, 2
12, Run: 086, P, 2, 0, 0, 168, 0, 0, 5
12, Run: 087, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 088, P, 4, 0, 0, 168, 0, 0, 5
12, Run: 089, P, 23, 0, 0, 168, 0, 0, 5
12, Run: 090, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 091, P, 5, 0, 0, 168, 0, 0, 5
12, Run: 092, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 093, P, 7, 0, 0, 169, 0, 0, 5
12, Run: 094, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 095, P, 14, 0, 0, 168, 0, 0, 5
12, Run: 096, P, 0, 0, 1, 168, 0, 1, 4
12, Run: 097, P, 1, 0, 0, 168, 0, 0, 5
12, Run: 098, P, 9, 0, 0, 168, 0, 0, 5
12, Run: 099, P, 9, 0, 0, 168, 0, 0, 5
12, Run: 100, P, 0, 0, 0, 168, 0, 0, 5
13, Run: 001, P, 2, 0, 0, 11, 0, 0, 5
13, Run: 002, P, 0, 0, 1, 11, 0, 1, 4
13, Run: 003, P, 0, 0, 0, 11, 0, 0, 5
13, Run: 004, P, 1, 0, 0, 11, 0, 0, 5
13, Run: 005, P, 0, 0, 1, 11, 0, 1, 4
13, Run: 006, P, 0, 0, 0, 11, 0, 0, 5
13, Run: 007, P, 0, 0, 2, 10, 0, 2, 3
13, Run: 008, P, 0, 0, 1, 10, 0, 1, 4
13, Run: 009, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 010, P, 0, 0, 0, 11, 0, 0, 5
13, Run: 011, P, 0, 0, 1, 10, 0, 1, 4
13, Run: 012, P, 0, 0, 0, 11, 0, 0, 5
13, Run: 013, P, 0, 0, 2, 11, 0, 2, 3
13, Run: 014, P, 1, 0, 0, 11, 0, 0, 5
13, Run: 015, P, 0, 0, 1, 12, 0, 1, 4
13, Run: 016, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 017, P, 0, 0, 1, 11, 0, 1, 4
13, Run: 018, P, 0, 0, 2, 12, 0, 2, 3
13, Run: 019, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 020, P, 0, 0, 0, 11, 0, 0, 5
13, Run: 021, P, 0, 0, 1, 10, 0, 1, 4
13, Run: 022, P, 0, 0, 0, 11, 0, 0, 5
13, Run: 023, P, 2, 0, 0, 10, 0, 0, 5
13, Run: 024, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 025, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 026, P, 0, 0, 0, 12, 0, 0, 5
13, Run: 027, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 028, P, 2, 0, 0, 11, 0, 0, 5
13, Run: 029, P, 0, 0, 0, 12, 0, 0, 5
13, Run: 030, P, 0, 0, 1, 11, 0, 1, 4
13, Run: 031, P, 0, 0, 1, 10, 0, 1, 4
13, Run: 032, P, 0, 0, 1, 12, 0, 1, 4
13, Run: 033, P, 0, 0, 1, 10, 0, 1, 4
13, Run: 034, P, 0, 0, 1, 11, 0, 1, 4
13, Run: 035, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 036, P, 0, 0, 2, 12, 0, 2, 3
13, Run: 037, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 038, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 039, P, 0, 0, 2, 11, 0, 2, 3
13, Run: 040, P, 0, 0, 1, 11, 0, 1, 4
13, Run: 041, P, 0, 0, 1, 11, 0, 1, 4
13, Run: 042, P, 0, 0, 0, 10, 0, 0, 5
13, Run: 043, P, 0, 0, 1, 10, 0, 1, 4
