Input Number, Run_Number, Result@ 100, PE, Y, M, X1, H, PO, CE, D, CO, A, B
INVAR-8, Run: 006, F, 1, 0, 0, 0, 0, 0, 25, 0, 18, 262, 1
INVAR-8, Run: 007, F, 1, 0, 0, 0, 0, 0, 25, 0, 3, 231, 0
INVAR-8, Run: 008, F, 1, 0, 0, 0, 0, 0, 25, 0, 4, 234, 1
INVAR-8, Run: 009, F, 1, 0, 0, 0, 0, 0, 25, 0, 7, 239, 0
INVAR-8, Run: 010, F, 1, 0, 0, 0, 0, 0, 25, 0, 0, 226, 1
INVAR-8, Run: 011, F, 1, 0, 0, 0, 0, 0, 25, 0, 11, 247, 0
INVAR-8, Run: 012, F, 1, 0, 0, 0, 0, 0, 25, 0, 9, 243, 0
INVAR-8, Run: 013, F, 1, 0, 0, 0, 0, 0, 25, 0, 3, 231, 0
INVAR-8, Run: 014, F, 1, 0, 0, 0, 0, 0, 25, 0, 10, 246, 1
INVAR-8, Run: 015, F, 1, 0, 0, 0, 0, 0, 25, 0, 3, 231, 0
INVAR-8, Run: 016, F, 1, 0, 0, 0, 0, 0, 25, 0, 0, 226, 1
INVAR-8, Run: 017, F, 1, 0, 0, 0, 0, 0, 25, 0, 13, 251, 0
INVAR-8, Run: 018, F, 1, 0, 0, 0, 0, 0, 25, 0, 14, 254, 1
INVAR-8, Run: 019, F, 1, 0, 0, 0, 0, 0, 25, 0, 8, 242, 1
INVAR-8, Run: 020, F, 1, 0, 0, 0, 0, 0, 25, 0, 7, 239, 0
INVAR-8, Run: 021, F, 1, 0, 0, 0, 0, 0, 25, 0, 7, 239, 0
INVAR-8, Run: 022, F, 1, 0, 0, 0, 0, 0, 25, 0, 0, 226, 1
INVAR-8, Run: 023, F, 1, 0, 0, 0, 0, 0, 25, 0, 12, 250, 1
INVAR-8, Run: 024, F, 1, 0, 0, 0, 0, 0, 25, 0, 3, 231, 0
INVAR-8, Run: 025, F, 1, 0, 0, 0, 0, 0, 25, 0, 5, 235, 0
INVAR-8, Run: 026, F, 1, 0, 0, 0, 0, 0, 25, 0, 11, 247, 0
INVAR-8, Run: 027, F, 1, 0, 0, 0, 0, 0, 25, 0, 4, 234, 1
INVAR-8, Run: 028, F, 1, 0, 0, 0, 0, 0, 25, 0, 7, 239, 0
INVAR-8, Run: 029, F, 1, 0, 0, 0, 0, 0, 25, 0, 5, 235, 0
INVAR-8, Run: 030, F, 1, 0, 0, 0, 0, 0, 25, 0, 12, 250, 1
INVAR-8, Run: 031, F, 1, 0, 0, 0, 0, 0, 25, 0, 3, 231, 0
INVAR-8, Run: 032, F, 1, 0, 0, 0, 0, 0, 25, 0, 0, 226, 1
INVAR-8, Run: 033, F, 1, 0, 0, 0, 0, 0, 25, 0, 5, 235, 0
INVAR-8, Run: 034, F, 1, 0, 0, 0, 0, 0, 25, 0, 20, 266, 1
INVAR-8, Run: 035, F, 1, 0, 0, 0, 0, 0, 25, 0, 4, 234, 1
INVAR-8, Run: 036, F, 1, 0, 0, 0, 0, 0, 25, 0, 7, 239, 0
INVAR-8, Run: 037, F, 1, 0, 0, 0, 0, 0, 25, 0, 8, 242, 1
INVAR-8, Run: 038, F, 1, 0, 0, 0, 0, 0, 25, 0, 1, 227, 0
INVAR-8, Run: 039, F, 1, 0, 0, 0, 0, 0, 25, 0, 2, 230, 1
INVAR-8, Run: 040, F, 1, 0, 0, 0, 0, 0, 25, 0, 10, 246, 1
INVAR-8, Run: 041, F, 1, 0, 0, 0, 0, 0, 25, 0, 4, 234, 1
INVAR-8, Run: 042, F, 1, 0, 0, 0, 0, 0, 25, 0, 4, 234, 1
INVAR-8, Run: 043, F, 1, 0, 0, 0, 0, 0, 25, 0, 8, 242, 1
INVAR-8, Run: 044, F, 1, 0, 0, 0, 0, 0, 25, 0, 10, 246, 1
INVAR-8, Run: 045, F, 1, 0, 0, 0, 0, 0, 25, 0, 8, 242, 1
INVAR-8, Run: 046, F, 1, 0, 0, 0, 0, 0, 25, 0, 7, 239, 0
