Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 018, P, 302, 0, 0, 0, 0, 0, 201, 0, 1, 600, 0, 101, 200, 1024, 4523, 100, 59, 40, 100, 200, 300, 1225, 4523
INVAR-10, Run: 019, P, 283, 3, 0, 0, 0, 0, 190, 0, 1, 600, 0, 93, 200, 771, 4143, 100, 58, 41, 100, 200, 300, 961, 4143
INVAR-10, Run: 020, P, 324, 0, 0, 0, 0, 0, 212, 0, 1, 600, 0, 112, 200, 731, 4200, 100, 61, 38, 100, 200, 300, 943, 4200
INVAR-10, Run: 021, P, 293, 1, 0, 0, 0, 0, 196, 0, 1, 600, 0, 97, 200, 854, 3448, 100, 64, 35, 100, 200, 300, 1050, 3448
INVAR-10, Run: 022, P, 283, 1, 0, 0, 0, 0, 191, 0, 1, 600, 0, 92, 200, 791, 4924, 100, 66, 33, 100, 200, 300, 982, 4924
INVAR-10, Run: 023, P, 325, 3, 0, 0, 0, 0, 211, 0, 1, 600, 0, 114, 200, 661, 5174, 100, 54, 45, 100, 200, 300, 872, 5174
INVAR-10, Run: 024, P, 274, 0, 0, 0, 0, 0, 187, 0, 1, 600, 0, 87, 200, 970, 4975, 100, 67, 32, 100, 200, 300, 1157, 4975
INVAR-10, Run: 025, P, 293, 1, 0, 0, 0, 0, 196, 0, 1, 600, 0, 97, 200, 885, 4292, 100, 68, 31, 100, 200, 300, 1081, 4292
INVAR-10, Run: 026, P, 286, 0, 0, 0, 0, 0, 193, 0, 1, 600, 0, 93, 200, 837, 4605, 100, 56, 43, 100, 200, 300, 1030, 4605
INVAR-10, Run: 027, P, 292, 0, 0, 0, 0, 0, 196, 0, 1, 600, 0, 96, 200, 982, 4849, 100, 65, 34, 100, 200, 300, 1178, 4849
INVAR-10, Run: 028, P, 272, 2, 0, 0, 0, 0, 185, 0, 1, 600, 0, 87, 200, 981, 4970, 100, 55, 44, 100, 200, 300, 1166, 4970
INVAR-10, Run: 029, P, 311, 1, 0, 0, 0, 0, 205, 0, 1, 600, 0, 106, 200, 1020, 4900, 100, 58, 41, 100, 200, 300, 1225, 4900
INVAR-10, Run: 030, P, 268, 0, 0, 0, 0, 0, 184, 0, 1, 600, 0, 84, 200, 771, 4106, 100, 61, 38, 100, 200, 300, 955, 4106
INVAR-10, Run: 031, P, 310, 0, 0, 0, 0, 0, 205, 0, 1, 600, 0, 105, 200, 804, 3572, 100, 55, 44, 100, 200, 300, 1009, 3572
INVAR-10, Run: 032, P, 298, 0, 0, 0, 0, 0, 199, 0, 1, 600, 0, 99, 200, 940, 4735, 100, 58, 41, 100, 200, 300, 1139, 4735
INVAR-10, Run: 033, P, 315, 1, 0, 0, 0, 0, 207, 0, 1, 600, 0, 108, 200, 915, 4132, 100, 67, 32, 100, 200, 300, 1122, 4132
INVAR-10, Run: 034, P, 305, 1, 0, 0, 0, 0, 202, 0, 1, 600, 0, 103, 200, 925, 4966, 100, 68, 31, 100, 200, 300, 1127, 4966
INVAR-10, Run: 035, P, 273, 1, 0, 0, 0, 0, 186, 0, 1, 600, 0, 87, 200, 917, 4288, 100, 59, 40, 100, 200, 300, 1103, 4288
INVAR-10, Run: 036, P, 298, 0, 0, 0, 0, 0, 199, 0, 1, 600, 0, 99, 200, 854, 4688, 100, 54, 45, 100, 200, 300, 1053, 4688
INVAR-10, Run: 037, P, 303, 1, 0, 0, 0, 0, 201, 0, 1, 600, 0, 102, 200, 814, 4921, 100, 65, 34, 100, 200, 300, 1015, 4921
INVAR-10, Run: 038, P, 323, 1, 0, 0, 0, 0, 211, 0, 1, 600, 0, 112, 200, 1018, 4856, 100, 67, 32, 100, 200, 300, 1229, 4856
INVAR-10, Run: 039, P, 297, 1, 0, 0, 0, 0, 198, 0, 1, 600, 0, 99, 200, 938, 5794, 100, 65, 34, 100, 200, 300, 1136, 5794
INVAR-10, Run: 040, P, 313, 1, 0, 0, 0, 0, 206, 0, 1, 600, 0, 107, 200, 913, 4765, 100, 56, 43, 100, 200, 300, 1119, 4765
INVAR-10, Run: 041, P, 330, 0, 0, 0, 0, 0, 215, 0, 1, 600, 0, 115, 200, 710, 4427, 100, 66, 33, 100, 200, 300, 925, 4427
