Input Number, Run_Number, Result@ 100, B, F, X1, A, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 093, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 111, 5, 5, 111, 9, 5, 3, 9, 6, 18, 141, 69
INVAR-1, Run: 094, F, 0, 0, 0, 0, 0, 0, 58, 0, 2, 1, 2, 8, 4, 18, 43, 3, 1, 43, 9, 4, 4, 8, 5, 18, 114, 55
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 92, 8, 8, 92, 9, 3, 5, 9, 9, 18, 168, 84
INVAR-1, Run: 096, F, 0, 0, 0, 0, 0, 0, 57, 0, 2, 1, 2, 8, 3, 18, 171, 7, 5, 171, 9, 4, 4, 8, 6, 18, 101, 49
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 171, 2, 2, 171, 9, 5, 3, 9, 9, 18, 104, 52
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 45, 5, 3, 45, 9, 4, 4, 8, 9, 18, 118, 59
INVAR-1, Run: 099, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 96, 7, 7, 96, 9, 6, 2, 9, 8, 18, 69, 34
INVAR-1, Run: 100, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 102, 4, 4, 102, 9, 5, 3, 9, 7, 18, 64, 31
INVAR-10, Run: 001, F, 0, 0, 0, 0, 0, 0, 605, 0, 0, 1, 0, 100, 5, 200, 5513, 68, 68, 5513, 100, 68, 31, 100, 95, 200, 3879, 1937
INVAR-10, Run: 002, F, 0, 0, 0, 0, 0, 0, 611, 0, 2, 1, 2, 99, 11, 200, 4609, 59, 57, 4609, 100, 56, 43, 99, 89, 200, 4421, 2205
INVAR-10, Run: 003, F, 0, 0, 0, 0, 0, 0, 615, 0, 0, 1, 0, 100, 15, 200, 5474, 51, 51, 5474, 100, 57, 42, 100, 85, 200, 4809, 2397
INVAR-10, Run: 004, F, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100, 8, 200, 5627, 66, 66, 5627, 100, 73, 26, 100, 92, 200, 3560, 1776
INVAR-10, Run: 005, F, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100, 6, 200, 4950, 59, 59, 4950, 100, 69, 30, 100, 94, 200, 4482, 2238
INVAR-10, Run: 006, F, 0, 0, 0, 0, 0, 0, 613, 0, 0, 1, 0, 100, 13, 200, 4545, 54, 54, 4545, 100, 60, 39, 100, 87, 200, 3941, 1964
INVAR-10, Run: 007, F, 0, 0, 0, 0, 0, 0, 606, 0, 2, 1, 2, 99, 6, 200, 5428, 72, 70, 5428, 100, 70, 29, 99, 94, 200, 4070, 2032
INVAR-10, Run: 008, F, 0, 0, 0, 0, 0, 0, 611, 0, 2, 1, 2, 99, 11, 200, 6488, 60, 58, 6488, 100, 66, 33, 99, 89, 200, 4881, 2435
INVAR-10, Run: 009, F, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100, 10, 200, 6174, 69, 69, 6174, 100, 61, 38, 100, 90, 200, 4358, 2174
INVAR-10, Run: 010, F, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100, 7, 200, 5777, 66, 66, 5777, 100, 69, 30, 100, 93, 200, 4925, 2459
INVAR-10, Run: 011, F, 0, 0, 0, 0, 0, 0, 607, 0, 2, 1, 2, 99, 7, 200, 4822, 79, 77, 4822, 100, 72, 27, 99, 93, 200, 6557, 3275
INVAR-10, Run: 012, F, 0, 0, 0, 0, 0, 0, 611, 0, 2, 1, 2, 99, 11, 200, 5125, 72, 70, 5125, 100, 62, 37, 99, 89, 200, 4335, 2162
INVAR-10, Run: 013, F, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100, 10, 200, 6099, 69, 69, 6099, 100, 67, 32, 100, 90, 200, 4406, 2198
INVAR-10, Run: 014, F, 0, 0, 0, 0, 0, 0, 603, 0, 0, 1, 0, 100, 3, 200, 5564, 61, 61, 5564, 100, 64, 35, 100, 97, 200, 5611, 2804
INVAR-10, Run: 015, F, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100, 8, 200, 6618, 61, 61, 6618, 100, 48, 51, 100, 92, 200, 4752, 2372
INVAR-10, Run: 016, F, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100, 9, 200, 5312, 73, 73, 5312, 100, 54, 45, 100, 91, 200, 4091, 2041
INVAR-10, Run: 017, F, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100, 11, 200, 6297, 73, 73, 6297, 100, 69, 30, 100, 89, 200, 3493, 1741
INVAR-10, Run: 018, F, 0, 0, 0, 0, 0, 0, 603, 0, 2, 1, 2, 99, 3, 200, 5314, 64, 62, 5314, 100, 60, 39, 99, 97, 200, 4885, 2441
INVAR-10, Run: 019, F, 0, 0, 0, 0, 0, 0, 614, 0, 2, 1, 2, 99, 14, 200, 5375, 82, 80, 5375, 100, 55, 44, 99, 86, 200, 4780, 2383
INVAR-10, Run: 020, F, 0, 0, 0, 0, 0, 0, 603, 0, 0, 1, 0, 100, 3, 200, 5213, 51, 51, 5213, 100, 64, 35, 100, 97, 200, 4129, 2063
INVAR-10, Run: 021, F, 0, 0, 0, 0, 0, 0, 605, 0, 2, 1, 2, 99, 5, 200, 4788, 52, 50, 4788, 100, 65, 34, 99, 95, 200, 5463, 2729
INVAR-10, Run: 022, F, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100, 7, 200, 5333, 63, 63, 5333, 100, 67, 32, 100, 93, 200, 4659, 2326
INVAR-10, Run: 023, F, 0, 0, 0, 0, 0, 0, 609, 0, 2, 1, 2, 99, 9, 200, 5345, 74, 72, 5345, 100, 69, 30, 99, 91, 200, 3755, 1873
INVAR-10, Run: 024, F, 0, 0, 0, 0, 0, 0, 605, 0, 0, 1, 0, 100, 5, 200, 4281, 63, 63, 4281, 100, 54, 45, 100, 95, 200, 4011, 2003
INVAR-10, Run: 025, F, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100, 10, 200, 5256, 66, 66, 5256, 100, 67, 32, 100, 90, 200, 4176, 2083
INVAR-10, Run: 026, F, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100, 10, 200, 5306, 63, 63, 5306, 100, 62, 37, 100, 90, 200, 4486, 2238
INVAR-10, Run: 027, F, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100, 11, 200, 3745, 82, 82, 3745, 100, 65, 34, 100, 89, 200, 4613, 2301
INVAR-10, Run: 028, F, 0, 0, 0, 0, 0, 0, 613, 0, 0, 1, 0, 100, 13, 200, 4814, 99, 99, 4814, 100, 65, 34, 100, 87, 200, 4197, 2092
INVAR-10, Run: 029, F, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100, 9, 200, 4379, 71, 71, 4379, 100, 59, 40, 100, 91, 200, 3311, 1651
INVAR-10, Run: 030, F, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100, 8, 200, 4839, 81, 81, 4839, 100, 53, 46, 100, 92, 200, 3742, 1867
INVAR-10, Run: 031, F, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100, 9, 200, 4904, 63, 63, 4904, 100, 63, 36, 100, 91, 200, 5731, 2861
INVAR-10, Run: 032, F, 0, 0, 0, 0, 0, 0, 609, 0, 2, 1, 2, 99, 9, 200, 4637, 73, 71, 4637, 100, 56, 43, 99, 91, 200, 3073, 1532
INVAR-10, Run: 033, F, 0, 0, 0, 0, 0, 0, 611, 0, 2, 1, 2, 99, 11, 200, 6079, 76, 74, 6079, 100, 73, 26, 99, 89, 200, 5127, 2558
INVAR-10, Run: 034, F, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100, 8, 200, 5077, 61, 61, 5077, 100, 66, 33, 100, 92, 200, 4118, 2055
