Input Number, Run_Number, Result@ 100, X, XP, Z, YP
10, Run: 098, E, 0, 0, 99, 57
10, Run: 099, E, 0, 0, 92, 50
10, Run: 100, E, 0, 0, 132, 90
11, Run: 001, E, 0, 0, 85, 27
11, Run: 002, E, 0, 0, 83, 25
11, Run: 003, E, 0, 0, 93, 35
11, Run: 004, E, 0, 0, 115, 57
11, Run: 005, E, 0, 0, 79, 21
11, Run: 006, E, 0, 0, 94, 36
11, Run: 007, E, 0, 0, 87, 29
11, Run: 008, E, 0, 0, 98, 40
11, Run: 009, E, 0, 0, 125, 67
11, Run: 010, E, 0, 0, 97, 39
11, Run: 011, E, 0, 0, 91, 33
11, Run: 012, E, 0, 0, 103, 45
11, Run: 013, E, 0, 0, 122, 64
11, Run: 014, E, 0, 0, 109, 51
11, Run: 015, E, 0, 0, 91, 33
11, Run: 016, E, 0, 0, 87, 29
11, Run: 017, E, 0, 0, 92, 34
11, Run: 018, E, 0, 0, 102, 44
11, Run: 019, E, 0, 0, 126, 68
11, Run: 020, E, 0, 0, 104, 46
11, Run: 021, E, 0, 0, 93, 35
11, Run: 022, E, 0, 0, 98, 40
11, Run: 023, E, 0, 0, 96, 38
11, Run: 024, E, 0, 0, 86, 28
11, Run: 025, E, 0, 0, 87, 29
11, Run: 026, E, 0, 0, 106, 48
11, Run: 027, E, 0, 0, 88, 30
11, Run: 028, E, 0, 0, 104, 46
11, Run: 029, E, 0, 0, 98, 40
11, Run: 030, E, 0, 0, 95, 37
11, Run: 031, E, 0, 0, 96, 38
11, Run: 032, E, 0, 0, 93, 35
11, Run: 033, E, 0, 0, 105, 47
11, Run: 034, E, 0, 0, 99, 41
11, Run: 035, E, 0, 0, 94, 36
11, Run: 036, E, 0, 0, 107, 49
11, Run: 037, E, 0, 0, 92, 34
11, Run: 038, E, 0, 0, 111, 53
11, Run: 039, E, 0, 0, 104, 46
11, Run: 040, E, 0, 0, 102, 44
11, Run: 041, E, 0, 0, 112, 54
11, Run: 042, E, 0, 0, 101, 43
11, Run: 043, E, 0, 0, 99, 41
11, Run: 044, E, 0, 0, 103, 45
11, Run: 045, E, 0, 0, 105, 47
11, Run: 046, E, 0, 0, 108, 50
11, Run: 047, E, 0, 0, 102, 44
11, Run: 048, E, 0, 0, 102, 44
11, Run: 049, E, 0, 0, 94, 36
11, Run: 050, E, 0, 0, 110, 52
11, Run: 051, E, 0, 0, 90, 32
11, Run: 052, E, 0, 0, 111, 53
11, Run: 053, E, 0, 0, 103, 45
11, Run: 054, E, 0, 0, 105, 47
11, Run: 055, E, 0, 0, 106, 48
11, Run: 056, E, 0, 0, 104, 46
11, Run: 057, E, 0, 0, 99, 41
11, Run: 058, E, 0, 0, 112, 54
11, Run: 059, E, 0, 0, 119, 61
11, Run: 060, E, 0, 0, 96, 38
11, Run: 061, E, 0, 0, 98, 40
11, Run: 062, E, 0, 0, 103, 45
11, Run: 063, E, 0, 0, 111, 53
11, Run: 064, E, 0, 0, 98, 40
11, Run: 065, E, 0, 0, 82, 24
11, Run: 066, E, 0, 0, 94, 36
11, Run: 067, E, 0, 0, 85, 27
11, Run: 068, E, 0, 0, 82, 24
11, Run: 069, E, 0, 0, 94, 36
11, Run: 070, E, 0, 0, 94, 36
11, Run: 071, E, 0, 0, 112, 54
11, Run: 072, E, 0, 0, 88, 30
11, Run: 073, E, 0, 0, 110, 52
11, Run: 074, E, 0, 0, 107, 49
11, Run: 075, E, 0, 0, 110, 52
11, Run: 076, E, 0, 0, 90, 32
11, Run: 077, E, 0, 0, 82, 24
11, Run: 078, E, 0, 0, 101, 43
11, Run: 079, E, 0, 0, 91, 33
11, Run: 080, E, 0, 0, 95, 37
11, Run: 081, E, 0, 0, 87, 29
11, Run: 082, E, 0, 0, 87, 29
11, Run: 083, E, 0, 0, 111, 53
11, Run: 084, E, 0, 0, 100, 42
11, Run: 085, E, 0, 0, 114, 56
11, Run: 086, E, 0, 0, 82, 24
11, Run: 087, E, 0, 0, 105, 47
11, Run: 088, E, 0, 0, 88, 30
11, Run: 089, E, 0, 0, 111, 53
11, Run: 090, E, 0, 0, 90, 32
11, Run: 091, E, 0, 0, 104, 46
11, Run: 092, E, 0, 0, 93, 35
11, Run: 093, E, 0, 0, 101, 43
11, Run: 094, E, 0, 0, 100, 42
11, Run: 095, E, 0, 0, 109, 51
11, Run: 096, E, 0, 0, 102, 44
11, Run: 097, E, 0, 0, 114, 56
11, Run: 098, E, 0, 0, 102, 44
11, Run: 099, E, 0, 0, 100, 42
11, Run: 100, E, 0, 0, 86, 28
12, Run: 001, E, 0, 28, 130, 0
12, Run: 002, E, 0, 38, 130, 0
12, Run: 003, E, 0, 32, 130, 0
12, Run: 004, E, 0, 33, 130, 0
12, Run: 005, E, 0, 50, 130, 0
12, Run: 006, E, 0, 41, 130, 0
12, Run: 007, E, 0, 27, 130, 0
12, Run: 008, E, 0, 28, 130, 0
12, Run: 009, E, 0, 20, 130, 0
12, Run: 010, E, 0, 21, 130, 0
12, Run: 011, E, 0, 25, 130, 0
12, Run: 012, E, 0, 13, 130, 0
12, Run: 013, E, 0, 24, 130, 0
12, Run: 014, E, 0, 19, 130, 0
12, Run: 015, E, 0, 29, 130, 0
12, Run: 016, E, 0, 44, 130, 0
12, Run: 017, E, 0, 46, 130, 0
12, Run: 018, E, 0, 39, 130, 0
12, Run: 019, E, 0, 23, 130, 0
12, Run: 020, E, 0, 16, 130, 0
12, Run: 021, E, 0, 26, 130, 0
12, Run: 022, E, 0, 37, 130, 0
12, Run: 023, E, 0, 41, 130, 0
12, Run: 024, E, 0, 40, 130, 0
12, Run: 025, E, 0, 22, 130, 0
12, Run: 026, E, 0, 45, 130, 0
12, Run: 027, E, 0, 26, 130, 0
12, Run: 028, E, 0, 31, 130, 0
12, Run: 029, E, 0, 37, 130, 0
12, Run: 030, E, 0, 15, 130, 0
12, Run: 031, E, 0, 22, 130, 0
12, Run: 032, E, 0, 64, 130, 0
12, Run: 033, E, 0, 17, 130, 0
12, Run: 034, E, 0, 31, 130, 0
12, Run: 035, E, 0, 54, 130, 0
12, Run: 036, E, 0, 42, 130, 0
12, Run: 037, E, 0, 50, 130, 0
12, Run: 038, E, 0, 44, 130, 0
12, Run: 039, E, 0, 10, 130, 0
12, Run: 040, E, 0, 37, 130, 0
12, Run: 041, E, 0, 47, 130, 0
12, Run: 042, E, 0, 33, 130, 0
12, Run: 043, E, 0, 31, 130, 0
12, Run: 044, E, 0, 29, 130, 0
12, Run: 045, E, 0, 29, 130, 0
12, Run: 046, E, 0, 18, 130, 0
12, Run: 047, E, 0, 23, 130, 0
12, Run: 048, E, 0, 33, 130, 0
12, Run: 049, E, 0, 23, 130, 0
12, Run: 050, E, 0, 30, 130, 0
12, Run: 051, E, 0, 40, 130, 0
12, Run: 052, E, 0, 21, 130, 0
12, Run: 053, E, 0, 30, 130, 0
12, Run: 054, E, 0, 43, 130, 0
12, Run: 055, E, 0, 45, 130, 0
12, Run: 056, E, 0, 34, 130, 0
12, Run: 057, E, 0, 28, 130, 0
12, Run: 058, E, 0, 40, 130, 0
12, Run: 059, E, 0, 37, 130, 0
12, Run: 060, E, 0, 28, 130, 0
12, Run: 061, E, 0, 40, 130, 0
12, Run: 062, E, 0, 14, 130, 0
12, Run: 063, E, 0, 32, 130, 0
