Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 017, P, 0, 0, 1, 0, 1, 965, 54, 874, 0, 0, 1, 91, 291, 651, 12728, 145, 90, 55, 145, 291, 436, 742, 13602
INVAR-10, Run: 018, P, 0, 0, 1, 0, 1, 1069, 41, 952, 0, 0, 1, 117, 317, 699, 17943, 158, 88, 70, 158, 317, 475, 816, 18895
INVAR-10, Run: 019, P, 49, 0, 0, 0, 0, 151, 0, 0, 1, 906, 0, 102, 302, 590, 13458, 151, 109, 41, 151, 302, 453, 741, 13458
INVAR-10, Run: 020, P, 49, 0, 0, 0, 0, 151, 0, 0, 1, 906, 0, 102, 302, 639, 13519, 151, 93, 57, 151, 302, 453, 790, 13519
INVAR-10, Run: 021, P, 0, 0, 1, 0, 1, 965, 54, 874, 0, 0, 1, 91, 291, 590, 12109, 145, 93, 52, 145, 291, 436, 681, 12983
INVAR-10, Run: 022, P, 0, 0, 1, 0, 1, 1157, 30, 1018, 0, 0, 1, 139, 339, 803, 23090, 169, 101, 68, 169, 339, 508, 942, 24108
INVAR-10, Run: 023, P, 21, 0, 0, 0, 0, 179, 0, 0, 1, 1074, 0, 158, 358, 621, 25696, 179, 128, 50, 179, 358, 537, 800, 25696
INVAR-10, Run: 024, P, 35, 0, 0, 0, 0, 165, 0, 0, 1, 990, 0, 130, 330, 606, 18388, 165, 99, 65, 165, 330, 495, 771, 18388
INVAR-10, Run: 025, P, 40, 0, 0, 0, 0, 160, 0, 0, 1, 960, 0, 120, 320, 832, 20761, 160, 98, 61, 160, 320, 480, 992, 20761
INVAR-10, Run: 026, P, 0, 0, 1, 0, 1, 1181, 27, 1036, 0, 0, 1, 145, 345, 1047, 28072, 172, 115, 57, 172, 345, 517, 1192, 29108
INVAR-10, Run: 027, P, 15, 0, 0, 0, 0, 185, 0, 0, 1, 1110, 0, 170, 370, 894, 27421, 185, 127, 57, 185, 370, 555, 1079, 27421
INVAR-10, Run: 028, P, 40, 0, 0, 0, 0, 160, 0, 0, 1, 960, 0, 120, 320, 832, 19259, 160, 106, 53, 160, 320, 480, 992, 19259
INVAR-10, Run: 029, P, 30, 0, 0, 0, 0, 170, 0, 0, 1, 1020, 0, 140, 340, 706, 19827, 170, 109, 60, 170, 340, 510, 876, 19827
INVAR-10, Run: 030, P, 0, 0, 1, 0, 1, 1253, 18, 1090, 0, 0, 1, 163, 363, 719, 25860, 181, 119, 62, 181, 363, 544, 882, 26950
INVAR-10, Run: 031, P, 0, 0, 1, 0, 1, 1093, 38, 970, 0, 0, 1, 123, 323, 635, 19393, 161, 105, 56, 161, 323, 484, 758, 20363
INVAR-10, Run: 032, P, 53, 0, 0, 0, 0, 147, 0, 0, 1, 882, 0, 94, 294, 530, 13114, 147, 84, 62, 147, 294, 441, 677, 13114
INVAR-10, Run: 033, P, 56, 0, 0, 0, 0, 144, 0, 0, 1, 864, 0, 88, 288, 582, 15236, 144, 110, 33, 144, 288, 432, 726, 15236
INVAR-10, Run: 034, P, 46, 0, 0, 0, 0, 154, 0, 0, 1, 924, 0, 108, 308, 810, 15550, 154, 93, 60, 154, 308, 462, 964, 15550
INVAR-10, Run: 035, P, 66, 0, 0, 0, 0, 134, 0, 0, 1, 804, 0, 68, 268, 506, 9871, 134, 94, 39, 134, 268, 402, 640, 9871
INVAR-10, Run: 036, P, 0, 0, 1, 0, 1, 1061, 42, 946, 0, 0, 1, 115, 315, 865, 17885, 157, 97, 60, 157, 315, 472, 980, 18831
INVAR-10, Run: 037, P, 0, 0, 1, 0, 1, 1205, 24, 1054, 0, 0, 1, 151, 351, 652, 21924, 175, 103, 72, 175, 351, 526, 803, 22978
INVAR-10, Run: 038, P, 0, 0, 1, 0, 1, 1061, 42, 946, 0, 0, 1, 115, 315, 700, 18571, 157, 114, 43, 157, 315, 472, 815, 19517
INVAR-10, Run: 039, P, 43, 0, 0, 0, 0, 157, 0, 0, 1, 942, 0, 114, 314, 624, 16442, 157, 98, 58, 157, 314, 471, 781, 16442
INVAR-10, Run: 040, P, 47, 0, 0, 0, 0, 153, 0, 0, 1, 918, 0, 106, 306, 608, 14229, 153, 98, 54, 153, 306, 459, 761, 14229
INVAR-10, Run: 041, P, 28, 0, 0, 0, 0, 172, 0, 0, 1, 1032, 0, 144, 344, 725, 20606, 172, 108, 63, 172, 344, 516, 897, 20606
INVAR-10, Run: 042, P, 0, 0, 1, 0, 1, 989, 51, 892, 0, 0, 1, 97, 297, 782, 14838, 148, 103, 45, 148, 297, 445, 879, 15730
