Input Number, Run_Number, Result@ 100, U, X2, X1, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-11, Run: 043, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 044, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 045, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 046, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 047, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 048, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 049, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 050, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 051, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 052, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 053, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 054, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 055, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 056, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 057, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 058, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 059, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 060, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 061, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 062, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 063, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 064, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 065, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 066, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 067, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 068, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 069, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 070, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 071, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 072, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 073, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 074, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 075, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 076, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 077, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 078, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 079, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 080, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 081, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 082, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 083, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 084, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 085, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 086, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 087, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 088, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 089, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 090, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 091, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 092, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 093, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 094, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 095, P, 0, 0, 13, 0, 0, 0, 0
