Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, Y, PE, CE, CO, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 19, 581, 1, 0, 0, 100, 0, 200, 581, 57, 57, 0, 100, 61, 38, 100, 100, 200, 616, 308
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 28, 572, 1, 0, 0, 100, 0, 200, 572, 62, 62, 0, 100, 71, 28, 100, 100, 200, 596, 298
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 51, 551, 1, 2, 0, 99, 0, 200, 549, 47, 45, 0, 100, 61, 38, 99, 100, 200, 514, 257
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 600, 1, 0, 0, 100, 0, 200, 600, 68, 68, 0, 100, 72, 27, 100, 100, 200, 640, 320
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 15, 585, 1, 0, 0, 100, 0, 200, 585, 71, 71, 0, 100, 66, 33, 100, 100, 200, 612, 306
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 5, 595, 1, 0, 0, 100, 0, 200, 595, 57, 57, 0, 100, 73, 26, 100, 100, 200, 490, 245
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 600, 1, 0, 0, 100, 0, 200, 600, 79, 79, 0, 100, 67, 32, 100, 100, 200, 536, 268
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 4, 596, 1, 0, 0, 100, 0, 200, 596, 73, 73, 0, 100, 62, 37, 100, 100, 200, 688, 344
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 24, 578, 1, 2, 0, 99, 0, 200, 576, 63, 61, 0, 100, 61, 38, 99, 100, 200, 564, 282
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 4, 596, 1, 0, 0, 100, 0, 200, 596, 44, 44, 0, 100, 64, 35, 100, 100, 200, 568, 284
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 24, 576, 1, 0, 0, 100, 0, 200, 576, 79, 79, 0, 100, 57, 42, 100, 100, 200, 622, 311
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 35, 567, 1, 2, 0, 99, 0, 200, 565, 61, 59, 0, 100, 59, 40, 99, 100, 200, 676, 338
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 32, 570, 1, 2, 0, 99, 0, 200, 568, 84, 82, 0, 100, 67, 32, 99, 100, 200, 550, 275
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 23, 577, 1, 0, 0, 100, 0, 200, 577, 67, 67, 0, 100, 64, 35, 100, 100, 200, 556, 278
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 4, 598, 1, 2, 0, 99, 0, 200, 596, 78, 76, 0, 100, 70, 29, 99, 100, 200, 558, 279
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 19, 583, 1, 2, 0, 99, 0, 200, 581, 69, 67, 0, 100, 61, 38, 99, 100, 200, 626, 313
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 12, 590, 1, 2, 0, 99, 0, 200, 588, 86, 84, 0, 100, 53, 46, 99, 100, 200, 566, 283
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 9, 591, 1, 0, 0, 100, 0, 200, 591, 76, 76, 0, 100, 62, 37, 100, 100, 200, 458, 229
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 44, 556, 1, 0, 0, 100, 0, 200, 556, 78, 78, 0, 100, 64, 35, 100, 100, 200, 534, 267
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 20, 580, 1, 0, 0, 100, 0, 200, 580, 69, 69, 0, 100, 62, 37, 100, 100, 200, 554, 277
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 5, 595, 1, 0, 0, 100, 0, 200, 595, 67, 67, 0, 100, 64, 35, 100, 100, 200, 554, 277
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 3, 597, 1, 0, 0, 100, 0, 200, 597, 72, 72, 0, 100, 60, 39, 100, 100, 200, 576, 288
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 35, 567, 1, 2, 0, 99, 0, 200, 565, 75, 73, 0, 100, 56, 43, 99, 100, 200, 730, 365
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 6, 594, 1, 0, 0, 100, 0, 200, 594, 58, 58, 0, 100, 63, 36, 100, 100, 200, 410, 205
INVAR-10, Run: 045, P, 0, 0, 0, 0, 0, 16, 586, 1, 2, 0, 99, 0, 200, 584, 56, 54, 0, 100, 72, 27, 99, 100, 200, 674, 337
INVAR-10, Run: 046, P, 0, 0, 0, 0, 0, 19, 583, 1, 2, 0, 99, 0, 200, 581, 67, 65, 0, 100, 54, 45, 99, 100, 200, 672, 336
INVAR-10, Run: 047, P, 0, 0, 0, 0, 0, 5, 597, 1, 2, 0, 99, 0, 200, 595, 63, 61, 0, 100, 63, 36, 99, 100, 200, 480, 240
INVAR-10, Run: 048, P, 0, 0, 0, 0, 0, 22, 578, 1, 0, 0, 100, 0, 200, 578, 62, 62, 0, 100, 51, 48, 100, 100, 200, 536, 268
