Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
INVAR-2, Run: 056, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 057, P, 42, 0, 0, 0, 0, 0, 0, 91, 154, 1, 0
INVAR-2, Run: 058, P, 68, 0, 0, 0, 0, 0, 0, 78, 128, 1, 0
INVAR-2, Run: 059, F, 2, 0, 0, 0, 0, 0, 0, 111, 194, 1, 0
INVAR-2, Run: 060, F, 2, 0, 0, 0, 0, 0, 0, 111, 194, 1, 0
INVAR-2, Run: 061, P, 22, 0, 0, 0, 0, 0, 0, 101, 174, 1, 0
INVAR-2, Run: 062, P, 18, 0, 0, 0, 0, 0, 0, 103, 178, 1, 0
INVAR-2, Run: 063, P, 18, 0, 0, 0, 0, 0, 0, 103, 178, 1, 0
INVAR-2, Run: 064, P, 8, 0, 0, 0, 0, 0, 0, 108, 188, 1, 0
INVAR-2, Run: 065, P, 60, 0, 0, 0, 0, 0, 0, 82, 136, 1, 0
INVAR-2, Run: 066, P, 54, 0, 0, 0, 0, 0, 0, 85, 142, 1, 0
INVAR-2, Run: 067, P, 6, 0, 0, 0, 0, 0, 0, 109, 190, 1, 0
INVAR-2, Run: 068, P, 52, 0, 0, 0, 0, 0, 0, 86, 144, 1, 0
INVAR-2, Run: 069, F, 0, 0, 0, 0, 0, 0, 0, 112, 196, 1, 0
INVAR-2, Run: 070, P, 46, 0, 0, 0, 0, 0, 0, 89, 150, 1, 0
INVAR-2, Run: 071, P, 26, 0, 0, 0, 0, 0, 0, 99, 170, 1, 0
INVAR-2, Run: 072, P, 8, 0, 0, 0, 0, 0, 0, 108, 188, 1, 0
INVAR-2, Run: 073, P, 18, 0, 0, 0, 0, 0, 0, 103, 178, 1, 0
INVAR-2, Run: 074, P, 46, 0, 0, 0, 0, 0, 0, 89, 150, 1, 0
INVAR-2, Run: 075, P, 10, 0, 0, 0, 0, 0, 0, 107, 186, 1, 0
INVAR-2, Run: 076, P, 22, 0, 0, 0, 0, 0, 0, 101, 174, 1, 0
INVAR-2, Run: 077, P, 6, 0, 0, 0, 0, 0, 0, 109, 190, 1, 0
INVAR-2, Run: 078, F, 2, 0, 0, 0, 0, 0, 0, 111, 194, 1, 0
INVAR-2, Run: 079, P, 6, 0, 0, 0, 0, 0, 0, 109, 190, 1, 0
INVAR-2, Run: 080, P, 16, 0, 0, 0, 0, 0, 0, 104, 180, 1, 0
INVAR-2, Run: 081, P, 18, 0, 0, 0, 0, 0, 0, 103, 178, 1, 0
INVAR-2, Run: 082, F, 2, 0, 0, 0, 0, 0, 0, 111, 194, 1, 0
INVAR-2, Run: 083, P, 34, 0, 0, 0, 0, 0, 0, 95, 162, 1, 0
INVAR-2, Run: 084, P, 68, 0, 0, 0, 0, 0, 0, 78, 128, 1, 0
INVAR-2, Run: 085, P, 24, 0, 0, 0, 0, 0, 0, 100, 172, 1, 0
INVAR-2, Run: 086, F, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
INVAR-2, Run: 087, P, 12, 0, 0, 0, 0, 0, 0, 106, 184, 1, 0
INVAR-2, Run: 088, P, 20, 0, 0, 0, 0, 0, 0, 102, 176, 1, 0
INVAR-2, Run: 089, P, 12, 0, 0, 0, 0, 0, 0, 106, 184, 1, 0
INVAR-2, Run: 090, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 091, P, 42, 0, 0, 0, 0, 0, 0, 91, 154, 1, 0
INVAR-2, Run: 092, P, 16, 0, 0, 0, 0, 0, 0, 104, 180, 1, 0
INVAR-2, Run: 093, P, 34, 0, 0, 0, 0, 0, 0, 95, 162, 1, 0
INVAR-2, Run: 094, P, 18, 0, 0, 0, 0, 0, 0, 103, 178, 1, 0
INVAR-2, Run: 095, P, 50, 0, 0, 0, 0, 0, 0, 87, 146, 1, 0
INVAR-2, Run: 096, P, 66, 0, 0, 0, 0, 0, 0, 79, 130, 1, 0
