Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B
2, Run: 024, F, 56, 11, 3, 27, 27, 868, 0, 4, 0, 0, 0
2, Run: 025, F, 56, 4, 4, 18, 18, 870, 0, 1, 0, 0, 0
2, Run: 026, F, 56, 5, 9, 14, 14, 895, 0, 3, 0, 0, 0
2, Run: 027, F, 56, 2, 6, 31, 31, 880, 0, 5, 0, 0, 0
2, Run: 028, F, 56, 4, 4, 33, 33, 892, 0, 5, 0, 0, 0
2, Run: 029, F, 56, 6, 4, 28, 28, 844, 0, 3, 0, 0, 0
2, Run: 030, F, 56, 8, 4, 34, 34, 887, 0, 6, 0, 0, 0
2, Run: 031, F, 56, 5, 3, 32, 32, 867, 0, 3, 0, 0, 0
2, Run: 032, F, 56, 9, 3, 43, 43, 881, 0, 5, 0, 0, 0
2, Run: 033, F, 56, 8, 8, 21, 21, 865, 0, 6, 0, 0, 0
2, Run: 034, F, 56, 6, 6, 19, 19, 889, 0, 4, 0, 0, 0
2, Run: 035, F, 56, 7, 5, 28, 28, 879, 0, 3, 0, 0, 0
2, Run: 036, F, 56, 3, 5, 43, 43, 869, 0, 5, 0, 0, 0
2, Run: 037, F, 56, 5, 5, 25, 25, 864, 0, 6, 0, 0, 0
2, Run: 038, F, 56, 6, 4, 30, 30, 896, 0, 5, 0, 0, 0
2, Run: 039, F, 56, 6, 8, 24, 24, 871, 0, 4, 0, 0, 0
2, Run: 040, F, 56, 5, 5, 32, 32, 872, 0, 4, 0, 0, 0
2, Run: 041, F, 56, 5, 5, 31, 31, 858, 0, 4, 0, 0, 0
2, Run: 042, F, 56, 8, 4, 27, 27, 879, 0, 4, 0, 0, 0
2, Run: 043, F, 56, 9, 5, 27, 27, 854, 0, 4, 0, 0, 0
2, Run: 044, F, 56, 7, 7, 15, 15, 902, 0, 2, 0, 0, 0
2, Run: 045, F, 56, 6, 6, 19, 19, 864, 0, 3, 0, 0, 0
2, Run: 046, F, 56, 7, 3, 27, 27, 863, 0, 5, 0, 0, 0
2, Run: 047, F, 56, 10, 4, 22, 22, 872, 0, 3, 0, 0, 0
2, Run: 048, F, 56, 8, 8, 25, 25, 891, 0, 4, 0, 0, 0
2, Run: 049, F, 56, 5, 7, 18, 18, 869, 0, 3, 0, 0, 0
2, Run: 050, F, 56, 6, 6, 29, 29, 873, 0, 4, 0, 0, 0
2, Run: 051, F, 56, 4, 8, 21, 21, 861, 0, 4, 0, 0, 0
2, Run: 052, F, 56, 4, 8, 11, 11, 888, 0, 3, 0, 0, 0
2, Run: 053, F, 56, 5, 3, 29, 29, 890, 0, 4, 0, 0, 0
2, Run: 054, F, 56, 6, 6, 30, 30, 848, 0, 5, 0, 0, 0
2, Run: 055, F, 56, 5, 3, 32, 32, 904, 0, 4, 0, 0, 0
2, Run: 056, F, 56, 6, 6, 19, 19, 881, 0, 2, 0, 0, 0
2, Run: 057, F, 56, 7, 9, 22, 22, 892, 0, 4, 0, 0, 0
2, Run: 058, F, 56, 4, 4, 35, 35, 850, 0, 3, 0, 0, 0
2, Run: 059, F, 56, 7, 5, 31, 31, 859, 0, 5, 0, 0, 0
2, Run: 060, F, 56, 9, 3, 48, 48, 868, 0, 8, 0, 0, 0
2, Run: 061, F, 56, 8, 6, 29, 29, 865, 0, 4, 0, 0, 0
2, Run: 062, F, 56, 6, 6, 30, 30, 882, 0, 3, 0, 0, 0
2, Run: 063, F, 56, 8, 4, 30, 30, 879, 0, 4, 0, 0, 0
2, Run: 064, F, 56, 7, 3, 38, 38, 861, 0, 5, 0, 0, 0
2, Run: 065, F, 56, 7, 7, 20, 20, 869, 0, 3, 0, 0, 0
2, Run: 066, F, 56, 3, 7, 17, 17, 882, 0, 4, 0, 0, 0
2, Run: 067, F, 56, 5, 7, 26, 26, 879, 0, 3, 0, 0, 0
2, Run: 068, F, 56, 4, 6, 16, 16, 877, 0, 2, 0, 0, 0
2, Run: 069, F, 56, 7, 7, 25, 25, 847, 0, 3, 0, 0, 0
2, Run: 070, F, 56, 9, 7, 15, 15, 884, 0, 2, 0, 0, 0
2, Run: 071, F, 56, 3, 7, 26, 26, 919, 0, 3, 0, 0, 0
2, Run: 072, F, 56, 7, 7, 26, 26, 901, 0, 7, 0, 0, 0
2, Run: 073, F, 56, 6, 6, 12, 12, 896, 0, 1, 0, 0, 0
2, Run: 074, F, 56, 2, 6, 27, 27, 857, 0, 6, 0, 0, 0
2, Run: 075, F, 56, 5, 3, 35, 35, 864, 0, 4, 0, 0, 0
2, Run: 076, F, 56, 3, 1, 52, 52, 833, 0, 3, 0, 0, 0
2, Run: 077, F, 56, 3, 1, 57, 57, 851, 0, 5, 0, 0, 0
2, Run: 078, F, 56, 8, 8, 20, 20, 888, 0, 3, 0, 0, 0
2, Run: 079, F, 56, 4, 6, 24, 24, 907, 0, 4, 0, 0, 0
2, Run: 080, F, 56, 8, 10, 20, 20, 911, 0, 4, 0, 0, 0
2, Run: 081, F, 56, 6, 4, 23, 23, 874, 0, 3, 0, 0, 0
2, Run: 082, F, 56, 8, 6, 36, 36, 860, 0, 5, 0, 0, 0
2, Run: 083, F, 56, 6, 4, 34, 34, 895, 0, 6, 0, 0, 0
2, Run: 084, F, 56, 3, 3, 25, 25, 889, 0, 3, 0, 0, 0
2, Run: 085, F, 56, 7, 5, 21, 21, 875, 0, 3, 0, 0, 0
2, Run: 086, F, 56, 2, 2, 45, 45, 875, 0, 4, 0, 0, 0
2, Run: 087, F, 56, 8, 8, 24, 24, 870, 0, 3, 0, 0, 0
2, Run: 088, F, 56, 3, 1, 72, 72, 817, 0, 5, 0, 0, 0
2, Run: 089, F, 56, 9, 3, 54, 54, 850, 0, 8, 0, 0, 0
2, Run: 090, F, 56, 7, 5, 34, 34, 827, 0, 7, 0, 0, 0
2, Run: 091, F, 56, 3, 5, 33, 33, 873, 0, 5, 0, 0, 0
2, Run: 092, F, 56, 4, 2, 34, 34, 872, 0, 3, 0, 0, 0
2, Run: 093, F, 56, 4, 4, 36, 36, 861, 0, 6, 0, 0, 0
2, Run: 094, F, 56, 8, 4, 33, 33, 865, 0, 4, 0, 0, 0
2, Run: 095, F, 56, 8, 10, 18, 18, 878, 0, 5, 0, 0, 0
2, Run: 096, F, 56, 7, 7, 20, 20, 870, 0, 4, 0, 0, 0
2, Run: 097, F, 56, 4, 6, 17, 17, 891, 0, 2, 0, 0, 0
2, Run: 098, F, 56, 5, 5, 26, 26, 879, 0, 3, 0, 0, 0
2, Run: 099, F, 56, 1, 1, 58, 58, 859, 0, 5, 0, 0, 0
2, Run: 100, F, 56, 5, 9, 14, 14, 907, 0, 3, 0, 0, 0
3, Run: 001, F, 164, 13, 11, 31, 31, 1157, 0, 5, 0, 0, 0
3, Run: 002, F, 164, 8, 6, 34, 34, 1119, 0, 6, 0, 0, 0
3, Run: 003, F, 164, 13, 7, 36, 36, 1136, 0, 10, 0, 0, 0
3, Run: 004, F, 164, 10, 12, 17, 17, 1118, 0, 3, 0, 0, 0
3, Run: 005, F, 164, 10, 12, 16, 16, 1148, 0, 3, 0, 0, 0
3, Run: 006, F, 164, 11, 11, 24, 24, 1152, 0, 6, 0, 0, 0
3, Run: 007, F, 164, 13, 13, 19, 19, 1150, 0, 4, 0, 0, 0
3, Run: 008, F, 164, 6, 12, 26, 26, 1185, 0, 6, 0, 0, 0
3, Run: 009, F, 164, 9, 9, 25, 25, 1167, 0, 5, 0, 0, 0
3, Run: 010, F, 164, 17, 17, 18, 18, 1163, 0, 7, 0, 0, 0
3, Run: 011, F, 164, 12, 10, 27, 27, 1138, 0, 7, 0, 0, 0
3, Run: 012, F, 164, 7, 9, 26, 26, 1120, 0, 6, 0, 0, 0
3, Run: 013, F, 164, 8, 6, 30, 30, 1116, 0, 5, 0, 0, 0
3, Run: 014, F, 164, 4, 6, 30, 30, 1127, 0, 6, 0, 0, 0
3, Run: 015, F, 164, 9, 9, 37, 37, 1142, 0, 8, 0, 0, 0
3, Run: 016, F, 164, 9, 11, 22, 22, 1152, 0, 6, 0, 0, 0
3, Run: 017, F, 164, 12, 8, 21, 21, 1137, 0, 2, 0, 0, 0
