Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 028, F, 526, 50423, 0, 0, 0, 0, 0, 74, 0, 1, 363, 0, 50949, 200, 3205, 98, 624, 2679, 100, 64, 35, 363, 100, 200, 3434, 1717
INVAR-10, Run: 029, F, 584, 55231, 0, 0, 0, 0, 0, 16, 0, 1, 392, 0, 55815, 200, 3864, 89, 673, 3280, 100, 61, 38, 392, 100, 200, 3852, 1926
INVAR-10, Run: 030, F, 586, 56003, 0, 0, 0, 0, 0, 14, 0, 1, 393, 0, 56589, 200, 3518, 82, 668, 2932, 100, 70, 29, 393, 100, 200, 3152, 1576
INVAR-10, Run: 031, F, 594, 56432, 0, 0, 0, 0, 0, 6, 0, 1, 397, 0, 57026, 200, 3787, 113, 707, 3193, 100, 65, 34, 397, 100, 200, 2724, 1362
INVAR-10, Run: 032, F, 498, 47480, 0, 0, 0, 0, 0, 102, 0, 1, 349, 0, 47978, 200, 4053, 113, 611, 3555, 100, 62, 37, 349, 100, 200, 3930, 1965
INVAR-10, Run: 033, F, 532, 50626, 0, 0, 0, 0, 0, 68, 0, 1, 366, 0, 51158, 200, 3513, 89, 621, 2981, 100, 70, 29, 366, 100, 200, 3926, 1963
INVAR-10, Run: 034, F, 596, 56158, 0, 0, 0, 0, 0, 4, 0, 1, 398, 0, 56754, 200, 4100, 73, 669, 3504, 100, 60, 39, 398, 100, 200, 3688, 1844
INVAR-10, Run: 035, F, 396, 37901, 0, 0, 0, 0, 0, 204, 0, 1, 298, 0, 38297, 200, 3309, 92, 488, 2913, 100, 58, 41, 298, 100, 200, 4972, 2486
INVAR-10, Run: 036, F, 378, 36151, 0, 0, 0, 0, 0, 222, 0, 1, 289, 0, 36529, 200, 3448, 98, 476, 3070, 100, 57, 42, 289, 100, 200, 5018, 2509
INVAR-10, Run: 037, F, 488, 46471, 0, 0, 0, 0, 0, 112, 0, 1, 344, 0, 46959, 200, 3680, 107, 595, 3192, 100, 56, 43, 344, 100, 200, 3588, 1794
