Input Number, Run_Number, Result@ 100, PO, H, PE, X1, M, CE, Y, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 098, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 3, 16, 8, 3, 6, 10, 18, 27, 13, 16
INVAR-1, Run: 099, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 25, 150, 7, 7, 3, 11, 18, 27, 36, 150
INVAR-1, Run: 100, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 28, 99, 8, 4, 5, 10, 18, 27, 38, 99
INVAR-10, Run: 001, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 862, 4067, 91, 73, 35, 109, 200, 300, 971, 4067
INVAR-10, Run: 002, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 947, 4777, 89, 69, 41, 111, 200, 300, 1058, 4777
INVAR-10, Run: 003, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1398, 5029, 92, 61, 46, 108, 200, 300, 1506, 5029
INVAR-10, Run: 004, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1023, 4524, 91, 62, 46, 109, 200, 300, 1132, 4524
INVAR-10, Run: 005, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1263, 4388, 90, 61, 48, 110, 200, 300, 1373, 4388
INVAR-10, Run: 006, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 965, 4785, 90, 62, 47, 110, 200, 300, 1075, 4785
INVAR-10, Run: 007, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1033, 4923, 89, 70, 40, 111, 200, 300, 1144, 4923
INVAR-10, Run: 008, P, 0, 0, 1, 0, 0, 106, 106, 0, 0, 600, 0, 12, 200, 771, 3430, 94, 61, 44, 106, 200, 300, 877, 3430
INVAR-10, Run: 009, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1112, 4349, 91, 67, 41, 109, 200, 300, 1221, 4349
INVAR-10, Run: 010, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 979, 4077, 89, 63, 47, 111, 200, 300, 1090, 4077
INVAR-10, Run: 011, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1057, 6110, 90, 64, 45, 110, 200, 300, 1167, 6110
INVAR-10, Run: 012, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1119, 4874, 89, 62, 48, 111, 200, 300, 1230, 4874
INVAR-10, Run: 013, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1041, 4246, 89, 64, 46, 111, 200, 300, 1152, 4246
INVAR-10, Run: 014, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 926, 3259, 92, 61, 46, 108, 200, 300, 1034, 3259
INVAR-10, Run: 015, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 977, 3961, 91, 66, 42, 109, 200, 300, 1086, 3961
INVAR-10, Run: 016, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1027, 4060, 87, 53, 59, 113, 200, 300, 1140, 4060
INVAR-10, Run: 017, P, 0, 0, 1, 0, 0, 106, 106, 0, 0, 600, 0, 12, 200, 1321, 5719, 94, 64, 41, 106, 200, 300, 1427, 5719
INVAR-10, Run: 018, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 975, 3968, 91, 68, 40, 109, 200, 300, 1084, 3968
INVAR-10, Run: 019, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1205, 5828, 89, 64, 46, 111, 200, 300, 1316, 5828
INVAR-10, Run: 020, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1008, 4542, 89, 55, 55, 111, 200, 300, 1119, 4542
INVAR-10, Run: 021, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1162, 6094, 90, 75, 34, 110, 200, 300, 1272, 6094
INVAR-10, Run: 022, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1295, 6283, 90, 66, 43, 110, 200, 300, 1405, 6283
INVAR-10, Run: 023, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1100, 4427, 92, 63, 44, 108, 200, 300, 1208, 4427
INVAR-10, Run: 024, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1072, 3842, 87, 75, 37, 113, 200, 300, 1185, 3842
INVAR-10, Run: 025, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1016, 5535, 91, 68, 40, 109, 200, 300, 1125, 5535
INVAR-10, Run: 026, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 875, 4102, 90, 58, 51, 110, 200, 300, 985, 4102
INVAR-10, Run: 027, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1087, 4984, 92, 58, 49, 108, 200, 300, 1195, 4984
INVAR-10, Run: 028, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1053, 5243, 91, 64, 44, 109, 200, 300, 1162, 5243
INVAR-10, Run: 029, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1028, 3558, 92, 57, 50, 108, 200, 300, 1136, 3558
INVAR-10, Run: 030, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 885, 5282, 92, 69, 38, 108, 200, 300, 993, 5282
INVAR-10, Run: 031, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 978, 3561, 92, 66, 41, 108, 200, 300, 1086, 3561
INVAR-10, Run: 032, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 809, 3937, 91, 56, 52, 109, 200, 300, 918, 3937
INVAR-10, Run: 033, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1122, 4238, 90, 58, 51, 110, 200, 300, 1232, 4238
INVAR-10, Run: 034, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 824, 3895, 93, 70, 36, 107, 200, 300, 931, 3895
INVAR-10, Run: 035, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1200, 5947, 90, 63, 46, 110, 200, 300, 1310, 5947
INVAR-10, Run: 036, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 821, 4259, 92, 70, 37, 108, 200, 300, 929, 4259
INVAR-10, Run: 037, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1105, 3628, 91, 56, 52, 109, 200, 300, 1214, 3628
INVAR-10, Run: 038, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 852, 3707, 87, 73, 39, 113, 200, 300, 965, 3707
INVAR-10, Run: 039, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1044, 4250, 91, 76, 32, 109, 200, 300, 1153, 4250
INVAR-10, Run: 040, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 976, 5053, 90, 71, 38, 110, 200, 300, 1086, 5053
INVAR-10, Run: 041, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 832, 4896, 93, 72, 34, 107, 200, 300, 939, 4896
INVAR-10, Run: 042, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 965, 3982, 91, 67, 41, 109, 200, 300, 1074, 3982
INVAR-10, Run: 043, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 955, 4987, 92, 57, 50, 108, 200, 300, 1063, 4987
INVAR-10, Run: 044, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1304, 6388, 92, 58, 49, 108, 200, 300, 1412, 6388
