Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 013, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 801, 505, 100, 66, 33, 100, 100, 150, 901, 505
INVAR-10, Run: 014, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 790, 415, 100, 51, 48, 100, 100, 150, 890, 415
INVAR-10, Run: 015, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 783, 238, 100, 61, 38, 100, 100, 150, 883, 238
INVAR-10, Run: 016, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 748, 362, 100, 59, 40, 100, 100, 150, 848, 362
INVAR-10, Run: 017, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 657, 306, 100, 60, 39, 100, 100, 150, 757, 306
INVAR-10, Run: 018, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 811, 288, 100, 67, 32, 100, 100, 150, 911, 288
INVAR-10, Run: 019, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 740, 566, 100, 67, 32, 100, 100, 150, 840, 566
INVAR-10, Run: 020, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 733, 308, 100, 59, 40, 100, 100, 150, 833, 308
INVAR-10, Run: 021, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 717, 380, 100, 55, 44, 100, 100, 150, 817, 380
INVAR-10, Run: 022, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 696, 519, 100, 53, 46, 100, 100, 150, 796, 519
INVAR-10, Run: 023, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 642, 346, 100, 68, 31, 100, 100, 150, 742, 346
INVAR-10, Run: 024, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 728, 284, 100, 70, 29, 100, 100, 150, 828, 284
INVAR-10, Run: 025, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 651, 483, 100, 58, 41, 100, 100, 150, 751, 483
INVAR-10, Run: 026, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 568, 371, 100, 66, 33, 100, 100, 150, 668, 371
INVAR-10, Run: 027, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 697, 474, 100, 62, 37, 100, 100, 150, 797, 474
INVAR-10, Run: 028, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 698, 334, 100, 51, 48, 100, 100, 150, 798, 334
