Input Number, Run_Number, Result@ 1000, A, B, H, C, L5, T2, T5, L4, L1, Y, T1, T3, T4, T6, R, U, L2, D, L3
INVAR-1, Run: 080, P, 0, 10, 0, 0, 0, 3, 0, 0, 0, 79, 3, 4, 1, 3, 1, 6, 0, 78, 0
INVAR-1, Run: 081, P, 0, 10, 0, 0, 0, 2, 2, 0, 0, 71, 3, 1, 1, 2, 1, 6, 0, 97, 0
INVAR-1, Run: 082, P, 10, 0, 0, 0, 0, 1, 1, 0, 0, 89, 2, 2, 1, 1, 1, 6, 0, 64, 0
INVAR-1, Run: 083, P, 0, 10, 0, 0, 0, 2, 1, 0, 0, 78, 2, 1, 1, 0, 1, 6, 0, 87, 0
INVAR-1, Run: 084, P, 0, 10, 0, 0, 0, 2, 0, 0, 0, 82, 3, 1, 1, 1, 1, 6, 0, 78, 0
INVAR-1, Run: 085, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 77, 1, 0, 1, 1, 1, 6, 0, 91, 0
INVAR-1, Run: 086, P, 10, 0, 0, 0, 0, 3, 2, 0, 0, 82, 0, 1, 0, 1, 1, 6, 0, 79, 0
INVAR-1, Run: 087, P, 0, 10, 0, 0, 0, 0, 4, 0, 0, 77, 2, 0, 0, 2, 1, 6, 0, 88, 0
INVAR-1, Run: 088, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 75, 2, 2, 1, 0, 1, 6, 0, 94, 0
INVAR-1, Run: 089, P, 0, 10, 0, 0, 0, 1, 3, 0, 0, 72, 1, 3, 0, 1, 1, 6, 0, 97, 0
INVAR-1, Run: 090, P, 0, 10, 0, 0, 0, 4, 3, 0, 0, 60, 4, 2, 2, 1, 1, 6, 0, 114, 0
INVAR-1, Run: 091, P, 0, 0, 0, 10, 0, 1, 4, 0, 0, 82, 1, 3, 3, 2, 1, 6, 0, 72, 0
INVAR-1, Run: 092, P, 0, 0, 0, 10, 0, 1, 4, 0, 0, 77, 1, 0, 1, 0, 1, 6, 0, 89, 0
INVAR-1, Run: 093, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 75, 2, 2, 1, 2, 1, 6, 0, 92, 0
INVAR-1, Run: 094, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 1, 0, 1, 6, 0, 77, 0
INVAR-1, Run: 095, P, 0, 10, 0, 0, 0, 2, 2, 0, 0, 80, 0, 1, 1, 0, 1, 6, 0, 84, 0
INVAR-1, Run: 096, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 77, 0, 3, 4, 1, 1, 6, 0, 86, 0
INVAR-1, Run: 097, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 78, 2, 1, 2, 2, 1, 6, 0, 85, 0
INVAR-1, Run: 098, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 83, 1, 1, 1, 1, 1, 6, 0, 79, 0
INVAR-1, Run: 099, P, 0, 10, 0, 0, 0, 2, 2, 0, 0, 74, 1, 1, 0, 2, 1, 6, 0, 94, 0
INVAR-1, Run: 100, P, 0, 10, 0, 0, 0, 4, 1, 0, 0, 79, 0, 2, 4, 1, 1, 6, 0, 80, 0
INVAR-2, Run: 001, P, 0, 100, 0, 0, 0, 0, 2, 0, 0, 80, 1, 2, 1, 0, 1, 6, 0, 84, 0
INVAR-2, Run: 002, P, 0, 100, 0, 0, 0, 1, 1, 0, 0, 73, 1, 0, 1, 0, 1, 6, 0, 100, 0
INVAR-2, Run: 003, P, 0, 100, 0, 0, 0, 3, 0, 0, 0, 83, 0, 1, 2, 1, 1, 6, 0, 77, 0
INVAR-2, Run: 004, P, 0, 0, 0, 100, 0, 2, 3, 0, 0, 70, 0, 2, 0, 3, 1, 6, 0, 100, 0
INVAR-2, Run: 005, P, 0, 0, 0, 100, 0, 1, 3, 0, 0, 73, 0, 2, 4, 3, 1, 6, 0, 91, 0
INVAR-2, Run: 006, P, 0, 100, 0, 0, 0, 4, 3, 0, 0, 72, 0, 2, 1, 3, 1, 6, 0, 93, 0
INVAR-2, Run: 007, P, 100, 0, 0, 0, 0, 2, 1, 0, 0, 84, 1, 0, 0, 4, 1, 6, 0, 74, 0
INVAR-2, Run: 008, P, 100, 0, 0, 0, 0, 1, 2, 0, 0, 80, 2, 0, 1, 4, 1, 6, 0, 80, 0
INVAR-2, Run: 009, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 80, 2, 1, 0, 1, 1, 6, 0, 86, 0
INVAR-2, Run: 010, P, 100, 0, 0, 0, 0, 1, 2, 0, 0, 76, 0, 1, 1, 1, 1, 6, 0, 92, 0
INVAR-2, Run: 011, P, 0, 100, 0, 0, 0, 0, 2, 0, 0, 79, 1, 0, 0, 2, 1, 6, 0, 87, 0
INVAR-2, Run: 012, P, 0, 0, 0, 100, 0, 2, 3, 0, 0, 78, 1, 1, 0, 0, 1, 6, 0, 87, 0
INVAR-2, Run: 013, P, 0, 0, 0, 100, 0, 2, 2, 0, 0, 62, 8, 1, 4, 2, 1, 6, 0, 107, 0
INVAR-2, Run: 014, P, 100, 0, 0, 0, 0, 0, 1, 0, 0, 88, 0, 1, 2, 1, 1, 6, 0, 69, 0
INVAR-2, Run: 015, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 78, 1, 0, 3, 1, 1, 6, 0, 89, 0
INVAR-2, Run: 016, P, 100, 0, 0, 0, 0, 4, 0, 0, 0, 77, 1, 1, 1, 1, 1, 6, 0, 88, 0
INVAR-2, Run: 017, P, 0, 100, 0, 0, 0, 1, 3, 0, 0, 78, 0, 2, 1, 1, 1, 6, 0, 86, 0
INVAR-2, Run: 018, P, 0, 0, 0, 100, 0, 0, 3, 0, 0, 73, 1, 0, 3, 3, 1, 6, 0, 94, 0
INVAR-2, Run: 019, P, 0, 100, 0, 0, 0, 1, 1, 0, 0, 80, 1, 1, 2, 1, 1, 6, 0, 83, 0
INVAR-2, Run: 020, P, 0, 0, 0, 100, 0, 1, 1, 0, 0, 89, 0, 0, 1, 1, 1, 6, 0, 68, 0
INVAR-2, Run: 021, P, 100, 0, 0, 0, 0, 3, 1, 0, 0, 76, 2, 3, 2, 0, 1, 6, 0, 87, 0
INVAR-2, Run: 022, P, 0, 0, 0, 100, 0, 2, 0, 0, 0, 80, 0, 1, 1, 2, 1, 6, 0, 84, 0
INVAR-2, Run: 023, P, 100, 0, 0, 0, 0, 1, 2, 0, 0, 70, 2, 1, 4, 2, 1, 6, 0, 98, 0
INVAR-2, Run: 024, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 86, 1, 0, 1, 1, 1, 6, 0, 75, 0
INVAR-2, Run: 025, P, 0, 100, 0, 0, 0, 2, 2, 0, 0, 70, 1, 1, 2, 2, 1, 6, 0, 100, 0
INVAR-2, Run: 026, P, 0, 100, 0, 0, 0, 3, 1, 0, 0, 79, 0, 0, 1, 1, 1, 6, 0, 86, 0
INVAR-2, Run: 027, P, 0, 0, 0, 100, 0, 2, 1, 0, 0, 73, 1, 0, 1, 2, 1, 6, 0, 97, 0
INVAR-2, Run: 028, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 76, 0, 1, 1, 0, 1, 6, 0, 96, 0
INVAR-2, Run: 029, P, 0, 100, 0, 0, 0, 3, 2, 0, 0, 79, 0, 2, 2, 2, 1, 6, 0, 81, 0
INVAR-2, Run: 030, P, 0, 0, 0, 100, 0, 3, 1, 0, 0, 73, 0, 1, 1, 0, 1, 6, 0, 98, 0
INVAR-2, Run: 031, P, 0, 0, 0, 100, 0, 1, 0, 0, 0, 78, 4, 0, 2, 1, 1, 6, 0, 86, 0
INVAR-2, Run: 032, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 85, 1, 1, 1, 1, 1, 6, 0, 76, 0
INVAR-2, Run: 033, P, 100, 0, 0, 0, 0, 2, 1, 0, 0, 79, 1, 0, 1, 1, 1, 6, 0, 86, 0
INVAR-2, Run: 034, P, 0, 100, 0, 0, 0, 1, 3, 0, 0, 78, 0, 0, 3, 1, 1, 6, 0, 86, 0
INVAR-2, Run: 035, P, 0, 100, 0, 0, 0, 2, 3, 0, 0, 73, 0, 0, 2, 1, 1, 6, 0, 96, 0
INVAR-2, Run: 036, P, 0, 0, 0, 100, 0, 1, 0, 0, 0, 78, 0, 1, 1, 1, 1, 6, 0, 90, 0
INVAR-2, Run: 037, P, 0, 100, 0, 0, 0, 1, 0, 0, 0, 75, 4, 1, 0, 1, 1, 6, 0, 93, 0
INVAR-2, Run: 038, P, 0, 100, 0, 0, 0, 1, 1, 0, 0, 90, 0, 1, 1, 0, 1, 6, 0, 66, 0
INVAR-2, Run: 039, P, 0, 0, 0, 100, 0, 1, 1, 0, 0, 81, 4, 0, 2, 0, 1, 6, 0, 80, 0
INVAR-2, Run: 040, P, 0, 100, 0, 0, 0, 2, 3, 0, 0, 67, 2, 1, 1, 1, 1, 6, 0, 106, 0
INVAR-2, Run: 041, P, 0, 0, 0, 100, 0, 1, 1, 0, 0, 72, 0, 1, 1, 2, 1, 6, 0, 100, 0
INVAR-2, Run: 042, P, 0, 100, 0, 0, 0, 3, 2, 0, 0, 70, 2, 4, 2, 0, 1, 6, 0, 97, 0
INVAR-2, Run: 043, P, 0, 0, 0, 100, 0, 2, 1, 0, 0, 86, 0, 1, 1, 1, 1, 6, 0, 72, 0
INVAR-2, Run: 044, P, 0, 100, 0, 0, 0, 4, 2, 0, 0, 64, 3, 2, 0, 1, 1, 6, 0, 110, 0
INVAR-2, Run: 045, P, 0, 0, 0, 100, 0, 1, 0, 0, 0, 83, 2, 2, 1, 2, 1, 6, 0, 76, 0
INVAR-2, Run: 046, P, 0, 100, 0, 0, 0, 1, 1, 0, 0, 79, 0, 4, 1, 1, 1, 6, 0, 84, 0
INVAR-2, Run: 047, P, 100, 0, 0, 0, 0, 1, 1, 0, 0, 83, 1, 1, 3, 1, 1, 6, 0, 76, 0
INVAR-2, Run: 048, P, 0, 0, 0, 100, 0, 2, 0, 0, 0, 82, 1, 0, 2, 1, 1, 6, 0, 80, 0
INVAR-2, Run: 049, P, 100, 0, 0, 0, 0, 6, 1, 0, 0, 66, 0, 2, 1, 1, 1, 6, 0, 107, 0
INVAR-2, Run: 050, P, 0, 100, 0, 0, 0, 2, 1, 0, 0, 76, 0, 2, 2, 0, 1, 6, 0, 91, 0
INVAR-2, Run: 051, P, 0, 100, 0, 0, 0, 3, 2, 0, 0, 68, 1, 1, 1, 1, 1, 6, 0, 105, 0
INVAR-2, Run: 052, P, 100, 0, 0, 0, 0, 1, 0, 0, 0, 70, 0, 0, 1, 0, 1, 6, 0, 108, 0
