Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F
INVAR-10, Run: 040, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 041, F, 36, 0, 1, 0, 1, 0, 1, 0, 982, 982, 0, 1
INVAR-10, Run: 042, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 043, F, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
INVAR-10, Run: 044, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 045, F, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0
INVAR-10, Run: 046, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 047, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 048, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 049, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 050, F, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0
INVAR-10, Run: 051, F, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
INVAR-10, Run: 052, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 053, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 054, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 055, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 056, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 057, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 058, F, 32, 0, 0, 0, 1, 0, 1, 0, 1005, 1005, 0, 0
INVAR-10, Run: 059, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 060, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 061, F, 44, 0, 0, 0, 1, 0, 1, 0, 933, 933, 0, 0
INVAR-10, Run: 062, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 063, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 064, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 065, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 066, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
INVAR-10, Run: 067, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 068, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 069, F, 32, 0, 0, 0, 1, 0, 1, 0, 1005, 1005, 0, 0
INVAR-10, Run: 070, F, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0
INVAR-10, Run: 071, F, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
INVAR-10, Run: 072, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
INVAR-10, Run: 073, F, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0
INVAR-10, Run: 074, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 075, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 076, F, 32, 0, 0, 0, 1, 0, 1, 0, 1005, 1005, 0, 0
INVAR-10, Run: 077, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 078, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 079, F, 32, 0, 0, 0, 1, 0, 1, 0, 1005, 1005, 0, 0
INVAR-10, Run: 080, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 081, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 082, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 083, F, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
INVAR-10, Run: 084, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 085, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 086, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 087, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 088, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 089, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 090, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 091, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 092, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
INVAR-10, Run: 093, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 094, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 095, F, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
INVAR-10, Run: 096, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 097, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 098, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
INVAR-10, Run: 099, F, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0
INVAR-10, Run: 100, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-2, Run: 001, F, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
INVAR-2, Run: 002, F, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
INVAR-2, Run: 003, F, 10, 0, 0, 0, 1, 0, 1, 0, 273, 273, 0, 0
INVAR-2, Run: 004, F, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
INVAR-2, Run: 005, F, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
INVAR-2, Run: 006, F, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
INVAR-2, Run: 007, F, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
INVAR-2, Run: 008, F, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
INVAR-2, Run: 009, F, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
INVAR-2, Run: 010, F, 10, 0, 0, 0, 1, 0, 1, 0, 273, 273, 0, 0
INVAR-2, Run: 011, F, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
INVAR-2, Run: 012, F, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
INVAR-2, Run: 013, F, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
INVAR-2, Run: 014, F, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
INVAR-2, Run: 015, F, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
