Input Number, Run_Number, Result@ 100, X2, Y
In37, Run: 018, E, 200, 0
In37, Run: 019, E, 200, 0
In37, Run: 020, E, 200, 0
In37, Run: 021, E, 200, 0
In37, Run: 022, E, 200, 0
In37, Run: 023, E, 200, 0
In37, Run: 024, E, 200, 0
In37, Run: 025, E, 200, 0
In37, Run: 026, E, 200, 0
In37, Run: 027, E, 200, 0
In37, Run: 028, E, 200, 0
In37, Run: 029, E, 200, 0
In37, Run: 030, E, 200, 0
In37, Run: 031, E, 200, 0
In37, Run: 032, E, 200, 0
In37, Run: 033, E, 200, 0
In37, Run: 034, E, 200, 0
In37, Run: 035, E, 200, 0
In37, Run: 036, E, 200, 0
In37, Run: 037, E, 200, 0
In37, Run: 038, E, 200, 0
In37, Run: 039, E, 200, 0
In37, Run: 040, E, 200, 0
In37, Run: 041, E, 200, 0
In37, Run: 042, E, 200, 0
In37, Run: 043, E, 200, 0
In37, Run: 044, E, 200, 0
In37, Run: 045, E, 200, 0
In37, Run: 046, E, 200, 0
In37, Run: 047, E, 200, 0
In37, Run: 048, E, 200, 0
In37, Run: 049, E, 200, 0
In37, Run: 050, E, 200, 0
In37, Run: 051, E, 200, 0
In37, Run: 052, E, 200, 0
In37, Run: 053, E, 200, 0
In37, Run: 054, E, 200, 0
In37, Run: 055, E, 200, 0
In37, Run: 056, E, 200, 0
In37, Run: 057, E, 200, 0
In37, Run: 058, E, 200, 0
In37, Run: 059, E, 200, 0
In37, Run: 060, E, 200, 0
In37, Run: 061, E, 200, 0
In37, Run: 062, E, 200, 0
In37, Run: 063, E, 200, 0
In37, Run: 064, E, 200, 0
In37, Run: 065, E, 200, 0
In37, Run: 066, E, 200, 0
In37, Run: 067, E, 200, 0
In37, Run: 068, E, 200, 0
In37, Run: 069, E, 200, 0
In37, Run: 070, E, 200, 0
In37, Run: 071, E, 200, 0
In37, Run: 072, E, 200, 0
In37, Run: 073, E, 200, 0
In37, Run: 074, E, 200, 0
In37, Run: 075, E, 200, 0
In37, Run: 076, E, 200, 0
In37, Run: 077, E, 200, 0
In37, Run: 078, E, 200, 0
In37, Run: 079, E, 200, 0
In37, Run: 080, E, 200, 0
In37, Run: 081, E, 200, 0
In37, Run: 082, E, 200, 0
In37, Run: 083, E, 200, 0
In37, Run: 084, E, 200, 0
In37, Run: 085, E, 200, 0
In37, Run: 086, E, 200, 0
In37, Run: 087, E, 200, 0
In37, Run: 088, E, 200, 0
In37, Run: 089, E, 200, 0
In37, Run: 090, E, 200, 0
In37, Run: 091, E, 200, 0
In37, Run: 092, E, 200, 0
In37, Run: 093, E, 200, 0
In37, Run: 094, E, 200, 0
In37, Run: 095, E, 200, 0
In37, Run: 096, E, 200, 0
In37, Run: 097, E, 200, 0
In37, Run: 098, E, 200, 0
In37, Run: 099, E, 200, 0
In37, Run: 100, E, 200, 0
In38, Run: 001, E, 50, 0
In38, Run: 002, E, 50, 0
In38, Run: 003, E, 50, 0
In38, Run: 004, E, 50, 0
In38, Run: 005, E, 50, 0
In38, Run: 006, E, 50, 0
In38, Run: 007, E, 50, 0
In38, Run: 008, E, 50, 0
In38, Run: 009, E, 50, 0
In38, Run: 010, E, 50, 0
