Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, R, U, L2, T6, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-3, Run: 005, E, 1000, 0, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 78701, 78801, 78901, 78701, 127, 68, 134, 49243, 48746, 48252, 47795, 497, 6127, 493, 457, 47747, 0, 0, 0, 764, 429, 302, 234, 5363, 335
INVAR-3, Run: 006, E, 1000, 0, 0, 0, 0, 0, 0, 100, 1, 0, 0, 3, 46, 1, 6, 0, 0, 0, 0, 3065, 3165, 3265, 3065, 54, 21, 16, 49025, 48527, 48045, 47569, 498, 3365, 482, 473, 47523, 0, 0, 0, 399, 191, 137, 116, 2966, 208
INVAR-3, Run: 007, E, 0, 0, 0, 1000, 0, 0, 0, 100, 3, 1, 0, 0, 46, 1, 6, 0, 0, 0, 0, 17954, 18054, 17154, 17954, 97, 52, 74, 49125, 48603, 48131, 47664, 521, 4831, 472, 467, 47618, 0, 0, 0, 648, 323, 226, 174, 4183, 325
INVAR-3, Run: 008, E, 0, 1000, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 9439, 8539, 8639, 9439, 110, 56, 71, 49271, 48759, 48308, 47778, 512, 4519, 450, 530, 47730, 0, 0, 0, 615, 337, 227, 171, 3904, 278
INVAR-3, Run: 009, E, 0, 1000, 0, 0, 0, 0, 0, 100, 2, 1, 0, 1, 46, 1, 6, 0, 0, 0, 0, 8284, 7384, 7484, 8284, 102, 41, 65, 49219, 48707, 48230, 47747, 511, 4442, 477, 482, 47701, 0, 0, 0, 602, 308, 206, 165, 3840, 294
INVAR-3, Run: 010, E, 0, 1000, 0, 0, 0, 0, 0, 100, 3, 0, 0, 0, 47, 1, 6, 0, 0, 0, 0, 5197, 4297, 4397, 5197, 134, 84, 86, 48747, 48247, 47758, 47279, 500, 4477, 489, 479, 47232, 0, 0, 0, 783, 404, 270, 186, 3694, 379
INVAR-3, Run: 011, E, 0, 1000, 0, 0, 0, 0, 0, 100, 2, 3, 1, 0, 44, 1, 6, 0, 0, 0, 0, 19849, 18949, 19049, 19849, 75, 46, 34, 49376, 48846, 48368, 47871, 527, 4701, 477, 497, 47827, 0, 0, 0, 528, 255, 180, 134, 4173, 273
INVAR-3, Run: 012, E, 1000, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 8306, 8406, 8506, 8306, 81, 46, 28, 48947, 48469, 47937, 47426, 478, 4609, 532, 510, 47377, 0, 0, 0, 601, 255, 174, 128, 4008, 346
INVAR-3, Run: 013, E, 0, 0, 0, 1000, 0, 0, 0, 100, 1, 0, 1, 2, 46, 1, 6, 0, 0, 0, 0, 10367, 10467, 9567, 10367, 88, 47, 56, 49400, 48888, 48385, 47878, 512, 4332, 502, 505, 47832, 0, 0, 0, 586, 291, 203, 156, 3746, 295
INVAR-3, Run: 014, E, 1000, 0, 0, 0, 0, 0, 0, 100, 0, 1, 1, 0, 48, 1, 6, 0, 0, 0, 0, 5042, 5142, 5242, 5042, 109, 41, 117, 49341, 48800, 48308, 47853, 540, 4022, 491, 455, 47805, 0, 0, 0, 650, 367, 258, 217, 3372, 283
INVAR-3, Run: 015, E, 1000, 0, 0, 0, 0, 0, 0, 100, 3, 1, 0, 1, 45, 1, 6, 0, 0, 0, 0, 41254, 41354, 41454, 41254, 91, 30, 35, 48719, 48221, 47742, 47280, 497, 5525, 479, 461, 47235, 0, 0, 0, 556, 256, 165, 135, 4969, 300
INVAR-3, Run: 016, E, 0, 1000, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 14714, 13814, 13914, 14714, 108, 39, 39, 49296, 48790, 48285, 47780, 506, 4682, 505, 505, 47730, 0, 0, 0, 618, 286, 178, 139, 4064, 332
INVAR-3, Run: 017, E, 1000, 0, 0, 0, 0, 0, 0, 100, 0, 1, 0, 1, 48, 1, 6, 0, 0, 0, 0, 4073, 4173, 4273, 4073, 40, 7, 2, 49329, 48857, 48359, 47874, 471, 3245, 498, 484, 47826, 0, 0, 0, 308, 149, 109, 102, 2937, 159
INVAR-3, Run: 018, E, 1000, 0, 0, 0, 0, 0, 0, 100, 0, 0, 3, 0, 47, 1, 6, 0, 0, 0, 0, 182142, 182242, 182342, 182142, 72, 32, 54, 48909, 48415, 47912, 47418, 494, 6818, 500, 494, 47371, 0, 0, 0, 515, 258, 186, 154, 6303, 257
INVAR-3, Run: 019, E, 0, 0, 0, 1000, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 5278, 5378, 4478, 5278, 120, 63, 109, 48801, 48281, 47756, 47328, 520, 4408, 525, 428, 47279, 0, 0, 0, 751, 392, 272, 209, 3657, 359
INVAR-3, Run: 020, E, 0, 0, 0, 1000, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 111784, 111884, 110984, 111784, 115, 68, 192, 49085, 48568, 48083, 47612, 517, 6497, 484, 471, 47564, 0, 0, 0, 832, 475, 360, 292, 5665, 357
INVAR-3, Run: 021, E, 0, 0, 0, 1000, 0, 0, 0, 100, 2, 1, 0, 0, 47, 1, 6, 0, 0, 0, 0, 3079, 3179, 2279, 3079, 61, 27, 29, 49071, 48581, 48118, 47650, 489, 3782, 463, 468, 47603, 0, 0, 0, 494, 217, 156, 129, 3288, 277
INVAR-3, Run: 022, E, 0, 1000, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9345, 8445, 8545, 9345, 69, 23, 27, 49041, 48506, 47997, 47499, 534, 4317, 509, 498, 47450, 0, 0, 0, 508, 219, 150, 127, 3809, 289
INVAR-3, Run: 023, E, 0, 1000, 0, 0, 0, 0, 0, 100, 0, 0, 1, 2, 47, 1, 6, 0, 0, 0, 0, 13544, 12644, 12744, 13544, 95, 51, 115, 49124, 48655, 48180, 47717, 469, 4624, 474, 461, 47670, 0, 0, 0, 663, 361, 266, 215, 3961, 302
INVAR-3, Run: 024, E, 1000, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 5129, 5229, 5329, 5129, 88, 40, 36, 49358, 48859, 48364, 47899, 499, 4154, 495, 465, 47849, 0, 0, 0, 568, 264, 176, 136, 3586, 304
INVAR-3, Run: 025, E, 0, 0, 0, 1000, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 4086, 4186, 3286, 4086, 81, 37, 52, 49110, 48582, 48110, 47630, 528, 3654, 471, 479, 47582, 0, 0, 0, 526, 270, 189, 152, 3128, 256
INVAR-3, Run: 026, E, 1000, 0, 0, 0, 0, 0, 0, 100, 0, 1, 3, 0, 46, 1, 6, 0, 0, 0, 0, 3043, 3143, 3243, 3043, 116, 53, 98, 49142, 48614, 48138, 47661, 527, 3992, 473, 477, 47615, 0, 0, 0, 712, 367, 251, 198, 3280, 345
INVAR-3, Run: 027, E, 0, 0, 0, 1000, 0, 0, 0, 100, 1, 1, 0, 1, 47, 1, 6, 0, 0, 0, 0, 8239, 8339, 7439, 8239, 109, 63, 122, 49226, 48676, 48164, 47680, 549, 4865, 512, 483, 47633, 0, 0, 0, 758, 394, 285, 222, 4107, 364
INVAR-3, Run: 028, E, 0, 0, 0, 1000, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 4114, 4214, 3314, 4114, 101, 39, 71, 48897, 48389, 47910, 47388, 508, 3915, 479, 522, 47338, 0, 0, 0, 640, 311, 210, 171, 3275, 329
