Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B
10, Run: 044, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 045, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 046, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 047, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 048, F, 0, 0, 0, 0, 0, 84, 52, 0, 1, 728, 0
10, Run: 049, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 050, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 051, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 052, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 053, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 054, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 055, F, 0, 0, 0, 0, 0, 85, 55, 0, 1, 720, 0
10, Run: 056, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 057, F, 0, 0, 0, 0, 0, 86, 58, 0, 1, 712, 0
10, Run: 058, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 059, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 060, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 061, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 062, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 063, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 064, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 065, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 066, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 067, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 068, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 069, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 070, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 071, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 072, F, 0, 0, 0, 0, 0, 94, 82, 0, 1, 648, 0
10, Run: 073, F, 0, 0, 0, 0, 0, 86, 58, 0, 1, 712, 0
10, Run: 074, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 075, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 076, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 077, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 078, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 079, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 080, F, 0, 0, 0, 0, 0, 87, 61, 0, 1, 704, 0
10, Run: 081, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 082, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 083, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 084, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 085, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 086, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 087, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 088, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 089, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 090, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 091, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 092, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 093, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 094, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 095, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 096, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 097, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 098, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 099, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 100, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
2, Run: 001, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 002, F, 0, 0, 0, 0, 0, 26, 22, 0, 1, 184, 0
2, Run: 003, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 004, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 005, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 006, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 007, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 008, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 009, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 010, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 011, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 012, F, 0, 0, 0, 0, 0, 25, 19, 0, 1, 192, 0
2, Run: 013, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 014, F, 0, 0, 0, 0, 0, 21, 7, 0, 1, 224, 0
2, Run: 015, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 016, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 017, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 018, F, 0, 0, 0, 0, 0, 21, 7, 0, 1, 224, 0
2, Run: 019, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 020, F, 0, 0, 0, 0, 0, 25, 19, 0, 1, 192, 0
2, Run: 021, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 022, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 023, F, 0, 0, 0, 0, 0, 19, 1, 0, 1, 240, 0
2, Run: 024, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 025, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 026, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 027, F, 0, 0, 0, 0, 0, 26, 22, 0, 1, 184, 0
2, Run: 028, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 029, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 030, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 031, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 032, F, 0, 0, 0, 0, 0, 25, 19, 0, 1, 192, 0
2, Run: 033, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 034, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 035, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 036, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 037, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
