Input Number, Run_Number, Result@ 100, X2, Y, Reaction2
INVAR-22, Run: 089, E, 21, 0, 0
INVAR-22, Run: 090, E, 21, 0, 0
INVAR-22, Run: 091, E, 21, 0, 0
INVAR-22, Run: 092, E, 21, 0, 0
INVAR-22, Run: 093, E, 21, 0, 0
INVAR-22, Run: 094, E, 21, 0, 0
INVAR-22, Run: 095, E, 21, 0, 0
INVAR-22, Run: 096, E, 21, 0, 0
INVAR-22, Run: 097, E, 21, 0, 0
INVAR-22, Run: 098, E, 21, 0, 0
INVAR-22, Run: 099, E, 21, 0, 0
INVAR-22, Run: 100, E, 21, 0, 0
INVAR-23, Run: 001, E, 57, 0, 0
INVAR-23, Run: 002, E, 57, 0, 0
INVAR-23, Run: 003, E, 57, 0, 0
INVAR-23, Run: 004, E, 57, 0, 0
INVAR-23, Run: 005, E, 57, 0, 0
INVAR-23, Run: 006, E, 57, 0, 0
INVAR-23, Run: 007, E, 57, 0, 0
INVAR-23, Run: 008, E, 57, 0, 0
INVAR-23, Run: 009, E, 57, 0, 0
INVAR-23, Run: 010, E, 57, 0, 0
INVAR-23, Run: 011, E, 57, 0, 0
INVAR-23, Run: 012, E, 57, 0, 0
INVAR-23, Run: 013, E, 57, 0, 0
INVAR-23, Run: 014, E, 57, 0, 0
INVAR-23, Run: 015, E, 57, 0, 0
INVAR-23, Run: 016, E, 57, 0, 0
INVAR-23, Run: 017, E, 57, 0, 0
INVAR-23, Run: 018, E, 57, 0, 0
INVAR-23, Run: 019, E, 57, 0, 0
INVAR-23, Run: 020, E, 57, 0, 0
INVAR-23, Run: 021, E, 57, 0, 0
INVAR-23, Run: 022, E, 57, 0, 0
INVAR-23, Run: 023, E, 57, 0, 0
INVAR-23, Run: 024, E, 57, 0, 0
INVAR-23, Run: 025, E, 57, 0, 0
INVAR-23, Run: 026, E, 57, 0, 0
INVAR-23, Run: 027, E, 57, 0, 0
INVAR-23, Run: 028, E, 57, 0, 0
INVAR-23, Run: 029, E, 57, 0, 0
INVAR-23, Run: 030, E, 57, 0, 0
INVAR-23, Run: 031, E, 57, 0, 0
INVAR-23, Run: 032, E, 57, 0, 0
INVAR-23, Run: 033, E, 57, 0, 0
INVAR-23, Run: 034, E, 57, 0, 0
INVAR-23, Run: 035, E, 57, 0, 0
INVAR-23, Run: 036, E, 57, 0, 0
INVAR-23, Run: 037, E, 57, 0, 0
INVAR-23, Run: 038, E, 57, 0, 0
INVAR-23, Run: 039, E, 57, 0, 0
INVAR-23, Run: 040, E, 57, 0, 0
INVAR-23, Run: 041, E, 57, 0, 0
INVAR-23, Run: 042, E, 57, 0, 0
INVAR-23, Run: 043, E, 57, 0, 0
INVAR-23, Run: 044, E, 57, 0, 0
INVAR-23, Run: 045, E, 57, 0, 0
INVAR-23, Run: 046, E, 57, 0, 0
INVAR-23, Run: 047, E, 57, 0, 0
INVAR-23, Run: 048, E, 57, 0, 0
INVAR-23, Run: 049, E, 57, 0, 0
INVAR-23, Run: 050, E, 57, 0, 0
INVAR-23, Run: 051, E, 57, 0, 0
INVAR-23, Run: 052, E, 57, 0, 0
INVAR-23, Run: 053, E, 57, 0, 0
INVAR-23, Run: 054, E, 57, 0, 0
INVAR-23, Run: 055, E, 57, 0, 0
INVAR-23, Run: 056, E, 57, 0, 0
INVAR-23, Run: 057, E, 57, 0, 0
INVAR-23, Run: 058, E, 57, 0, 0
INVAR-23, Run: 059, E, 57, 0, 0
INVAR-23, Run: 060, E, 57, 0, 0
INVAR-23, Run: 061, E, 57, 0, 0
INVAR-23, Run: 062, E, 57, 0, 0
INVAR-23, Run: 063, E, 57, 0, 0
INVAR-23, Run: 064, E, 57, 0, 0
INVAR-23, Run: 065, E, 57, 0, 0
INVAR-23, Run: 066, E, 57, 0, 0
INVAR-23, Run: 067, E, 57, 0, 0
INVAR-23, Run: 068, E, 57, 0, 0
INVAR-23, Run: 069, E, 57, 0, 0
INVAR-23, Run: 070, E, 57, 0, 0
INVAR-23, Run: 071, E, 57, 0, 0
INVAR-23, Run: 072, E, 57, 0, 0
INVAR-23, Run: 073, E, 57, 0, 0
INVAR-23, Run: 074, E, 57, 0, 0
INVAR-23, Run: 075, E, 57, 0, 0
INVAR-23, Run: 076, E, 57, 0, 0
INVAR-23, Run: 077, E, 57, 0, 0
INVAR-23, Run: 078, E, 57, 0, 0
INVAR-23, Run: 079, E, 57, 0, 0
INVAR-23, Run: 080, E, 57, 0, 0
INVAR-23, Run: 081, E, 57, 0, 0
INVAR-23, Run: 082, E, 57, 0, 0
INVAR-23, Run: 083, E, 57, 0, 0
INVAR-23, Run: 084, E, 57, 0, 0
INVAR-23, Run: 085, E, 57, 0, 0
INVAR-23, Run: 086, E, 57, 0, 0
INVAR-23, Run: 087, E, 57, 0, 0
INVAR-23, Run: 088, E, 57, 0, 0
INVAR-23, Run: 089, E, 57, 0, 0
INVAR-23, Run: 090, E, 57, 0, 0
INVAR-23, Run: 091, E, 57, 0, 0
INVAR-23, Run: 092, E, 57, 0, 0
INVAR-23, Run: 093, E, 57, 0, 0
INVAR-23, Run: 094, E, 57, 0, 0
INVAR-23, Run: 095, E, 57, 0, 0
INVAR-23, Run: 096, E, 57, 0, 0
INVAR-23, Run: 097, E, 57, 0, 0
INVAR-23, Run: 098, E, 57, 0, 0
INVAR-23, Run: 099, E, 57, 0, 0
INVAR-23, Run: 100, E, 57, 0, 0
INVAR-24, Run: 001, E, 165, 0, 0
INVAR-24, Run: 002, E, 165, 0, 0
INVAR-24, Run: 003, E, 165, 0, 0
INVAR-24, Run: 004, E, 165, 0, 0
INVAR-24, Run: 005, E, 165, 0, 0
INVAR-24, Run: 006, E, 165, 0, 0
INVAR-24, Run: 007, E, 165, 0, 0
INVAR-24, Run: 008, E, 165, 0, 0
INVAR-24, Run: 009, E, 165, 0, 0
INVAR-24, Run: 010, E, 165, 0, 0
INVAR-24, Run: 011, E, 165, 0, 0
INVAR-24, Run: 012, E, 165, 0, 0
INVAR-24, Run: 013, E, 165, 0, 0
INVAR-24, Run: 014, E, 165, 0, 0
INVAR-24, Run: 015, E, 165, 0, 0
INVAR-24, Run: 016, E, 165, 0, 0
INVAR-24, Run: 017, E, 165, 0, 0
INVAR-24, Run: 018, E, 165, 0, 0
INVAR-24, Run: 019, E, 165, 0, 0
INVAR-24, Run: 020, E, 165, 0, 0
INVAR-24, Run: 021, E, 165, 0, 0
INVAR-24, Run: 022, E, 165, 0, 0
INVAR-24, Run: 023, E, 165, 0, 0
INVAR-24, Run: 024, E, 165, 0, 0
INVAR-24, Run: 025, E, 165, 0, 0
INVAR-24, Run: 026, E, 165, 0, 0
INVAR-24, Run: 027, E, 165, 0, 0
INVAR-24, Run: 028, E, 165, 0, 0
INVAR-24, Run: 029, E, 165, 0, 0
INVAR-24, Run: 030, E, 165, 0, 0
INVAR-24, Run: 031, E, 165, 0, 0
INVAR-24, Run: 032, E, 165, 0, 0
INVAR-24, Run: 033, E, 165, 0, 0
INVAR-24, Run: 034, E, 165, 0, 0
INVAR-24, Run: 035, E, 165, 0, 0
INVAR-24, Run: 036, E, 165, 0, 0
INVAR-24, Run: 037, E, 165, 0, 0
INVAR-24, Run: 038, E, 165, 0, 0
INVAR-24, Run: 039, E, 165, 0, 0
INVAR-24, Run: 040, E, 165, 0, 0
INVAR-24, Run: 041, E, 165, 0, 0
INVAR-24, Run: 042, E, 165, 0, 0
INVAR-24, Run: 043, E, 165, 0, 0
INVAR-24, Run: 044, E, 165, 0, 0
INVAR-24, Run: 045, E, 165, 0, 0
INVAR-24, Run: 046, E, 165, 0, 0
INVAR-24, Run: 047, E, 165, 0, 0
INVAR-24, Run: 048, E, 165, 0, 0
INVAR-24, Run: 049, E, 165, 0, 0
INVAR-24, Run: 050, E, 165, 0, 0
INVAR-24, Run: 051, E, 165, 0, 0
INVAR-24, Run: 052, E, 165, 0, 0
INVAR-24, Run: 053, E, 165, 0, 0
INVAR-24, Run: 054, E, 165, 0, 0
INVAR-24, Run: 055, E, 165, 0, 0
INVAR-24, Run: 056, E, 165, 0, 0
INVAR-24, Run: 057, E, 165, 0, 0
INVAR-24, Run: 058, E, 165, 0, 0
INVAR-24, Run: 059, E, 165, 0, 0
INVAR-24, Run: 060, E, 165, 0, 0
INVAR-24, Run: 061, E, 165, 0, 0
INVAR-24, Run: 062, E, 165, 0, 0
INVAR-24, Run: 063, E, 165, 0, 0
INVAR-24, Run: 064, E, 165, 0, 0
INVAR-24, Run: 065, E, 165, 0, 0
INVAR-24, Run: 066, E, 165, 0, 0
INVAR-24, Run: 067, E, 165, 0, 0
INVAR-24, Run: 068, E, 165, 0, 0
INVAR-24, Run: 069, E, 165, 0, 0
INVAR-24, Run: 070, E, 165, 0, 0
INVAR-24, Run: 071, E, 165, 0, 0
INVAR-24, Run: 072, E, 165, 0, 0
INVAR-24, Run: 073, E, 165, 0, 0
INVAR-24, Run: 074, E, 165, 0, 0
INVAR-24, Run: 075, E, 165, 0, 0
INVAR-24, Run: 076, E, 165, 0, 0
INVAR-24, Run: 077, E, 165, 0, 0
INVAR-24, Run: 078, E, 165, 0, 0
INVAR-24, Run: 079, E, 165, 0, 0
INVAR-24, Run: 080, E, 165, 0, 0
INVAR-24, Run: 081, E, 165, 0, 0
INVAR-24, Run: 082, E, 165, 0, 0
INVAR-24, Run: 083, E, 165, 0, 0
INVAR-24, Run: 084, E, 165, 0, 0
INVAR-24, Run: 085, E, 165, 0, 0
INVAR-24, Run: 086, E, 165, 0, 0
INVAR-24, Run: 087, E, 165, 0, 0
INVAR-24, Run: 088, E, 165, 0, 0
INVAR-24, Run: 089, E, 165, 0, 0
INVAR-24, Run: 090, E, 165, 0, 0
INVAR-24, Run: 091, E, 165, 0, 0
INVAR-24, Run: 092, E, 165, 0, 0
INVAR-24, Run: 093, E, 165, 0, 0
INVAR-24, Run: 094, E, 165, 0, 0
INVAR-24, Run: 095, E, 165, 0, 0
INVAR-24, Run: 096, E, 165, 0, 0
INVAR-24, Run: 097, E, 165, 0, 0
INVAR-24, Run: 098, E, 165, 0, 0
INVAR-24, Run: 099, E, 165, 0, 0
INVAR-24, Run: 100, E, 165, 0, 0
INVAR-25, Run: 001, E, 0, 0, 0
INVAR-25, Run: 002, E, 0, 0, 0
INVAR-25, Run: 003, E, 0, 0, 0
INVAR-25, Run: 004, E, 0, 0, 0
INVAR-25, Run: 005, E, 0, 0, 0
INVAR-25, Run: 006, E, 0, 0, 0
INVAR-25, Run: 007, E, 0, 0, 0
INVAR-25, Run: 008, E, 0, 0, 0
INVAR-25, Run: 009, E, 0, 0, 0
INVAR-25, Run: 010, E, 0, 0, 0
INVAR-25, Run: 011, E, 0, 0, 0
INVAR-25, Run: 012, E, 0, 0, 0
INVAR-25, Run: 013, E, 0, 0, 0
INVAR-25, Run: 014, E, 0, 0, 0
INVAR-25, Run: 015, E, 0, 0, 0
INVAR-25, Run: 016, E, 0, 0, 0
INVAR-25, Run: 017, E, 0, 0, 0
