Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F
2, Run: 046, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 047, P, 13, 0, 1, 0, 1, 0, 1, 0, 256, 256, 0, 1
2, Run: 048, P, 10, 0, 0, 0, 1, 0, 1, 0, 273, 273, 0, 0
2, Run: 049, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 050, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 051, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 052, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 053, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 054, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 055, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 056, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 057, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 058, P, 9, 0, 0, 0, 1, 0, 1, 0, 279, 279, 0, 0
2, Run: 059, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 060, P, 17, 0, 0, 0, 1, 0, 1, 0, 231, 231, 0, 0
2, Run: 061, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 062, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 063, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 064, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 065, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 066, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 067, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 068, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 069, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 070, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 071, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 072, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 073, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 074, P, 15, 0, 0, 0, 1, 0, 1, 0, 243, 243, 0, 0
2, Run: 075, P, 15, 0, 0, 0, 1, 0, 1, 0, 243, 243, 0, 0
2, Run: 076, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 077, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 078, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 079, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 080, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 081, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 082, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 083, P, 10, 0, 0, 0, 1, 0, 1, 0, 273, 273, 0, 0
2, Run: 084, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 085, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 086, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 087, P, 15, 0, 0, 0, 1, 0, 1, 0, 243, 243, 0, 0
2, Run: 088, P, 10, 0, 0, 0, 1, 0, 1, 0, 273, 273, 0, 0
2, Run: 089, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 090, P, 11, 0, 0, 0, 1, 0, 1, 0, 269, 269, 0, 2
2, Run: 091, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 092, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 093, P, 12, 0, 1, 0, 1, 0, 1, 0, 262, 262, 0, 1
2, Run: 094, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 095, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 096, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 097, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 098, P, 15, 0, 0, 0, 1, 0, 1, 0, 243, 243, 0, 0
2, Run: 099, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
