Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction8, Reaction9
INVAR-1, Run: 054, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 31, 41, 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 228, 172, 141, 73, 56
INVAR-1, Run: 055, E, 10, 0, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 3, 1, 10, 44, 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 178, 154, 144, 27, 24
INVAR-1, Run: 056, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 47, 54, 0, 0, 0, 0, 0, 0, 0, 398, 0, 0, 0, 0, 0, 0, 275, 201, 154, 123, 74
INVAR-1, Run: 057, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 115, 260, 0, 0, 0, 0, 0, 0, 0, 984, 0, 0, 0, 0, 0, 0, 652, 475, 360, 332, 177
INVAR-1, Run: 058, E, 0, 0, 0, 10, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 8, 9, 0, 8, 76, 206, 0, 0, 0, 0, 0, 0, 0, 686, 0, 0, 0, 0, 0, 0, 495, 382, 306, 191, 113
INVAR-1, Run: 059, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 44, 68, 0, 0, 0, 0, 0, 0, 0, 426, 0, 0, 0, 0, 0, 0, 302, 212, 168, 124, 90
INVAR-1, Run: 060, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 56, 56, 0, 0, 0, 0, 0, 0, 0, 515, 0, 0, 0, 0, 0, 0, 304, 212, 156, 211, 92
INVAR-1, Run: 061, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 77, 147, 0, 0, 0, 0, 0, 0, 0, 711, 0, 0, 0, 0, 0, 0, 477, 324, 247, 234, 153
INVAR-1, Run: 062, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 31, 36, 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 215, 167, 136, 86, 48
INVAR-1, Run: 063, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 117, 212, 0, 0, 0, 0, 0, 0, 0, 896, 0, 0, 0, 0, 0, 0, 627, 429, 312, 269, 198
INVAR-1, Run: 064, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 91, 256, 0, 0, 0, 0, 0, 0, 0, 836, 0, 0, 0, 0, 0, 0, 618, 447, 356, 218, 171
INVAR-1, Run: 065, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 59, 105, 0, 0, 0, 0, 0, 0, 0, 523, 0, 0, 0, 0, 0, 0, 346, 264, 205, 177, 82
INVAR-1, Run: 066, E, 0, 0, 0, 10, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 10, 11, 2, 10, 52, 51, 0, 0, 0, 0, 0, 0, 0, 456, 0, 0, 0, 0, 0, 0, 282, 203, 151, 174, 79
INVAR-1, Run: 067, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 235, 0, 0, 0, 0, 0, 0, 0, 960, 0, 0, 0, 0, 0, 0, 627, 435, 335, 333, 192
INVAR-1, Run: 068, E, 0, 0, 0, 10, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 8, 9, 0, 8, 71, 134, 0, 0, 0, 0, 0, 0, 0, 674, 0, 0, 0, 0, 0, 0, 446, 305, 234, 228, 141
INVAR-1, Run: 069, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 90, 195, 0, 0, 0, 0, 0, 0, 0, 704, 0, 0, 0, 0, 0, 0, 494, 385, 295, 210, 109
INVAR-1, Run: 070, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 126, 192, 0, 0, 0, 0, 0, 0, 0, 957, 0, 0, 0, 0, 0, 0, 630, 418, 292, 327, 212
INVAR-1, Run: 071, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 153, 264, 0, 0, 0, 0, 0, 0, 0, 1172, 0, 0, 0, 0, 0, 0, 756, 517, 364, 416, 239
INVAR-1, Run: 072, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 63, 98, 0, 0, 0, 0, 0, 0, 0, 530, 0, 0, 0, 0, 0, 0, 364, 261, 198, 166, 103
INVAR-1, Run: 073, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 12, 3, 4, 12, 140, 130, 0, 0, 0, 0, 0, 0, 0, 1009, 0, 0, 0, 0, 0, 0, 596, 370, 230, 413, 226
INVAR-1, Run: 074, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 89, 125, 0, 0, 0, 0, 0, 0, 0, 706, 0, 0, 0, 0, 0, 0, 474, 314, 225, 232, 160
INVAR-1, Run: 075, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 55, 76, 0, 0, 0, 0, 0, 0, 0, 437, 0, 0, 0, 0, 0, 0, 304, 231, 176, 133, 73
INVAR-1, Run: 076, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 83, 114, 0, 0, 0, 0, 0, 0, 0, 698, 0, 0, 0, 0, 0, 0, 434, 297, 214, 264, 137
INVAR-1, Run: 077, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 93, 155, 0, 0, 0, 0, 0, 0, 0, 694, 0, 0, 0, 0, 0, 0, 483, 348, 255, 211, 135
INVAR-1, Run: 078, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 99, 232, 0, 0, 0, 0, 0, 0, 0, 735, 0, 0, 0, 0, 0, 0, 555, 431, 332, 180, 124
INVAR-1, Run: 079, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 40, 101, 0, 0, 0, 0, 0, 0, 0, 419, 0, 0, 0, 0, 0, 0, 316, 241, 201, 103, 75
INVAR-1, Run: 080, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 11, 2, 3, 11, 127, 182, 0, 0, 0, 0, 0, 0, 0, 1019, 0, 0, 0, 0, 0, 0, 607, 409, 282, 412, 198
INVAR-1, Run: 081, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 85, 160, 0, 0, 0, 0, 0, 0, 0, 720, 0, 0, 0, 0, 0, 0, 499, 345, 260, 221, 154
INVAR-1, Run: 082, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 52, 99, 0, 0, 0, 0, 0, 0, 0, 519, 0, 0, 0, 0, 0, 0, 362, 251, 199, 157, 111
INVAR-1, Run: 083, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 65, 97, 0, 0, 0, 0, 0, 0, 0, 541, 0, 0, 0, 0, 0, 0, 371, 262, 197, 170, 109
INVAR-1, Run: 084, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 62, 60, 0, 0, 0, 0, 0, 0, 0, 428, 0, 0, 0, 0, 0, 0, 302, 222, 160, 126, 80
INVAR-1, Run: 085, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 59, 60, 0, 0, 0, 0, 0, 0, 0, 531, 0, 0, 0, 0, 0, 0, 324, 219, 160, 207, 105
INVAR-1, Run: 086, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 64, 94, 0, 0, 0, 0, 0, 0, 0, 493, 0, 0, 0, 0, 0, 0, 342, 258, 194, 151, 84
INVAR-1, Run: 087, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 75, 117, 0, 0, 0, 0, 0, 0, 0, 544, 0, 0, 0, 0, 0, 0, 387, 292, 217, 157, 95
INVAR-1, Run: 088, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 94, 153, 0, 0, 0, 0, 0, 0, 0, 735, 0, 0, 0, 0, 0, 0, 490, 347, 253, 245, 143
