Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
INVAR-10, Run: 089, P, 50, 0, 1, 0, 0, 0, 0, 2, 103, 98, 449
INVAR-10, Run: 090, P, 0, 1, 0, 0, 0, 0, 0, 100, 154, 0, 492
INVAR-10, Run: 091, P, 386, 0, 1, 0, 0, 0, 0, 0, 433, 100, 121
INVAR-10, Run: 092, P, 413, 0, 1, 0, 0, 0, 0, 0, 452, 100, 110
INVAR-10, Run: 093, P, 255, 0, 0, 0, 0, 0, 0, 0, 305, 100, 245
INVAR-10, Run: 094, P, 350, 0, 1, 0, 0, 0, 0, 0, 403, 100, 145
INVAR-10, Run: 095, P, 0, 1, 1, 0, 0, 0, 0, 100, 147, 0, 507
INVAR-10, Run: 096, P, 246, 0, 0, 0, 0, 0, 0, 0, 292, 100, 262
INVAR-10, Run: 097, P, 35, 0, 1, 0, 0, 0, 0, 2, 82, 98, 476
INVAR-10, Run: 098, P, 120, 0, 1, 0, 0, 0, 0, 0, 171, 100, 379
INVAR-10, Run: 099, P, 97, 0, 1, 0, 0, 0, 0, 1, 145, 99, 410
INVAR-10, Run: 100, P, 208, 0, 0, 0, 0, 0, 0, 0, 254, 100, 300
INVAR-2, Run: 001, P, 116, 0, 1, 0, 0, 0, 0, 0, 125, 28, 35
INVAR-2, Run: 002, P, 74, 0, 0, 0, 0, 0, 0, 0, 92, 28, 58
INVAR-2, Run: 003, P, 106, 0, 0, 0, 0, 0, 0, 0, 118, 28, 38
INVAR-2, Run: 004, P, 25, 0, 0, 0, 0, 0, 0, 1, 42, 27, 111
INVAR-2, Run: 005, P, 81, 0, 0, 0, 0, 0, 0, 0, 93, 28, 63
INVAR-2, Run: 006, P, 2, 0, 1, 0, 0, 0, 0, 7, 28, 21, 129
INVAR-2, Run: 007, P, 29, 0, 0, 0, 0, 0, 0, 0, 43, 28, 111
INVAR-2, Run: 008, P, 33, 0, 0, 0, 0, 0, 0, 1, 48, 27, 107
INVAR-2, Run: 009, P, 48, 0, 0, 0, 0, 0, 0, 0, 66, 28, 84
INVAR-2, Run: 010, P, 40, 0, 0, 0, 0, 0, 0, 0, 56, 28, 96
INVAR-2, Run: 011, P, 36, 0, 1, 0, 0, 0, 0, 0, 49, 28, 107
INVAR-2, Run: 012, P, 113, 0, 0, 0, 0, 0, 0, 0, 127, 28, 27
INVAR-2, Run: 013, P, 0, 1, 0, 0, 0, 0, 0, 28, 42, 0, 140
INVAR-2, Run: 014, P, 0, 1, 0, 0, 0, 0, 0, 28, 42, 0, 140
INVAR-2, Run: 015, P, 39, 0, 1, 0, 0, 0, 0, 0, 52, 28, 104
INVAR-2, Run: 016, P, 50, 0, 0, 0, 0, 0, 0, 0, 66, 28, 86
INVAR-2, Run: 017, P, 126, 0, 1, 0, 0, 0, 0, 0, 141, 28, 13
