Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, prey_g616, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 031, P, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 115, 2, 97, 101, 100, 101, 101, 133, 83, 80, 1, 115, 1, 50, 43, 1, 34, 103, 0, 0, 0, 102, 111, 84, 83, 6, 6, 10, 10, 16, 7, 3, 0, 110, 0, 2, 36, 9, 37, 36, 1, 1, 106, 71, 95, 2, 2
INVAR-1, Run: 032, P, 1, 0, 0, 4, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 93, 0, 87, 92, 91, 114, 114, 115, 67, 47, 1, 93, 1, 48, 23, 2, 21, 96, 0, 0, 0, 96, 97, 117, 116, 2, 2, 6, 6, 3, 3, 3, 0, 96, 0, 1, 23, 0, 24, 23, 2, 2, 77, 55, 91, 1, 1
INVAR-1, Run: 033, P, 1, 1, 0, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 97, 1, 103, 88, 86, 85, 84, 92, 44, 97, 1, 96, 1, 48, 48, 3, 20, 81, 8, 8, 11, 91, 110, 82, 79, 16, 16, 26, 26, 15, 10, 4, 17, 110, 17, 1, 49, 5, 49, 49, 3, 3, 100, 79, 103, 2, 2
INVAR-1, Run: 034, P, 1, 0, 0, 2, 5, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 110, 0, 119, 112, 107, 103, 102, 116, 62, 45, 1, 110, 1, 54, 23, 2, 26, 100, 0, 0, 0, 98, 64, 102, 102, 9, 9, 8, 8, 5, 5, 4, 0, 63, 0, 2, 18, 0, 22, 21, 2, 2, 97, 70, 121, 0, 0
INVAR-1, Run: 035, P, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 83, 8, 101, 102, 102, 88, 86, 78, 52, 62, 1, 83, 1, 26, 32, 10, 17, 98, 0, 0, 0, 98, 78, 111, 111, 15, 15, 20, 20, 15, 12, 17, 0, 78, 0, 7, 29, 3, 30, 29, 10, 10, 68, 51, 93, 4, 4
INVAR-1, Run: 036, P, 1, 1, 0, 3, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 101, 3, 92, 103, 103, 96, 94, 97, 62, 63, 1, 100, 1, 34, 30, 5, 28, 94, 9, 9, 6, 100, 101, 117, 117, 31, 31, 37, 37, 30, 16, 20, 17, 101, 17, 15, 32, 14, 33, 33, 5, 5, 95, 67, 92, 5, 5
INVAR-1, Run: 037, P, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 3, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 105, 0, 103, 94, 92, 92, 92, 69, 46, 102, 1, 103, 1, 23, 48, 3, 27, 100, 0, 0, 0, 99, 108, 92, 90, 4, 4, 2, 2, 8, 5, 5, 0, 105, 0, 2, 53, 3, 53, 53, 3, 3, 105, 77, 104, 2, 2
INVAR-1, Run: 038, P, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 89, 0, 106, 85, 85, 119, 119, 118, 80, 66, 1, 88, 1, 37, 34, 5, 32, 101, 0, 0, 0, 101, 65, 82, 82, 20, 20, 19, 19, 11, 6, 13, 0, 65, 0, 8, 32, 5, 32, 32, 5, 5, 97, 64, 106, 0, 0
INVAR-1, Run: 039, P, 1, 2, 0, 0, 0, 1, 1, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 105, 0, 100, 110, 110, 99, 98, 84, 47, 101, 1, 103, 1, 37, 50, 1, 24, 99, 0, 0, 0, 97, 110, 83, 83, 5, 5, 3, 3, 4, 3, 2, 0, 109, 0, 1, 48, 1, 49, 49, 1, 1, 117, 92, 100, 0, 0
INVAR-1, Run: 040, P, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 108, 0, 88, 96, 96, 88, 88, 105, 64, 92, 1, 107, 1, 40, 45, 3, 32, 87, 7, 7, 5, 90, 104, 81, 80, 9, 9, 10, 10, 8, 8, 3, 7, 103, 7, 0, 47, 0, 47, 47, 3, 3, 122, 89, 88, 0, 0
