Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B
INVAR-6, Run: 075, F, 0, 243, 0, 0, 0, 0, 304, 98, 304, 0, 1
INVAR-6, Run: 076, F, 0, 131, 0, 0, 0, 0, 414, 97, 414, 0, 1
INVAR-6, Run: 077, F, 0, 7, 0, 0, 0, 0, 544, 100, 544, 0, 1
INVAR-6, Run: 078, F, 0, 143, 0, 0, 0, 0, 406, 99, 406, 0, 1
INVAR-6, Run: 079, F, 0, 545, 0, 0, 0, 97, 97, 0, 0, 1, 1
INVAR-6, Run: 080, F, 0, 431, 0, 0, 0, 0, 118, 99, 118, 0, 1
INVAR-6, Run: 081, F, 0, 547, 0, 0, 0, 98, 98, 0, 0, 1, 1
INVAR-6, Run: 082, F, 0, 545, 0, 0, 0, 97, 97, 0, 0, 1, 1
INVAR-6, Run: 083, F, 0, 368, 0, 0, 0, 0, 179, 98, 179, 0, 1
INVAR-6, Run: 084, F, 0, 17, 0, 0, 0, 0, 532, 99, 532, 0, 1
INVAR-6, Run: 085, F, 0, 541, 0, 0, 0, 95, 95, 0, 0, 1, 1
INVAR-6, Run: 086, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 087, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 088, F, 0, 190, 0, 0, 0, 0, 357, 98, 357, 0, 1
INVAR-6, Run: 089, F, 0, 441, 0, 0, 0, 0, 110, 100, 110, 0, 1
INVAR-6, Run: 090, F, 0, 20, 0, 0, 0, 0, 521, 95, 521, 0, 1
INVAR-6, Run: 091, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 092, F, 0, 182, 0, 0, 0, 0, 369, 100, 369, 0, 1
INVAR-6, Run: 093, F, 0, 360, 0, 0, 0, 0, 185, 97, 185, 0, 1
INVAR-6, Run: 094, F, 0, 351, 0, 0, 0, 0, 192, 96, 192, 0, 1
INVAR-6, Run: 095, F, 0, 547, 0, 0, 0, 98, 98, 0, 0, 1, 1
INVAR-6, Run: 096, F, 0, 547, 0, 0, 0, 98, 98, 0, 0, 1, 1
INVAR-6, Run: 097, F, 0, 537, 0, 0, 0, 93, 93, 0, 0, 1, 1
INVAR-6, Run: 098, F, 0, 350, 0, 0, 0, 0, 189, 94, 189, 0, 1
INVAR-6, Run: 099, F, 0, 163, 0, 0, 0, 0, 388, 100, 388, 0, 1
INVAR-6, Run: 100, F, 0, 539, 0, 0, 0, 94, 94, 0, 0, 1, 1
INVAR-7, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 013, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
