Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 071, F, 0, 0, 0, 0, 0, 9, 0, 26, 1, 28, 0, 35, 18, 15, 66, 9, 6, 2, 9, 18, 27, 24, 92
INVAR-1, Run: 072, F, 0, 0, 0, 0, 0, 9, 0, 24, 1, 30, 0, 33, 18, 13, 103, 9, 4, 4, 9, 18, 27, 22, 127
INVAR-1, Run: 073, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0, 14, 18, 16, 125, 9, 5, 3, 9, 18, 27, 25, 130
INVAR-1, Run: 074, F, 0, 0, 0, 0, 0, 9, 0, 28, 1, 26, 0, 37, 18, 19, 92, 9, 6, 2, 9, 18, 27, 28, 120
INVAR-1, Run: 075, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0, 11, 18, 20, 125, 9, 5, 3, 9, 18, 27, 29, 127
INVAR-1, Run: 076, F, 0, 0, 0, 0, 0, 9, 0, 20, 1, 34, 0, 29, 18, 20, 88, 9, 5, 3, 9, 18, 27, 29, 108
INVAR-1, Run: 077, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0, 14, 18, 29, 108, 9, 4, 4, 9, 18, 27, 38, 113
INVAR-1, Run: 078, F, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 13, 43, 9, 1, 7, 9, 18, 27, 22, 43
INVAR-1, Run: 079, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0, 17, 18, 17, 95, 9, 4, 4, 9, 18, 27, 26, 103
INVAR-1, Run: 080, F, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 3, 54, 9, 4, 4, 9, 18, 27, 12, 54
INVAR-1, Run: 081, F, 0, 0, 0, 0, 0, 9, 0, 27, 1, 27, 0, 36, 18, 13, 65, 9, 8, 0, 9, 18, 27, 22, 92
INVAR-1, Run: 082, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0, 14, 18, 21, 96, 9, 4, 4, 9, 18, 27, 30, 101
INVAR-1, Run: 083, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0, 13, 18, 10, 92, 9, 7, 1, 9, 18, 27, 19, 96
INVAR-1, Run: 084, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0, 11, 18, 18, 58, 9, 2, 6, 9, 18, 27, 27, 60
INVAR-1, Run: 085, F, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0, 10, 18, 13, 88, 9, 4, 4, 9, 18, 27, 22, 89
INVAR-1, Run: 086, F, 0, 0, 0, 0, 0, 9, 0, 7, 1, 47, 0, 16, 18, 17, 91, 9, 3, 5, 9, 18, 27, 26, 98
INVAR-1, Run: 087, F, 0, 0, 0, 0, 0, 9, 0, 17, 1, 37, 0, 26, 18, 22, 123, 9, 5, 3, 9, 18, 27, 31, 140
INVAR-1, Run: 088, F, 0, 0, 0, 0, 0, 9, 0, 6, 1, 48, 0, 15, 18, 11, 64, 9, 5, 3, 9, 18, 27, 20, 70
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 9, 0, 10, 1, 44, 0, 19, 18, 15, 102, 9, 4, 4, 9, 18, 27, 24, 112
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 9, 0, 3, 1, 51, 0, 12, 18, 20, 62, 9, 4, 4, 9, 18, 27, 29, 65
INVAR-1, Run: 091, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0, 11, 18, 12, 78, 9, 6, 2, 9, 18, 27, 21, 80
